Year,FIPS,Crop,WaterManagement,yield_kgHa,yield_kcalHa,yield_kgHa_detrended,yield_kcalHa_detrended
1990,20005,Wheat,Irrigated,2716.938990033682,8922.42764327061,3645.0023084115237,11970.187580823444
1991,20005,Wheat,Irrigated,2293.2579099046675,7531.0589761269275,3046.4687190229156,10004.603273271254
1992,20005,Wheat,Irrigated,2306.7081029246356,7575.229410004503,3033.018526002947,9960.432839393678
1993,20005,Wheat,Irrigated,1163.4416962272946,3820.7425304104354,1513.1467147464814,4969.173811227444
1994,20005,Wheat,Irrigated,2979.217753923072,9783.751103883367,3840.0301072010707,12610.658872048316
1995,20005,Wheat,Irrigated,1634.1984519261998,5366.70771612564,2084.779918095152,6846.417251024479
1996,20005,Wheat,Irrigated,1627.4733554162156,5344.622499186851,2057.879532055215,6758.076383269326
1997,20005,Wheat,Irrigated,3281.847096872368,10777.585866128857,4109.033967600445,13494.06754959986
1998,20005,Wheat,Irrigated,3180.9706492226032,10446.307612047029,3940.9065548508356,12941.937126130144
1999,20005,Wheat,Irrigated,2797.6401481534945,9187.450246536075,3436.5243166020086,11285.545855720995
2000,20005,Wheat,Irrigated,2932.142078353182,9629.15458531185,3564.3011502917116,11705.16497755798
2001,20005,Wheat,Irrigated,3006.11813996301,9872.091971638523,3624.827018881571,11903.931930007078
2002,20005,Wheat,Irrigated,3288.5721933823525,10799.671083067646,3927.456361830867,12897.766692252566
2003,20005,Wheat,Irrigated,4135.934353640382,13582.408417355015,4895.870259268615,16078.03793143813
2004,20005,Wheat,Irrigated,3429.7992200920244,11263.460638782208,4021.607712970648,13206.959729395609
2005,20005,Wheat,Irrigated,2750.5644725836037,9032.853727964553,3194.420842242572,10490.478045924605
2006,20005,Wheat,Irrigated,3497.050185191868,11484.312808170094,4028.3328094806325,13229.044946334396
2007,20005,Wheat,Irrigated,1862.8517332656681,6117.605092044454,2125.1304971550585,6978.928552657212
2008,20005,Wheat,Irrigated,2098.2301111151205,6890.587684902055,2373.959068024479,7796.081579392389
2009,20005,Wheat,Irrigated,3006.11813996301,9872.091971638523,3369.2733515021655,11064.69368633311
2010,20005,Wheat,Irrigated,2589.1621563439794,8502.808521433628,2878.341306273306,9452.472849801537
2011,20005,Wheat,Irrigated,2858.166016743354,9386.217198985174,3154.0702631826653,10357.966744291873
2012,20005,Wheat,Irrigated,3248.2216143224464,10667.159781434913,3550.850957271743,11660.994543680403
2013,20005,Wheat,Irrigated,4021.607712970648,13206.959729395609,4357.862538469866,14311.22057633504
2014,20005,Wheat,Irrigated,3530.67566774179,11594.738892864038,3799.679528141164,12478.147570415582
2015,20005,Wheat,Irrigated,1560.222390316372,5123.770329798966,1661.0988379661374,5455.0485838807945
2016,20005,Wheat,Irrigated,3389.4486410321183,11130.949337149475,3584.4764398216644,11771.420628374344
2017,20005,Wheat,Irrigated,3651.727404921508,11992.27279776223,3833.3050106910864,12588.573655109527
2018,20005,Wheat,Irrigated,2858.166016743354,9386.217198985174,2972.4926574130877,9761.66588694458
2019,20005,Wheat,Irrigated,2891.7914992932756,9496.643283679117,2985.9428504330563,9805.836320822156
2020,20005,Wheat,Irrigated,3140.620070162697,10313.796310414296,3214.5961317725246,10556.73369674097
2021,20005,Wheat,Irrigated,3409.623930562071,11197.20498796584,3463.424702641946,11373.886723476151
1990,20005,Wheat,Non-Irrigated,2716.938990033682,8922.42764327061,3645.0023084115237,11970.187580823444
1991,20005,Wheat,Non-Irrigated,2293.2579099046675,7531.0589761269275,3046.4687190229156,10004.603273271254
1992,20005,Wheat,Non-Irrigated,2306.7081029246356,7575.229410004503,3033.018526002947,9960.432839393678
1993,20005,Wheat,Non-Irrigated,1163.4416962272946,3820.7425304104354,1513.1467147464814,4969.173811227444
1994,20005,Wheat,Non-Irrigated,2979.217753923072,9783.751103883367,3840.0301072010707,12610.658872048316
1995,20005,Wheat,Non-Irrigated,1634.1984519261998,5366.70771612564,2084.779918095152,6846.417251024479
1996,20005,Wheat,Non-Irrigated,1627.4733554162156,5344.622499186851,2057.879532055215,6758.076383269326
1997,20005,Wheat,Non-Irrigated,3281.847096872368,10777.585866128857,4109.033967600445,13494.06754959986
1998,20005,Wheat,Non-Irrigated,3180.9706492226032,10446.307612047029,3940.9065548508356,12941.937126130144
1999,20005,Wheat,Non-Irrigated,2797.6401481534945,9187.450246536075,3436.5243166020086,11285.545855720995
2000,20005,Wheat,Non-Irrigated,2932.142078353182,9629.15458531185,3564.3011502917116,11705.16497755798
2001,20005,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3624.827018881571,11903.931930007078
2002,20005,Wheat,Non-Irrigated,3288.5721933823525,10799.671083067646,3927.456361830867,12897.766692252566
2003,20005,Wheat,Non-Irrigated,4135.934353640382,13582.408417355015,4895.870259268615,16078.03793143813
2004,20005,Wheat,Non-Irrigated,3429.7992200920244,11263.460638782208,4021.607712970648,13206.959729395609
2005,20005,Wheat,Non-Irrigated,2750.5644725836037,9032.853727964553,3194.420842242572,10490.478045924605
2006,20005,Wheat,Non-Irrigated,3497.050185191868,11484.312808170094,4028.3328094806325,13229.044946334396
2007,20005,Wheat,Non-Irrigated,1862.8517332656681,6117.605092044454,2125.1304971550585,6978.928552657212
2008,20005,Wheat,Non-Irrigated,2098.2301111151205,6890.587684902055,2373.959068024479,7796.081579392389
2009,20005,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3369.2733515021655,11064.69368633311
2010,20005,Wheat,Non-Irrigated,2589.1621563439794,8502.808521433628,2878.341306273306,9452.472849801537
2011,20005,Wheat,Non-Irrigated,2858.166016743354,9386.217198985174,3154.0702631826653,10357.966744291873
2012,20005,Wheat,Non-Irrigated,3248.2216143224464,10667.159781434913,3550.850957271743,11660.994543680403
2013,20005,Wheat,Non-Irrigated,4021.607712970648,13206.959729395609,4357.862538469866,14311.22057633504
2014,20005,Wheat,Non-Irrigated,3530.67566774179,11594.738892864038,3799.679528141164,12478.147570415582
2015,20005,Wheat,Non-Irrigated,1560.222390316372,5123.770329798966,1661.0988379661374,5455.0485838807945
2016,20005,Wheat,Non-Irrigated,3389.4486410321183,11130.949337149475,3584.4764398216644,11771.420628374344
2017,20005,Wheat,Non-Irrigated,3651.727404921508,11992.27279776223,3833.3050106910864,12588.573655109527
2018,20005,Wheat,Non-Irrigated,2858.166016743354,9386.217198985174,2972.4926574130877,9761.66588694458
2019,20005,Wheat,Non-Irrigated,2891.7914992932756,9496.643283679117,2985.9428504330563,9805.836320822156
2020,20005,Wheat,Non-Irrigated,3140.620070162697,10313.796310414296,3214.5961317725246,10556.73369674097
2021,20005,Wheat,Non-Irrigated,3409.623930562071,11197.20498796584,3463.424702641946,11373.886723476151
1990,20013,Wheat,Irrigated,2757.289569093588,9054.938944903342,4068.683388540539,13361.55624796713
1991,20013,Wheat,Irrigated,2259.6324273547457,7420.632891432984,3288.5721933823525,10799.671083067646
1992,20013,Wheat,Irrigated,2306.7081029246356,7575.229410004503,3308.747482912306,10865.926733884013
1993,20013,Wheat,Irrigated,1069.2903450875135,3511.549493267394,1513.1467147464814,4969.173811227444
1994,20013,Wheat,Irrigated,3086.8192980828217,10137.114574903986,4304.061766389991,14134.53884082473
1995,20013,Wheat,Irrigated,1593.8478728662938,5234.196414492908,2192.3814622549016,7199.780722045097
1996,20013,Wheat,Irrigated,1815.7760576957776,5963.008573472934,2468.1104191642607,8105.274616535432
1997,20013,Wheat,Irrigated,3342.3729654622275,10976.352818577954,4478.914275649585,14708.754481233236
1998,20013,Wheat,Irrigated,3228.046324792494,10600.90413061855,4270.43628384007,14024.11275613079
1999,20013,Wheat,Irrigated,2925.416981843197,9607.069368373059,3819.854817671117,12544.403221231947
2000,20013,Wheat,Irrigated,3019.5683329829785,9916.262405516101,3893.830879280945,12787.340607558623
2001,20013,Wheat,Irrigated,3006.11813996301,9872.091971638523,3826.5799141811012,12566.488438170736
2002,20013,Wheat,Irrigated,3577.7513433116806,11749.335411435559,4499.089565179538,14775.010132049601
2003,20013,Wheat,Irrigated,4472.1891791396,14686.669264294445,5554.929717247082,18242.38919143942
2004,20013,Wheat,Irrigated,3752.6038525712734,12323.55105184406,4606.691109339287,15128.373603070218
2005,20013,Wheat,Irrigated,3086.8192980828217,10137.114574903986,3745.8787560612896,12301.465834905273
2006,20013,Wheat,Irrigated,3584.4764398216644,11771.420628374344,4297.336669880007,14112.453623885944
2007,20013,Wheat,Irrigated,2010.803856485324,6603.479864697804,2380.684164534464,7818.166796331179
2008,20013,Wheat,Irrigated,2219.281848294839,7288.121589800251,2602.612349363948,8546.978955311204
2009,20013,Wheat,Irrigated,3335.6478689522432,10954.267601639167,3866.9304932410078,12698.999739803468
2010,20013,Wheat,Irrigated,2757.289569093588,9054.938944903342,3160.79535969265,10380.051961230662
2011,20013,Wheat,Irrigated,3033.018526002947,9960.432839393678,3436.5243166020086,11285.545855720995
2012,20013,Wheat,Irrigated,3288.5721933823525,10799.671083067646,3685.3528874714298,12102.698882456174
2013,20013,Wheat,Irrigated,4156.109643170335,13648.66406817138,4606.691109339287,15128.373603070218
2014,20013,Wheat,Irrigated,3483.5999921718994,11440.142374292516,3819.854817671117,12544.403221231947
2015,20013,Wheat,Irrigated,1479.5212321965596,4858.747726533501,1607.2980658862623,5278.366848370485
2016,20013,Wheat,Irrigated,3645.0023084115237,11970.187580823444,3914.0061688108985,12853.59625837499
2017,20013,Wheat,Irrigated,3880.380686260977,12743.170173681048,4122.484160620414,13538.237983477438
2018,20013,Wheat,Irrigated,2985.9428504330563,9805.836320822156,3140.620070162697,10313.796310414296
2019,20013,Wheat,Irrigated,3180.9706492226032,10446.307612047029,3308.747482912306,10865.926733884013
2020,20013,Wheat,Irrigated,3100.2694911027907,10181.285008781564,3194.420842242572,10490.478045924605
2021,20013,Wheat,Irrigated,4014.882616460664,13184.87451245682,4095.583774580476,13449.897115722282
1990,20013,Wheat,Non-Irrigated,2757.289569093588,9054.938944903342,4068.683388540539,13361.55624796713
1991,20013,Wheat,Non-Irrigated,2259.6324273547457,7420.632891432984,3288.5721933823525,10799.671083067646
1992,20013,Wheat,Non-Irrigated,2306.7081029246356,7575.229410004503,3308.747482912306,10865.926733884013
1993,20013,Wheat,Non-Irrigated,1069.2903450875135,3511.549493267394,1513.1467147464814,4969.173811227444
1994,20013,Wheat,Non-Irrigated,3086.8192980828217,10137.114574903986,4304.061766389991,14134.53884082473
1995,20013,Wheat,Non-Irrigated,1593.8478728662938,5234.196414492908,2192.3814622549016,7199.780722045097
1996,20013,Wheat,Non-Irrigated,1815.7760576957776,5963.008573472934,2468.1104191642607,8105.274616535432
1997,20013,Wheat,Non-Irrigated,3342.3729654622275,10976.352818577954,4478.914275649585,14708.754481233236
1998,20013,Wheat,Non-Irrigated,3228.046324792494,10600.90413061855,4270.43628384007,14024.11275613079
1999,20013,Wheat,Non-Irrigated,2925.416981843197,9607.069368373059,3819.854817671117,12544.403221231947
2000,20013,Wheat,Non-Irrigated,3019.5683329829785,9916.262405516101,3893.830879280945,12787.340607558623
2001,20013,Wheat,Non-Irrigated,3006.11813996301,9872.091971638523,3826.5799141811012,12566.488438170736
2002,20013,Wheat,Non-Irrigated,3577.7513433116806,11749.335411435559,4499.089565179538,14775.010132049601
2003,20013,Wheat,Non-Irrigated,4472.1891791396,14686.669264294445,5554.929717247082,18242.38919143942
2004,20013,Wheat,Non-Irrigated,3752.6038525712734,12323.55105184406,4606.691109339287,15128.373603070218
2005,20013,Wheat,Non-Irrigated,3086.8192980828217,10137.114574903986,3745.8787560612896,12301.465834905273
2006,20013,Wheat,Non-Irrigated,3584.4764398216644,11771.420628374344,4297.336669880007,14112.453623885944
2007,20013,Wheat,Non-Irrigated,2010.803856485324,6603.479864697804,2380.684164534464,7818.166796331179
2008,20013,Wheat,Non-Irrigated,2219.281848294839,7288.121589800251,2602.612349363948,8546.978955311204
2009,20013,Wheat,Non-Irrigated,3335.6478689522432,10954.267601639167,3866.9304932410078,12698.999739803468
2010,20013,Wheat,Non-Irrigated,2757.289569093588,9054.938944903342,3160.79535969265,10380.051961230662
