Year,FIPS,LandCover,area_ha,area_prc
2006,20005,Corn,16200.576,14.601841200030524
2006,20005,Developed,7569.3632,6.822389489840046
2006,20005,Double Crop,134.5344,0.12125803087133363
2006,20005,Fallow/Barren,1968.4672,1.774211328157019
2006,20005,Forest,17361.8368,15.648504342959543
2006,20005,Grass/Pasture/Shrubland,42348.857599999996,38.16971036572439
2006,20005,Other Crops,158.9952,0.14330494557521248
2006,20005,Sorghum,227.6736,0.20520589839764153
2006,20005,Soybeans,21761.3312,19.613839809378984
2006,20005,Water,1087.5648,0.9802397460647672
2006,20005,Wetlands,546.9183999999999,0.4929464005585218
2006,20005,Wheat,1582.7392,1.4265484424420067
2006,20013,Corn,36519.9744,24.517509047692236
2006,20013,Developed,9683.3408,6.500864241457063
2006,20013,Double Crop,63.9744,0.04294890553977722
2006,20013,Fallow/Barren,3186.4896,2.139234456812139
2006,20013,Forest,9770.207999999999,6.559182118096858
2006,20013,Grass/Pasture/Shrubland,41064.9792,27.568776145672587
2006,20013,Other Crops,181.26080000000002,0.12168856569603546
2006,20013,Sorghum,113.5232,0.07621325394803605
2006,20013,Soybeans,45083.136,30.26634637450183
2006,20013,Water,746.9952,0.5014916323321046
2006,20013,Wetlands,586.432,0.39369830078129114
2006,20013,Wheat,1954.3552,1.3120469574700568
2006,20045,Corn,7154.4704,5.75407834868494
2006,20045,Developed,15642.6816,12.58083554443559
2006,20045,Double Crop,475.104,0.38210873578757276
2006,20045,Fallow/Barren,2238.4768,1.8003248554796663
2006,20045,Forest,22742.272,18.290775920339787
2006,20045,Grass/Pasture/Shrubland,55570.5472,44.69335458681813
2006,20045,Other Crops,189.4144,0.15233906034039205
2006,20045,Sorghum,184.3968,0.1483035885432956
2006,20045,Soybeans,13405.1456,10.781267339917878
2006,20045,Water,4882.1248,3.9265140585748726
2006,20045,Wetlands,614.0288,0.49384086116968157
2006,20045,Wheat,1238.72,0.996257099908193
2006,20061,Corn,1866.2336,1.7486483309826046
2006,20061,Developed,7829.3376,7.336036671368124
2006,20061,Double Crop,251.8208,0.23595439586271746
2006,20061,Fallow/Barren,2259.8016000000002,2.1174188998589565
2006,20061,Forest,12395.6672,11.614656793606018
2006,20061,Grass/Pasture/Shrubland,65483.4432,61.35754583921016
2006,20061,Other Crops,1304.8896,1.2226727785613538
2006,20061,Sorghum,1683.7184,1.5776328161730135
2006,20061,Soybeans,4080.5632,3.823460272684532
2006,20061,Water,5142.7264,4.818700047014574
2006,20061,Wetlands,843.2704,0.7901386929948283
2006,20061,Wheat,3582.88,3.3571344616831222
2006,20085,Corn,7250.1184,4.262996987007623
2006,20085,Developed,8698.0096,5.11434250753248
2006,20085,Double Crop,115.7184,0.06804125992498866
2006,20085,Fallow/Barren,5749.2288,3.3804889382244365
2006,20085,Forest,21166.432,12.445649969206258
2006,20085,Grass/Pasture/Shrubland,107731.9488,63.34530662821444
2006,20085,Other Crops,370.3616,0.21776891049163036
2006,20085,Sorghum,504.896,0.2968737899166172
2006,20085,Soybeans,14350.0224,8.437669411673593
2006,20085,Water,1425.312,0.8380691771248603
2006,20085,Wetlands,696.5056000000001,0.4095383151582651
2006,20085,Wheat,2012.3712,1.1832541055248027
2006,20087,Corn,9285.3824,6.460869071881506
2006,20087,Developed,9126.3872,6.350238499439209
2006,20087,Double Crop,359.6992,0.250282577103181
2006,20087,Fallow/Barren,3014.9503999999997,2.0978349575152415
2006,20087,Forest,30722.137600000002,21.376794200950506
2006,20087,Grass/Pasture/Shrubland,64769.376000000004,45.06722934786878
2006,20087,Other Crops,190.6688,0.1326694044278414
2006,20087,Sorghum,455.3472,0.31683548557438435
2006,20087,Soybeans,17628.0832,12.265810134371415
2006,20087,Water,6331.8976,4.40580254079366
2006,20087,Wetlands,924.1792,0.6430538402119219
2006,20087,Wheat,909.1264,0.6325799398623555
2006,20091,Corn,3088.96,2.5231954669576666
