Year,LandCover,area_ha,area_prc
2006,Corn,82359.5136,5.620564693122081
2006,Developed,149778.496,10.221523775566917
2006,Double Crop,2535.7696,0.17305173938827514
2006,Fallow/Barren,31671.4048,2.1613918273608794
2006,Forest,198050.6304,13.51582023763689
2006,Grass/Pasture/Shrubland,795068.8256,54.25888976801093
2006,Other Crops,6644.2432,0.453431511553226
2006,Sorghum,6652.7104,0.45400934941662985
2006,Soybeans,139746.432,9.536892914445112
2006,Water,24278.912,1.6568965698046327
2006,Wetlands,8051.3664,0.5494596038900045
2006,Wheat,20486.2336,1.3980680098044103
2007,Corn,101678.8416,6.938998084788504
2007,Developed,168373.408,11.49051992780879
2007,Double Crop,5209.8368,0.35554149721214634
2007,Fallow/Barren,1787.52,0.12198799338525457
2007,Forest,225030.2656,15.357025684465
2007,Grass/Pasture/Shrubland,785363.8463999999,53.596580569538396
2007,Other Crops,3234.4703999999997,0.2207340638202659
2007,Sorghum,5716.928,0.3901475648093317
2007,Soybeans,110301.5872,7.527451043757092
2007,Water,25597.6,1.7468894666791936
2007,Wetlands,4599.2576,0.3138729668400252
2007,Wheat,28430.976,1.9402511368959963
2008,Corn,101180.79000000001,6.911598045034441
2008,Developed,143661.15,9.81340552378964
2008,Double Crop,5898.419999999999,0.40291747218807095
2008,Fallow/Barren,1088.28,0.07433974295367807
2008,Forest,192931.92,13.17906176752268
2008,Grass/Pasture/Shrubland,781041.06,53.352438376767246
2008,Other Crops,38224.98,2.611125066719489
2008,Sorghum,5606.1,0.38294927130206813
2008,Soybeans,140474.52,9.595728772320825
2008,Water,24660.27,1.6845280010367725
2008,Wetlands,4593.87,0.3138044574582029
2008,Wheat,24566.22,1.6781035029068854
2009,Corn,122750.28,8.384996749634295
2009,Developed,142283.43,9.71929431099317
2009,Double Crop,3159.8100000000004,0.21584469362890205
2009,Fallow/Barren,1062.9,0.07260605063537365
2009,Forest,190798.37999999998,13.0333209515733
2009,Grass/Pasture/Shrubland,776398.41,53.03530178726464
2009,Other Crops,33997.5,2.3223484866648936
2009,Sorghum,5809.23,0.3968249576936039
2009,Soybeans,141525.81,9.667541750938252
2009,Water,24456.42,1.6706031318844337
2009,Wetlands,5449.32,0.3722397251372229
2009,Wheat,16236.09,1.1090774039519085
2010,Corn,111602.79,7.623518507657325
