Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
1990,Alfalfa,38188.5976904706,0,42.8966780732,0
1990,Corn,8185151.112416076,0,4835.99342429,0
1990,Multi-Crop,8720839.939644579,0,5576.568149516,0
1990,Other Crop,603308.3015628577,0,267.092523852,0
1990,Sorghum,248558.9250841967,0,259.4034966502,0
1990,Soybeans,2404364.4718394643,0,1498.5509330665998,0
1990,Unknown,154816710.72016993,0,445.15420642,0
1990,Wheat,128282.11110493998,0,56.655989907999995,0
1991,Alfalfa,60576.29304195773,0,44.110734999799995,0
1991,Corn,12460140.130169826,0,4612.8092926167,0
1991,Multi-Crop,17096452.982596364,0,7468.473526801,0
1991,Other Crop,283429.45663166454,0,156.61334353139998,0
1991,Sorghum,1174348.7182554728,0,459.72288953919997,0
1991,Soybeans,4586393.842460992,0,1773.7371697626,0
1991,Unknown,157233595.0326605,0,40.46856422,0
1991,Wheat,34068.76835306195,0,67.9871878896,0
1992,Alfalfa,2195.5976708345497,0,2.8327994953999998,0
1992,Corn,4648585.9967101365,0,4900.3384413998,0
1992,Golf Course/Turf/Sod,91215.98188663763,0,31.5654800916,0
1992,Multi-Crop,4404603.289243241,0,4763.5546943362,0
1992,Other Crop,631308.339275186,0,436.2511222916,0
1992,Sorghum,241232.04296916455,0,238.15750043469998,0
1992,Soybeans,1645403.0971964875,0,1341.9375895352,0
1992,Unknown,145384743.83154246,0,0,0
1992,Wheat,130786.07923516142,0,87.41209871519999,0
1993,Corn,374682.4429734286,0,955.4628012341999,0
1993,Golf Course/Turf/Sod,60502.28413170487,0,31.5654800916,0
1993,Multi-Crop,545655.3604758875,0,1646.2611924696,0
1993,Other Crop,105030.97846716963,0,208.41310573299998,0
1993,Sorghum,49.339273501899996,0,0.8093712844,0
1993,Soybeans,135411.63612596455,0,465.9955169933,0
1993,Unknown,141429645.9935383,0,0,0
1993,Wheat,4107.494519033175,0,40.46856422,0
1994,Alfalfa,51263.5051684741,0,40.46856422,0
1994,Corn,6780289.308359726,0,4656.920027616499,0
1994,Golf Course/Turf/Sod,1130868.4834819234,0,28.327994953999998,0
1994,Multi-Crop,9747639.56049262,0,6280.721166943999,0
1994,Other Crop,575012.228209518,0,343.98279586999996,0
1994,Sorghum,401498.3381217112,0,179.68042513679998,0
1994,Soybeans,5922896.083080458,0,3447.9216715439998,0
1994,Unknown,146707788.7853143,0,995.5266798119999,0
1995,Alfalfa,133647.75709827163,0,114.12135110039999,0
1995,Corn,7822186.746899348,0,4549.2736467913,0
1995,Golf Course/Turf/Sod,10829.970533667049,0,4.046856421999999,0
1995,Multi-Crop,9219622.990293661,0,6141.104620384999,0
1995,Other Crop,474964.51636604033,0,410.755926833,0
1995,Sorghum,92424.79408743416,0,74.0574725226,0
1995,Soybeans,4961656.021898068,0,3131.2551565225,0
1995,Unknown,154082591.66973516,0,0,0
1995,Wheat,27481.9753405583,0,12.140569266,0
1996,Alfalfa,103242.42980272575,0,93.8870689904,0
1996,Corn,10342350.493647771,0,5641.9248807313,0
1996,Golf Course/Turf/Sod,107115.5627726249,0,28.732680596199998,3
1996,Multi-Crop,9628485.21498553,0,6358.4208102464,0
1996,Other Crop,619972.6411881244,0,341.95936765899995,0
1996,Soybeans,5368705.0282887425,0,3110.4138459491996,0
1996,Unknown,149643907.2773205,0,59.0841037612,157
1996,Wheat,59404.4852962876,0,60.70284633,0
1997,Alfalfa,288153.69206947146,0,172.8007692194,0
1997,Corn,11113042.280565824,0,5784.7789124279,0
1997,Golf Course/Turf/Sod,66287.31394980264,0,31.565480091599998,0
1997,Multi-Crop,11881008.072622899,0,6463.6390772183995,0
1997,Other Crop,655521.5877462433,0,263.45035307219996,1
1997,Sorghum,172280.40825025932,0,74.866843807,0
1997,Soybeans,6051770.265467421,0,3386.8141395718,0
1997,Unknown,143829261.56030318,0,109.265123394,166
1997,Wheat,715.4194657775499,0,30.351423164999996,0
1998,Alfalfa,21931.30707159455,0,37.6357647246,0
1998,Corn,8301604.132698935,0,6273.2344825633,1
