Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
1990,HYD,11837873.212763863,1390615.088832676,10447258.123931186
1990,IND,56501177.42116017,26419108.710780367,30082068.7103798
1990,IRR,21463718.776617043,21226803.920079295,236914.8565377483
1990,MUN,99502956.92474324,24647878.13133566,74855078.79340757
1990,REC,26248.4935030108,26248.4935030108,NA
1991,HYD,6425650.945246443,885787.9771796106,5539862.968066833
1991,IND,52283372.62139512,27371517.04200592,24911855.5793892
1991,IRR,35749572.378996044,35161041.18984701,588531.1891490386
1991,MUN,105084129.19954953,27829928.232112072,77254200.96743746
1991,REC,50375.398245439894,50375.398245439894,NA
1992,HYD,8313840.272527406,797199.3116069492,7516640.960920457
1992,IND,50101170.56331633,21440800.684075408,28660369.879240926
1992,IRR,11795330.42418685,11641996.29696132,153334.12722552972
1992,MUN,95352808.60376766,27683994.99591183,67668813.60785584
1992,REC,22979.766633509924,22979.766633509924,NA
1993,HYD,9507258.619991364,972082.3665344337,8535176.25345693
1993,IND,48701341.36515719,19323615.453653757,29377725.911503427
1993,IRR,1225439.5359666902,1225439.5359666902,0
1993,MUN,92730574.2349622,25241848.975388285,67488725.2595739
1993,REC,1023.7899251644249,1023.7899251644249,NA
1994,HYD,6482933.841782151,641089.8502469376,5841843.991535213
1994,IND,46747358.11666144,14958804.288489796,31788553.82817164
1994,IRR,24609467.50691443,24382901.562993705,226565.9439207248
1994,MUN,99953461.49627072,26540322.97095616,73413138.52531455
1994,REC,16676.674443642198,16676.674443642198,NA
1995,HYD,6347238.504833549,1887116.1980822957,4460122.306751254
1995,IND,52143434.10692536,17786832.7670717,34356601.33985366
1995,IRR,22742814.77251705,22681202.354731552,61612.41778549762
1995,MUN,101885488.76805812,24408027.58802455,77477461.18003356
1995,REC,85036.23788052464,85036.23788052464,NA
1996,HYD,12177401.423367186,545963.7309352744,11631437.692431912
1996,IND,56963659.10133023,18446745.55015961,38516913.55117062
1996,IRR,26310747.33135182,26029562.811664492,281184.5196873281
1996,MUN,92570702.65399766,22160599.010376252,70410103.64362141
1996,REC,65004.492838753256,65004.492838753256,NA
1997,HYD,9871049.418339249,996789.0077405102,8874260.410598738
1997,IND,47549627.0386207,16318409.643926527,31231217.394694176
1997,IRR,30362587.14987485,29939243.848410174,423343.30146467744
1997,MUN,96013917.86423801,25941159.168367464,70072758.69587055
1997,REC,142541.1611469891,142541.1611469891,NA
1998,HYD,9234696.138348492,935682.317508407,8299013.820840085
1998,IND,30594284.378239773,17999337.018044382,12594947.36019539
