Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
1990,IND,57355018.2187473,23227449.78648946,34127568.43225784
1990,IRR,26475478.830756288,23039689.18117798,3435789.649578308
1990,MUN,113056492.36017029,33666653.27402146,79389839.08614883
1990,REC,8249378.511697173,3265643.164907006,4983735.3467901675
1991,IND,53468773.336915016,25413031.584803127,28055741.752111893
1991,IRR,42378834.17116646,38135286.60545179,4243547.565714664
1991,MUN,119631357.60330486,37488818.77439315,82142538.8289117
1991,REC,12489262.636354322,5195943.562121839,7293319.074232482
1992,IND,53544644.80474257,20194071.25159265,33350573.553149916
1992,IRR,13969675.202960456,12573090.06203405,1396585.1409264058
1992,MUN,109964794.80399424,37372513.7719308,72592281.03206344
1992,REC,8862517.663505284,4054713.8312045173,4807803.832300767
1993,IND,55127374.68977326,19406419.08940832,35720955.600364946
1993,IRR,1947544.4733037478,1537843.4809623456,409700.9923414021
1993,MUN,108392167.13521305,34536813.036319345,73855354.0988937
1993,REC,8049542.119196103,2688669.7005757876,5360872.418620315
1994,IND,50437072.33731727,15146663.57234828,35290408.76496899
1994,IRR,30660287.99136694,26750187.570796493,3910100.4205704485
1994,MUN,116512141.06733313,36552766.41233348,79959374.65499964
1994,REC,8974320.45726059,4432356.630588059,4541963.826672531
1995,IND,57237467.39962903,18078538.88683331,39158928.51279572
1995,IRR,28010337.28567177,24989133.21651155,3021204.069160218
1995,MUN,117503293.06307605,33594864.6310762,83908428.43199985
1995,REC,6241751.138086488,3254282.7971831937,2987468.340903294
1996,IND,61457726.828250796,18671337.92314026,42786388.90511053
1996,IRR,31774800.505682986,28633233.278814882,3141567.2268681033
1996,MUN,107335763.95026387,31573878.649164874,75761885.301099
1996,REC,6198480.595225321,3954986.824638802,2243493.7705865195
1997,IND,51308687.60818346,16608684.924756581,34700002.68342688
1997,IRR,37659791.69189561,33002065.594769247,4657726.097126364
1997,MUN,112422939.08395076,36098980.77911813,76323958.30483264
1997,REC,3793992.775202102,2068388.6889282763,1725604.086273826
1998,IND,36431169.77278805,18300849.318414494,18130320.454373553
1998,IRR,26215473.194219653,23506019.32468119,2709453.8695384627
1998,MUN,112385996.30291623,34899641.718833946,77486354.58408228
1998,REC,7430593.267933143,1993849.3814852808,5436743.886447863
