Year,FIPS,spatial_scale,LandCover,area_m2,area_ha,area_prc,LandCoverGroup,Crop,irrigation_WaterUse_m,n_pdiv,fertilizer_kgHa,fertilizer_kgCrop,precip_m,precip_m_avg,tmin_C_avg,tmax_C_avg
2006,20005,county,Corn,162005760,16200.576,14.601841200030524,all cult,Corn,NA,NA,250,4050144,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Developed,75693632,7569.3632,6.822389489840046,developed,NA,NA,NA,NA,NA,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Double Crop,1345344,134.5344,0.12125803087133365,all cult,NA,NA,NA,NA,NA,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Grass/Pasture/Shrubland,423488576.00000006,42348.8576,38.16971036572439,grassPastureHay,NA,NA,NA,NA,NA,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Other Crops,1589952,158.9952,0.14330494557521248,all cult,NA,NA,NA,NA,NA,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Sorghum,2276736,227.6736,0.20520589839764153,all cult,Sorghum,NA,NA,112,25499.443199999998,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Soybeans,217613312,21761.3312,19.613839809378984,all cult,Soybeans,NA,NA,56,1218634.5472,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20005,county,Wheat,15827392,1582.7392,1.4265484424420067,all cult,Wheat,NA,NA,89,140863.7888,0.7665330541388815,0.06387775451157346,6.974152371203587,19.49434149562118
2006,20013,county,Corn,365199744,36519.9744,24.517509047692236,all cult,Corn,NA,NA,250,9129993.6,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Developed,96833408,9683.3408,6.500864241457063,developed,NA,NA,NA,NA,NA,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Double Crop,639744,63.9744,0.04294890553977722,all cult,NA,NA,NA,NA,NA,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Grass/Pasture/Shrubland,410649792,41064.9792,27.568776145672587,grassPastureHay,NA,NA,NA,NA,NA,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Other Crops,1812608,181.2608,0.12168856569603546,all cult,NA,NA,NA,NA,NA,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Sorghum,1135232,113.5232,0.07621325394803605,all cult,Sorghum,NA,NA,112,12714.5984,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
2006,20013,county,Soybeans,450831360,45083.136,30.26634637450183,all cult,Soybeans,NA,NA,56,2524655.616,0.7448022060291125,0.062066850502426045,6.308330985827347,19.157895621275312
