Year,Crop,Yield_kgHa,Irrigation_m3Ha_pred,Net_Return,NitrateFluxPred_kg
2006,Corn,8645.813652291266,1622.506700469038,796.393763098826,3211868.0287584625
2006,Sorghum,5708.228513460487,0,115.18742161525846,3211868.0287584625
2006,Soybeans,3082.0865013749885,1590.9562425322963,566.8968695165588,3211868.0287584625
2006,Wheat,3394.9723011513875,0,258.9430752878469,3211868.0287584625
2007,Corn,10404.877496437934,1024.3992697145009,1130.3703705371074,6155324.989215277
2007,Sorghum,6546.662608892728,0,215.79951306712738,6155324.989215277
2007,Soybeans,3651.1914559877996,1017.3144611885442,811.1744630206522,6155324.989215277
2007,Wheat,2870.6488550070385,0,127.86221375175963,6155324.989215277
2008,Corn,11754.506564806241,1119.091213250572,1370.5575364808567,6791414.278584491
2008,Sorghum,7321.049044123442,0,308.72588529481317,6791414.278584491
2008,Soybeans,3683.832999949931,1075.6922521376362,822.538124667981,6791414.278584491
2008,Wheat,2904.3973751549674,0,136.29934378874196,6791414.278584491
2009,Corn,11446.022474715846,1037.7654447684538,1317.388847550567,8793250.01127851
2009,Sorghum,7263.262969646328,0,301.79155635755944,8793250.01127851
2009,Soybeans,3697.274004068828,1024.0140636196218,829.4131937825624,8793250.01127851
2009,Wheat,2908.7169037885214,0,137.37922594713044,8793250.01127851
2010,Corn,10115.647927401847,1131.1475080409732,1075.2133491991442,10931693.671821576
2010,Sorghum,6543.174091921774,0,215.3808910306128,10931693.671821576
2010,Soybeans,3534.2643753109774,1097.5239536564225,762.0775554683548,10931693.671821576
2010,Wheat,3040.545669479924,0,170.33641736998112,10931693.671821576
2011,Corn,11002.333983625722,1384.45416786517,1227.47094618454,7970003.912912641
2011,Sorghum,6035.424116267626,0,154.4508939521151,7970003.912912641
2011,Soybeans,3531.259722483062,1371.7028097298285,752.9245075110599,7970003.912912641
2011,Wheat,3456.5489833341817,0,274.3372458335454,7970003.912912641
2012,Corn,5980.667959162891,1937.5417417091242,307.5315221397557,653616.0559557676
2012,Sorghum,4191.797908449176,0,-66.78425098609885,653616.0559557676
2012,Soybeans,2550.219647586604,1922.5543456756668,344.53378301004744,653616.0559557676
2012,Wheat,3842.1205280370864,0,370.7301320092717,653616.0559557676
2013,Corn,11194.47391464203,1360.3988599192455,1262.7537376979074,3559215.021092169
2013,Sorghum,6541.537084618826,0,215.18445015425914,3559215.021092169
2013,Soybeans,3540.776437732651,1349.6911246388665,757.3695324785335,3559215.021092169
2013,Wheat,3308.4745791137957,0,237.31864477844894,3559215.021092169
2014,Corn,10098.979987979184,1531.734013243842,1060.5961114521817,2303135.51916641
2014,Sorghum,6405.898783968735,0,198.9078540762483,2303135.51916641
2014,Soybeans,3218.4843534821607,1515.8600830082848,623.6337989856243,2303135.51916641
2014,Wheat,3254.4567180356503,0,223.8141795089126,2303135.51916641
2015,Corn,11020.344637362741,922.9574092024951,1244.096269858421,11393896.42765063
2015,Sorghum,6345.481120832062,0,191.6577344998474,11393896.42765063
2015,Soybeans,3763.125460515998,909.8790180609276,859.0636926826324,11393896.42765063
2015,Wheat,2919.171800274938,0,139.9929500687345,11393896.42765063
2016,Corn,10151.46828653705,955.6964938135653,1086.7490932560759,12720583.266275745
2016,Sorghum,5900.260097512822,0,138.2312117015386,12720583.266275745
2016,Soybeans,3683.6871503155958,947.7028800861333,826.1914766037406,12720583.266275745
2016,Wheat,2980.708664269618,0,155.37716606740452,12720583.266275745
2017,Corn,9587.811593876077,1237.371987236406,977.1222992678381,5145214.969991524
2017,Sorghum,5702.530108828724,0,114.50361305944693,5145214.969991524
2017,Soybeans,3438.824155263922,1181.4292323338063,721.4682143678885,5145214.969991524
2017,Wheat,3299.6251021957437,0,235.106275548936,5145214.969991524
2018,Corn,9614.491421224395,1382.5954860718025,977.7131867243089,5430524.730574813
2018,Sorghum,6722.26533508837,0,236.87184021060452,5430524.730574813
2018,Soybeans,3322.8242336375315,1361.9384572066415,669.8334781960202,5430524.730574813
2018,Wheat,3107.35635941332,0,187.0390898533301,5430524.730574813
2019,Corn,10792.288272820571,477.7049668089673,1215.9584450702428,21984718.520097252
2019,Sorghum,6582.086032426707,0,220.0503238912049,21984718.520097252
2019,Soybeans,3795.8207346630934,468.9288184985198,884.92935812878045,21984718.520097252
2019,Wheat,2475.8260578590043,0,29.15651446475116,21984718.520097252
2020,Corn,9860.229620727858,1287.083884438485,1024.7158990822984,9866679.683598112
2020,Sorghum,6385.333289163952,0,196.43999469967423,9866679.683598112
2020,Soybeans,3407.3124092912813,1272.8946168243685,706.211019828606,9866679.683598112
2020,Wheat,3167.7948846540157,0,202.14872116350395,9866679.683598112
2021,Corn,9185.44656340728,1207.8916233747234,905.5515243354436,8588151.515717085
2021,Sorghum,5850.005610836323,0,132.20067330035874,8588151.515717085
2021,Soybeans,3386.7921945263292,1174.8361925445888,700.8466282267387,8588151.515717085
2021,Wheat,3167.9232923022655,0,202.18082307556648,8588151.515717085
2022,Corn,11212.159779771708,1395.2527988601066,1264.9264291919644,4461497.722969554
2022,Sorghum,6786.663615654076,0,244.5996338784892,4461497.722969554
2022,Soybeans,3480.666798044644,1376.9035804775194,732.5365153840097,4461497.722969554
2022,Wheat,3302.2465260414433,0,235.76163151036081,4461497.722969554
