Scenario_raw,landuse_name,climate_pathway,period,crop_reference_period,n_solutions,nitrate_min_kg,nitrate_max_kg,profit_min_usd,profit_max_usd,irrigation_min_m3,irrigation_max_m3,fertilizer_reduction_min_pct,fertilizer_reduction_max_pct,efficiency_savings_min_pct,efficiency_savings_max_pct,irrigated_extent_min_pct,irrigated_extent_max_pct,alluvial_cap_use_max_pct
bau_ensemble_rcp45_early,BAU expansion,RCP 4.5,Early century,historical,8,10277421.864441255,10731787.303939408,145207605.243106,178575568.78836343,26392925.87367476,30984960.226148,2.255867596250027,29.4922173243666,3.2984414867195158,13.881102173137661,92.13896060874856,113.71360937724644,41.72802575000955
bau_ensemble_rcp45_late,BAU expansion,RCP 4.5,Late century,mid,8,12102428.140271712,12638888.602618964,201795017.4465651,249222248.57842115,40246650.23492207,46012840.62795978,2.255867596250027,27.85177026176826,2.7988792970683787,13.881102173137661,92.13896060874856,108.15080719301476,57.23045531321125
bau_ensemble_rcp45_mid,BAU expansion,RCP 4.5,Mid century,early,8,12434943.104076004,12985287.2733439,171088391.98296478,211660816.3442488,32421092.039487097,37064458.86933055,2.255867596250027,27.85177026176826,1.1247408393692089,13.881102173137661,92.13896060874856,108.15080719301476,48.442310793798384
bau_ensemble_rcp85_early,BAU expansion,RCP 8.5,Early century,historical,8,10983527.083131695,11469109.476867396,141310606.43651715,174908420.90982145,26466286.9525919,31071392.141116615,2.255867596250027,29.4922173243666,3.2984414867195158,13.881102173137661,92.13896060874856,113.71360937724644,41.72802575000955
bau_ensemble_rcp85_late,BAU expansion,RCP 8.5,Late century,mid,8,16992375.93967328,17745591.55453342,171066030.63087574,220501280.1000234,44316008.52362293,51737551.89056019,2.255867596250027,24.06807800056413,2.7988792970683787,12.17596450988081,92.13896060874856,113.71360937724644,60.29239795991781
bau_ensemble_rcp85_mid,BAU expansion,RCP 8.5,Mid century,early,8,13188690.240408937,13772393.656929618,157864254.42241025,199602772.57939273,35752896.158678055,43717595.44576009,2.255867596250027,24.06807800056413,1.202832897397887,8.216864563493974,92.13896060874856,109.83543408471456,49.27192007914796
fixed_ensemble_rcp45_early,Fixed cultivated area,RCP 4.5,Early century,historical,8,10108374.059724003,10555265.885596124,128628565.22998472,158147554.32504073,23328777.90440484,27387683.968794618,2.255867596250027,29.4922173243666,3.2984414867195158,13.881102173137661,92.13896060874856,113.71360937724644,36.92745641593766
fixed_ensemble_rcp45_late,Fixed cultivated area,RCP 4.5,Late century,mid,8,11287011.065978378,11825390.659414897,117566814.14341462,150593502.31682935,24700904.28588919,29089148.416385647,2.255867596250027,26.736391669620563,2.7988792970683787,7.128617412048688,92.13896060874856,108.31751067671549,35.218963748466976
fixed_ensemble_rcp45_mid,Fixed cultivated area,RCP 4.5,Mid century,early,8,11876612.57839238,12443115.598012095,119842925.82482249,152528925.9818026,23446532.13643698,27614037.182948083,2.255867596250027,26.736391669620563,2.7988792970683787,7.128617412048688,92.13896060874856,108.31751067671549,35.218963748466976
fixed_ensemble_rcp85_early,Fixed cultivated area,RCP 8.5,Early century,historical,8,10801634.262255792,11279175.163427604,125254733.19638506,154975714.98146838,23401112.882507533,27472877.294107515,2.255867596250027,29.4922173243666,3.2984414867195158,13.881102173137661,92.13896060874856,113.71360937724644,36.92745641593766
fixed_ensemble_rcp85_late,Fixed cultivated area,RCP 8.5,Late century,mid,8,15978523.128532851,16684934.59821732,101990284.72781049,133286312.71672212,27119519.33088151,31690844.60726765,2.255867596250027,24.06807800056413,3.2984414867195158,12.17596450988081,92.13896060874856,113.71360937724644,36.97314403779391
fixed_ensemble_rcp85_mid,Fixed cultivated area,RCP 8.5,Mid century,early,8,12642050.248769164,13200956.051528292,113235643.2445208,143866888.60075265,25839877.77914212,30218943.226356376,2.255867596250027,24.06807800056413,2.7988792970683787,12.17596450988081,92.13896060874856,113.71360937724644,36.97314403779391
