Scenario_raw,landuse_name,climate_pathway,period,n_solutions,nitrate_min_kg,nitrate_max_kg,profit_min_usd,profit_max_usd,irrigation_min_m3,irrigation_max_m3
bau_ensemble_rcp45_early,BAU expansion,RCP 4.5,Early century,8,10169823.736496234,10836324.619816432,104810333.61019604,175568045.98323053,11909549.765365908,19781438.266097497
bau_ensemble_rcp45_late,BAU expansion,RCP 4.5,Late century,8,11962777.341805674,12776980.265870418,146891459.7894159,231477946.385058,16811647.754795913,27606288.134320542
bau_ensemble_rcp45_mid,BAU expansion,RCP 4.5,Mid century,8,12298496.030912628,13135548.42634376,125434965.99595436,198753760.82305253,13823880.396464957,22393862.830021363
bau_ensemble_rcp85_early,BAU expansion,RCP 8.5,Early century,8,10868536.478681829,11580828.977660272,101827160.87358528,171587320.05655298,11930857.33978771,19831196.03802948
bau_ensemble_rcp85_late,BAU expansion,RCP 8.5,Late century,8,16798199.828794062,17939478.71741566,119480611.9908446,198927212.71445987,19379031.40422035,30068679.22481512
bau_ensemble_rcp85_mid,BAU expansion,RCP 8.5,Mid century,8,13052020.566945976,14142445.339843018,64465899.48082981,196982472.98784047,10871736.132438738,29448280.971789412
fixed_ensemble_rcp45_early,Fixed cultivated area,RCP 4.5,Early century,8,10002545.755725171,10658083.723184416,92802339.33902816,155499992.570865,10531520.709131235,17486868.702792957
fixed_ensemble_rcp45_late,Fixed cultivated area,RCP 4.5,Late century,8,11204893.612125944,11967513.937001964,90197454.2090449,142041648.8344886,10324369.254242295,16961054.909366295
fixed_ensemble_rcp45_mid,Fixed cultivated area,RCP 4.5,Mid century,8,11790205.541168056,12592662.993368233,90954085.8006836,144155216.37023437,10008482.528250128,16206509.804867076
fixed_ensemble_rcp85_early,Fixed cultivated area,RCP 8.5,Early century,8,10688547.960973686,11389044.532200752,90256303.20135269,152055080.38535225,10552485.104437076,17535924.517101437
fixed_ensemble_rcp85_late,Fixed cultivated area,RCP 8.5,Late century,8,15811238.064376364,16885462.23064159,73433903.30250739,122267657.88976245,11881699.269826803,18432171.97264801
fixed_ensemble_rcp85_mid,Fixed cultivated area,RCP 8.5,Mid century,8,12515998.55056939,13561641.622236554,46758009.6234564,142889618.21508932,7874996.532225593,21319239.676273935
