Year,Climate_precip_m,Climate_Tmin_C,Climate_Tmax_C,Climate_Tmean_C,Irrigation_total_m3,IrrigArea_m2,Management_irrigation_m,Management_FertilizerUse_kg,LandCover_m2_all_cult,LandCover_m2_developed,LandCover_m2_grassPastureHay
2006,0.7587445754351585,6.880380672551613,19.96944153903211,13.424911105791862,22165853.643004205,125867351.865255,0.1761048700439289,30879686.57380153,2574723723.787824,1493198410.3114607,7944998095.398603
2007,1.0672084830026332,6.61459137648556,18.51474416802007,12.564667772252815,16581548.324330537,135179168.492277,0.122663488089719,34651342.86175465,2536303050.6065392,1679446692.9496212,7846817837.911871
2008,0.9710915661332317,4.948693999324461,17.001363116336574,10.975028557830518,10776918.479834132,123457448.86595401,0.08729257390969865,35901340.5878866,3152542365.578113,1435585178.8058066,7811551012.967933
2009,1.027056642916047,5.337130594199486,17.340492346372248,11.338811470285867,4026368.4185776757,91080574.061743,0.044206664923392154,40636466.380882315,3227600941.859282,1421807689.9636254,7765615038.391678
2010,0.9966085830708395,6.364211261705812,18.21936644934646,12.291788855526136,12780623.381201416,138060530.264741,0.09257260823708015,36777426.91649759,2682168762.3198195,1349398609.5056596,8017240928.120545
2011,0.8572999737049491,6.815374379229176,20.687921329539876,13.751647854384526,28013186.628716506,148723996.936711,0.18835687048296196,42139272.100663185,2997470683.302993,1433258071.624924,7729008069.551966
2012,0.597070170965601,8.500051125282518,23.062279070653833,15.781165097968175,33059397.830578454,143936565.78948498,0.22968032931207774,40089556.44214288,2935861408.6240168,1435483340.2269762,7821187000.781109
2013,0.8615106959020226,6.17636040330568,19.602813834445413,12.889587118875546,22618899.187117025,154061800.557329,0.1468170507243952,45791683.35988553,5090227697.22583,1422794422.8258407,5670554781.181171
2014,0.8440464836362963,4.9655986490515485,17.602780278517056,11.284189463784301,23646586.914888106,160522606.835052,0.1473100106029713,40820514.60919939,3842580009.468277,1464646065.7220228,6886096947.530802
2015,1.107391832154065,6.788107042804477,19.1854890598319,12.986798051318189,7555039.25052331,126223475.230391,0.05985447030937295,42513350.13850825,3469767882.469456,1452141497.9469025,7012058053.968365
2016,1.067443868590719,7.568040516058816,19.99617895472423,13.782109735391522,14912450.041034762,157428785.100433,0.09472505318211813,46520034.03220407,3671035979.5144053,1450903390.6287377,6988300119.327088
2017,0.9564287801594145,7.06348987929206,19.579657198272585,13.321573538782323,18939163.83452695,166372337.79305297,0.11383601436246556,44798484.028132044,3723476331.187862,1453520082.2099617,6917237628.737518
2018,0.8746956333565014,6.225765038136905,18.534735640387623,12.380250339262265,27484540.9827804,165504287.09053397,0.16606543229750803,45473769.919811726,3850285661.3188815,1448786525.5618536,6801646725.691763
2019,1.3280469228944094,6.10277222710859,17.438373401436845,11.770572814272718,8815781.036680609,136587474.527133,0.06454311471239159,48020244.207696274,4111328742.1227055,1356263886.871884,6214789416.660089
2020,0.9013699987986442,6.491468652465533,18.743187209841206,12.617327931153369,12868052.573846783,159179050.502948,0.08084011390436374,49015537.9367566,4189020021.9834547,1352578691.4297295,6249295464.328956
2021,0.9485915342648359,7.142120824315306,19.221266680744318,13.181693752529812,19554313.561730262,165730911.050166,0.11798833082991536,48810182.05832046,4107610331.397402,1441257782.9920309,6470108380.700653
2022,0.8472106488471177,5.5723188552188505,18.78643499068897,12.17937692295391,20263096.895221807,158936239.11762798,0.12749198677228787,46764282.37581517,4022569394.826462,1442667784.6020818,6581568881.183431
2023,0.7850646529246705,6.763843635501993,19.924865067680486,13.344354351591239,23823936.933490682,165848269.886404,0.14364899284031502,49684321.5297101,4050763422.3993483,1442491331.971748,6520922633.771767
