climate_pathway,period,land_use,irrigation_mean_million_per_year,net_returns_mean_million_per_year,nitrate_mean_million_per_year,irrigation_change_from_historical_pct,net_returns_change_from_historical_pct,nitrate_change_from_historical_pct
RCP 4.5,2025-2049,BAU land-use projection,27.1,69.11,10.75,48.8,23.6,45.4
RCP 4.5,2025-2049,Fixed historical land use,23.93,60.96,10.44,31.4,9.1,41.3
RCP 4.5,2050-2074,BAU land-use projection,33.4,84.2,13.14,83.3,50.6,77.9
RCP 4.5,2050-2074,Fixed historical land use,24.11,60.49,12.23,32.3,8.2,65.5
RCP 4.5,2075-2099,BAU land-use projection,41.52,96.9,13.11,127.9,73.4,77.4
RCP 4.5,2075-2099,Fixed historical land use,25.43,58.55,11.65,39.6,4.8,57.7
RCP 8.5,2025-2049,BAU land-use projection,27.26,68.19,11.4,49.7,22,54.2
RCP 8.5,2025-2049,Fixed historical land use,24.08,60.12,11.08,32.2,7.6,50
RCP 8.5,2050-2074,BAU land-use projection,36.91,78.36,13.76,102.6,40.2,86.2
RCP 8.5,2050-2074,Fixed historical land use,26.65,56.25,12.81,46.3,0.6,73.4
RCP 8.5,2075-2099,BAU land-use projection,45.83,88.17,18.07,151.6,57.7,144.5
RCP 8.5,2075-2099,Fixed historical land use,28,53.39,16.37,53.7,-4.5,121.5
