climate_pathway,period,landuse_name,objective,projected_mean,historical_mean,units,preferred_direction,absolute_change,percent_change,relative_to_historical
rcp45,early,fixed,irrigation,23933732.067840647,18215875.439893533,m3/yr,lower,5717856.627947114,31.38941439742593,1.3138941439742593
rcp45,early,bau,irrigation,27104295.00501765,18215875.439893533,m3/yr,lower,8888419.565124117,48.79490746658327,1.4879490746658326
rcp45,mid,fixed,irrigation,24106156.565854777,18215875.439893533,m3/yr,lower,5890281.125961244,32.3359760852409,1.323359760852409
rcp45,mid,bau,irrigation,33397674.46061415,18215875.439893533,m3/yr,lower,15181799.020720616,83.3437792809663,1.833437792809663
rcp45,late,fixed,irrigation,25431781.36468056,18215875.439893533,m3/yr,lower,7215905.924787026,39.61328100094431,1.3961328100094432
rcp45,late,bau,irrigation,41522620.204686746,18215875.439893533,m3/yr,lower,23306744.764793213,127.9474315780095,2.279474315780095
rcp85,early,fixed,irrigation,24081375.47093011,18215875.439893533,m3/yr,lower,5865500.031036578,32.19993488861308,1.3219993488861308
rcp85,early,bau,irrigation,27261250.895450316,18215875.439893533,m3/yr,lower,9045375.455556784,49.65655087730251,1.496565508773025
rcp85,mid,fixed,irrigation,26651837.55605402,18215875.439893533,m3/yr,lower,8435962.116160486,46.31104414386461,1.4631104414386462
rcp85,mid,bau,irrigation,36907654.37067738,18215875.439893533,m3/yr,lower,18691778.93078385,102.61257545628615,2.0261257545628615
rcp85,late,fixed,irrigation,27995808.416841507,18215875.439893533,m3/yr,lower,9779932.976947974,53.689063746722326,1.5368906374672233
rcp85,late,bau,irrigation,45831181.58064701,18215875.439893533,m3/yr,lower,27615306.140753474,151.6002139555412,2.516002139555412
rcp45,early,fixed,net_returns,60964104.83423955,55896242.54134953,USD/yr,higher,5067862.29289002,9.066552709944757,1.0906655270994476
rcp45,early,bau,net_returns,69109437.91952085,55896242.54134953,USD/yr,higher,13213195.378171325,23.63878997483023,1.2363878997483024
rcp45,mid,fixed,net_returns,60488586.2176496,55896242.54134953,USD/yr,higher,4592343.676300071,8.215836105446376,1.0821583610544638
rcp45,mid,bau,net_returns,84200064.27540731,55896242.54134953,USD/yr,higher,28303821.734057784,50.63635845132146,1.5063635845132146
rcp45,late,fixed,net_returns,58554405.44599348,55896242.54134953,USD/yr,higher,2658162.904643953,4.75553057556161,1.0475553057556162
rcp45,late,bau,net_returns,96898686.70401752,55896242.54134953,USD/yr,higher,41002444.16266799,73.35456248662193,1.7335456248662193
rcp85,early,fixed,net_returns,60120985.98952751,55896242.54134953,USD/yr,higher,4224743.448177978,7.558188629678825,1.0755818862967883
rcp85,early,bau,net_returns,68187300.8549534,55896242.54134953,USD/yr,higher,12291058.313603863,21.98906000615603,1.2198906000615604
rcp85,mid,fixed,net_returns,56250283.49224215,55896242.54134953,USD/yr,higher,354040.9508926198,0.6333895353175416,1.0063338953531755
rcp85,mid,bau,net_returns,78355707.94337107,55896242.54134953,USD/yr,higher,22459465.402021542,40.180635371701484,1.401806353717015
rcp85,late,fixed,net_returns,53394387.63126366,55896242.54134953,USD/yr,higher,-2501854.910085872,-4.4758910372823575,0.9552410896271765
rcp85,late,bau,net_returns,88173846.59298255,55896242.54134953,USD/yr,higher,32277604.051633015,57.74557033552925,1.5774557033552925
rcp45,early,fixed,nitrate,10443854.601017492,7389419.807815427,kg N/yr,lower,3054434.793202065,41.33524515648088,1.4133524515648088
rcp45,early,bau,nitrate,10745776.654231586,7389419.807815427,kg N/yr,lower,3356356.8464161586,45.42111469788609,1.4542111469788608
rcp45,mid,fixed,nitrate,12227955.320713632,7389419.807815427,kg N/yr,lower,4838535.512898205,65.47923434774572,1.6547923434774572
rcp45,mid,bau,nitrate,13144343.166830003,7389419.807815427,kg N/yr,lower,5754923.359014576,77.88058479135096,1.7788058479135096
rcp45,late,fixed,nitrate,11652832.347193329,7389419.807815427,kg N/yr,lower,4263412.539377902,57.696174398816794,1.576961743988168
rcp45,late,bau,nitrate,13111228.380343003,7389419.807815427,kg N/yr,lower,5721808.572527576,77.43244694902704,1.7743244694902705
rcp85,early,fixed,nitrate,11080561.081679514,7389419.807815427,kg N/yr,lower,3691141.2738640867,49.95170622137543,1.4995170622137544
rcp85,early,bau,nitrate,11395357.570500992,7389419.807815427,kg N/yr,lower,4005937.7626855653,54.21180372576317,1.5421180372576317
rcp85,mid,fixed,nitrate,12813796.534650791,7389419.807815427,kg N/yr,lower,5424376.7268353645,73.40734276726661,1.7340734276726661
rcp85,mid,bau,nitrate,13756011.652770748,7389419.807815427,kg N/yr,lower,6366591.844955321,86.15821012390838,1.8615821012390836
rcp85,late,fixed,nitrate,16369121.415509963,7389419.807815427,kg N/yr,lower,8979701.607694536,121.5210644575525,2.215210644575525
rcp85,late,bau,nitrate,18067791.19231172,7389419.807815427,kg N/yr,lower,10678371.384496292,144.50892847097822,2.4450892847097823
