Year,old_yield_kg,old_profit_usd,old_irrigation_m3,old_nitrate_kg,new_yield_kg,new_profit_usd,new_irrigation_m3,new_nitrate_kg,observed_irrigation_m3,observed_irrigated_area_ha,yield_change_percent,profit_change_percent,nitrate_change_percent,modeled_vs_observed_irrigation_percent
2006,1417453653.1441858,42246686.85820822,0,1038381.1138640716,1309964051.4211268,38963051.74671829,23716817.63443978,1038381.1138640716,26346209.93418131,15136.659418027699,-7.583288630610696,-7.772526926219648,0,-9.9801539056674
2007,1659600053.0888937,45640420.72691725,0,8480529.020677008,1609794894.9956748,44360797.13937431,15416554.188983353,8480529.020677008,19420024.394076467,16142.707924536899,-3.001033773198547,-2.8037068176899216,0,-20.61516568596207
2008,1878840008.1275728,53665182.95718251,0,7229568.261691511,1779083150.0533128,51097023.30250877,14103667.686006028,7229568.261691511,12625142.995578554,14738.651088923998,-5.309491901531116,-4.785522965090383,0,11.710954014107156
2009,2247647351.442392,61729062.23490526,0,8553026.168190977,2128130855.642494,58856589.20035215,9644389.555924537,8553026.168190977,4788721.868273908,10766.4591679099,-5.317404250413215,-4.653356021548061,0,101.39798930107524
2010,1787207657.3150954,50680089.40394278,0,9240904.448661877,1739685370.389762,49471842.057720795,16747808.10241114,9240904.448661877,15139669.730329387,16326.0305204535,-2.659024357400397,-2.3840671167560834,0,10.622017525654215
2011,1658116793.624785,46032705.10369522,0,7388063.164347403,1521841154.9537616,42248454.77588758,26271888.027411073,7388063.164347403,32558258.829619654,17748.9052384287,-8.218699623270398,-8.220786328509433,0,-19.308068146720416
2012,1105931371.6099331,31943540.356946215,0,-803834.4657268927,891795781.9060612,25707307.187752,36427093.57809308,-803834.4657268927,37959034.38568463,16933.8683550379,-19.362466351971662,-19.522673753468677,0,-4.035773913599039
2013,2159482045.891741,59516757.21008743,0,3627895.615883026,2058639290.346985,56707921.4263251,26145124.9703291,3627895.615883026,26645514.302062213,18728.2444925527,-4.669765869857622,-4.719403266289291,0,-1.8779496093058623
2014,2037900916.58945,57408441.04372583,0,2896954.8361037867,1931781973.432025,54495827.20065623,22612871.926394485,2896954.8361037867,27629598.446875982,19058.670319409,-5.2072670606096665,-5.07349405438684,0,-18.157073582257322
2015,2126995470.526189,58910972.3333823,0,10951191.973547263,2065405211.5090744,57449875.7458265,14497226.979476804,10951191.973547263,9759271.294220693,15065.8394306427,-2.895645988464568,-2.4801773416458506,0,48.54825265552216
2016,2284121373.4622583,63156271.308945104,0,14289868.397609128,2263149965.540997,62655543.56645868,20956668.643279165,14289868.397609128,18087222.598969642,19158.4253302113,-0.9181389467702861,-0.7928393049630555,0,15.864492343191404
2017,2209468559.2148495,62924290.912603565,0,10449737.74996024,2106403091.847725,60103536.68971314,25018385.003469873,10449737.74996024,22730344.271139447,19747.6476252545,-4.664717537494612,-4.48277474720884,0,10.06601882064555
2018,2103895413.9611952,59654594.65217191,0,5523997.3921252135,1999566649.2162552,56775232.285525486,24371508.11614092,5523997.3921252135,30822367.504820682,19586.785082479997,-4.958837975149666,-4.826723546501532,0,-20.92914954592905
2019,2388073465.029101,67805867.82251681,0,19147032.946281463,2357993823.1322937,67532261.07589184,6857430.405616393,19147032.946281463,10574861.820025476,16442.377642585998,-1.2595777448764833,-0.4035148511647213,0,-35.153475077749306
2020,2414987674.01419,67272053.42352718,0,8680489.82789198,2246568193.5849895,62804583.07245566,23272047.314844444,8680489.82789198,15398182.85384259,19093.6756274593,-6.97392712358047,-6.6409008254073925,0,51.135023760527346
2021,2304438528.2438927,64488967.17035504,0,8465950.619044611,2188976185.867417,61419111.2644282,24016316.80912436,8465950.619044611,22622426.945172414,19557.040687778303,-5.010432734973602,-4.760280774566383,0,6.161539906085989
2022,2064513141.8970928,58954706.3488004,0,4801031.255506844,1892236212.3062897,54197454.55032393,25813434.20671507,4801031.255506844,24092737.295529034,19019.0111264734,-8.344675850912575,-8.069333379985977,0,7.141973492174958
2023,1975468281.6886375,54101755.876378514,0,3048768.2150181825,1772701938.839506,48580598.75373404,30639341.062434163,3048768.2150181825,28102071.329930175,20169.9370928902,-10.264216577337615,-10.205134811632021,0,9.028764117475085
