Domain,Year,crop_water_m3,crop_irrigated_area_ha,sector_irrigation_m3,irrigation_gw_m3,irrigation_sw_m3,gw_fraction,crop_minus_sector_m3,crop_to_sector_ratio
Alluvial corridor,1990,20328693.459342584,12537.161195355999,21463718.776617043,21226803.920079295,236914.8565377483,0.9889620778671473,-1135025.3172744587,0.9471188879668431
Alluvial corridor,1991,35695410.191509336,14583.4541451403,35749572.378996044,35161041.18984701,588531.1891490386,0.9835373921984361,-54162.187486708164,0.9984849556545037
Alluvial corridor,1992,11795330.42418685,11802.0497262997,11795330.42418685,11641996.29696132,153334.12722552972,0.987000438163978,0,1
Alluvial corridor,1993,1225439.5359666902,3348.9760320261,1225439.5359666902,1225439.5359666902,0,1,0,1
Alluvial corridor,1994,24609467.506914433,14978.022646285299,24609467.50691443,24382901.562993705,226565.9439207248,0.9907935454573705,3.725290298461914e-9,1.0000000000000002
Alluvial corridor,1995,22742814.772517048,14436.7555998428,22742814.77251705,22681202.354731552,61612.41778549762,0.9972909062311868,-3.725290298461914e-9,0.9999999999999999
Alluvial corridor,1996,26229275.85598181,15636.041500502499,26310747.33135182,26029562.811664492,281184.5196873281,0.9893129405962456,-81471.47537001222,0.9969034906403844
Alluvial corridor,1997,30228779.0401377,16208.2669985733,30362587.14987485,29939243.848410174,423343.30146467744,0.9860570741427606,-133808.10973715037,0.9955929938026477
Alluvial corridor,1998,21215579.235357612,15954.5291009139,21256802.19836845,20894454.573770497,362347.6245979536,0.9829538036240576,-41222.96301083639,0.998060716629616
Alluvial corridor,1999,25657643.368007172,16146.7547809589,26175446.70859123,25773602.99555501,401843.71303622454,0.9846480666591899,-517803.3405840583,0.980217975022596
Alluvial corridor,2000,27319710.804828923,16513.8046584343,27790395.139218673,27239522.15056996,550872.9886487134,0.9801775762493098,-470684.3343897499,0.9830630571450384
Alluvial corridor,2001,27561510.249443363,16668.7992593969,28302487.458894897,27865884.22767658,436603.2312183131,0.9845736798981921,-740977.2094515339,0.9738193609120862
Alluvial corridor,2002,40682093.559891246,17238.3943007934,41493144.87253385,40798016.18298396,695128.6895498936,0.9832471437948289,-811051.3126426041,0.9804533660889253
Alluvial corridor,2003,40453406.02720994,17957.3183441617,41029688.74171213,40450050.95661181,579637.7851003212,0.9858727228288466,-576282.714502193,0.9859544946068205
Alluvial corridor,2004,10937776.8462687,14310.493679476398,11021493.25858305,10834608.425376227,186884.83320682173,0.9830436013685092,-83716.41231434979,0.992404258629006
Alluvial corridor,2005,27784585.43976383,19103.7927685143,27784585.439763825,27342974.27228507,441611.16747875593,0.9841058932321969,3.725290298461914e-9,1.0000000000000002
Alluvial corridor,2006,35032956.43583608,19900.618798006097,35032956.435836084,33990491.59565119,1042464.840184894,0.9702433095507026,-7.450580596923828e-9,0.9999999999999998
Alluvial corridor,2007,24169065.151636474,19417.0194555771,24169065.15163647,23622423.005690545,546642.1459459256,0.9773825697222338,3.725290298461914e-9,1.0000000000000002
Alluvial corridor,2008,15553798.922467584,18222.1850969816,15553798.922467582,15330773.07142062,223025.85104696345,0.9856610046099542,1.862645149230957e-9,1.0000000000000002
Alluvial corridor,2009,5977033.600930419,13478.6623419343,5977033.600930418,5895549.79074203,81483.81018838784,0.9863671821795174,9.313225746154785e-10,1.0000000000000002
Alluvial corridor,2010,17397656.912507087,18883.239093515298,17397656.912507087,17271940.443624247,125716.4688828412,0.992773942519095,0,1
Alluvial corridor,2011,38148928.91457507,20436.4225882789,38148928.91457507,37295828.206090465,853100.7084846019,0.9776376235779801,0,1
Alluvial corridor,2012,81805958.63990012,20700.2776269933,48034077.030317485,47107362.12576805,926714.9045494368,0.980707136228213,33771881.60958263,1.7030817223419732
