LandCover,extracted_county_area_ha,authoritative_area_ha,difference_ha,relative_difference
Corn,24320.737618181265,24385.5,-64.76238181873487,-0.002655774202650545
Developed,12740.533751978215,13114.35,-373.8162480217852,-0.02850436720247555
Double Crop,523.614115655421,521.8199999999999,1.7941156554210238,0.003438188753633483
Fallow/Barren,558.5628790449097,571.95,-13.387120955090381,-0.023406103601871456
Forest,7930.230925225978,8349.93,-419.69907477402194,-0.050263783621422205
Grass/Pasture/Shrubland,9787.75707282608,9900.9,-113.14292717391982,-0.011427539635176582
Other Crops,320.2636394716748,317.16,3.1036394716747964,0.009785721628436108
Sorghum,190.6615027302949,213.84,-23.178497269705105,-0.10839177548496588
Soybeans,22599.584326969365,22626.27,-26.68567303063537,-0.0011794110576173347
Water,6270.588478887221,6286.5,-15.911521112779155,-0.0025310619761042164
Wetlands,167.63923802321924,170.01,-2.3707619767807557,-0.013944838402333721
Wheat,329.74723821319293,318.87,10.877238213192925,0.03411182680463175
