Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2006,20005,Atchison,Corn,Non-alluvial,29.137392,14049.358129666025,2
2006,20005,Atchison,Soybeans,Non-alluvial,56.251354,42505.78412188685,2
2006,20045,Douglas,Corn,Alluvial,140.426042,334125.56015486683,5
2006,20045,Douglas,Golf Course/Turf/Sod,Alluvial,7.284348,19624.696035380723,1
2006,20045,Douglas,Multi-Crop,Alluvial,288.541118,432471.067062529,5
2006,20045,Douglas,Multi-Crop,Non-alluvial,2.428116,863.4372862832499,1
2006,20045,Douglas,Other Crop,Alluvial,159.446284,461470.22506327066,6
2006,20045,Douglas,Soybeans,Alluvial,292.992664,416534.48172141524,10
2006,20061,Geary,Corn,Alluvial,63.535702,243637.3325523822,1
2006,20061,Geary,Corn,Non-alluvial,325.367544,1096577.688398103,6
2006,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,60.7029,176535.9205897982,1
2006,20061,Geary,Multi-Crop,Alluvial,31.160822,98678.5470038,1
2006,20061,Geary,Multi-Crop,Non-alluvial,426.539044,881520.1300216963,7
2006,20061,Geary,Soybeans,Alluvial,97.12464,158206.38048384234,2
2006,20061,Geary,Soybeans,Non-alluvial,175.229038,123718.22830601424,5
2006,20085,Jackson,Corn,Non-alluvial,40.4686,55062.6292281204,1
2006,20087,Jefferson,Alfalfa,Alluvial,20.2343,28123.385896083,1
2006,20087,Jefferson,Corn,Alluvial,675.016248,1573219.740063208,20
2006,20087,Jefferson,Multi-Crop,Alluvial,751.097216,1255080.1045229565,18
2006,20087,Jefferson,Other Crop,Alluvial,146.496332,107756.9733281496,6
2006,20087,Jefferson,Other Crop,Non-alluvial,0.809372,4415.86497842005,1
2006,20087,Jefferson,Soybeans,Alluvial,329.414404,393036.6527161354,10
2006,20091,Johnson,Soybeans,Alluvial,106.837104,161832.817086232,2
2006,20103,Leavenworth,Corn,Alluvial,14.568696,3897.8026066501,1
2006,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,8.903092,17614.1206401783,1
2006,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,6.07029,5933.047638603474,1
2006,20103,Leavenworth,Other Crop,Alluvial,0.404686,24.66963675095,1
2006,20103,Leavenworth,Other Crop,Non-alluvial,1.214058,3626.43660238965,2
2006,20103,Leavenworth,Soybeans,Alluvial,60.7029,36091.67856663985,2
2006,20149,Pottawatomie,Corn,Alluvial,1997.934782,3900923.315699095,54
2006,20149,Pottawatomie,Corn,Non-alluvial,314.44102200000003,389891.27403038926,5
2006,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,12.545266,19266.986302491947,1
2006,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,23.471787999999997,39372.740254516204,2
2006,20149,Pottawatomie,Multi-Crop,Alluvial,2647.860498,4641185.105684851,53
2006,20149,Pottawatomie,Other Crop,Alluvial,14.973381999999999,14505.7464095586,3
2006,20149,Pottawatomie,Other Crop,Non-alluvial,28.328020000000002,29319.863278504075,5
2006,20149,Pottawatomie,Soybeans,Alluvial,1729.627964,2664666.1440171134,40
2006,20149,Pottawatomie,Soybeans,Non-alluvial,92.67309399999999,119808.09088098868,2
2006,20161,Riley,Corn,Alluvial,293.39734999999996,606429.0106118529,7
2006,20161,Riley,Corn,Non-alluvial,48.56232,84641.52369250945,1
2006,20161,Riley,Golf Course/Turf/Sod,Alluvial,26.709276,130465.37395739906,1
2006,20161,Riley,Multi-Crop,Alluvial,808.967314,1761560.0818383356,26
2006,20161,Riley,Multi-Crop,Non-alluvial,32.37488,46107.55108752555,1
2006,20161,Riley,Other Crop,Alluvial,131.11826399999998,235064.63378142705,4
2006,20161,Riley,Other Crop,Non-alluvial,16.592126,46600.94382254455,2
2006,20161,Riley,Soybeans,Alluvial,251.310006,632529.4862943579,9
2006,20161,Riley,Soybeans,Non-alluvial,16.592126,19538.3523067524,1
2006,20177,Shawnee,Alfalfa,Alluvial,66.368504,63980.702913588815,2
2006,20177,Shawnee,Corn,Alluvial,2929.521954,5282509.317480924,85
2006,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,30.756135999999998,99282.95310419827,2
2006,20177,Shawnee,Multi-Crop,Alluvial,1386.858922,2244455.886419806,39
