Year,FIPS,Crop,observed_difference_kgHa,detrended_difference_kgHa
1990,20005,Corn,2165.4867596387394,3037.958236710576
1991,20005,Corn,3540.1000940181125,5504.730110733837
1992,20005,Corn,1732.3894077109917,2090.165481042608
1993,20005,Corn,1675.8984487638936,2334.959636480031
1994,20005,Corn,2347.5131829127195,3081.895649224987
1995,20005,Corn,1732.3894077109908,2259.6383578838995
1996,20005,Corn,960.3463021006573,866.1947038554954
1997,20005,Corn,3295.305938580692,4469.062530037047
1998,20005,Corn,759.489559177644,621.4005484180761
1999,20005,Corn,2705.2892562443376,3577.760733316176
2000,20005,Corn,2071.3351613935747,2510.709286537669
2001,20005,Corn,1456.2113861918479,1644.5145826821754
2002,20005,Corn,3973.197445945861,5222.275315998351
2003,20005,Corn,5121.846944536843,6709.870568271918
2004,20005,Corn,1795.1571398744327,1977.1835631484137
2005,20005,Corn,2793.1640812731575,3370.627217176818
2006,20005,Corn,2931.253092032729,3477.332361854671
2007,20005,Corn,3132.1098349557424,3709.5729708594063
2008,20005,Corn,2736.6731223260576,3169.7704742538062
2009,20005,Corn,1675.8984487638972,1807.7106863071203
2010,20005,Corn,2190.593852504114,2479.3254204559453
2011,20005,Corn,-257.34770187011054,-464.481218009465
2012,20005,Corn,6653.379609324818,7663.940097156232
2013,20005,Corn,4098.732910272742,4569.490901498553
2014,20005,Corn,1123.542405725606,1117.2656325092612
2015,20005,Corn,2046.2280685282021,2184.3170792877736
2016,20005,Corn,1826.541005956151,1920.6926042013147
2017,20005,Corn,3634.2516922632767,3853.9387548353207
2018,20005,Corn,3420.841402907572,3590.3142797488654
2019,20005,Corn,1418.550746893783,1449.9346129755068
2020,20005,Corn,2090.16548104261,2134.1028935570157
2021,20005,Corn,2730.3963491097147,2780.610534840467
1990,20013,Corn,-100.4283714615085,1675.8984487638918
1991,20013,Corn,2473.0486472396033,6546.674464646971
1992,20013,Corn,407.9902590623715,3019.127917061547
1993,20013,Corn,-483.31153765850104,150.64255719225912
1994,20013,Corn,891.3017967208716,3358.073670744132
1995,20013,Corn,263.6244750864562,1581.7468505187317
1996,20013,Corn,-841.0876109901183,112.98191789419434
1997,20013,Corn,1374.6133343793745,3464.7788154219816
1998,20013,Corn,125.53546432688381,1487.5952522735697
1999,20013,Corn,721.8289198795801,2058.781614960886
2000,20013,Corn,1274.184962917865,3031.6814634942384
2001,20013,Corn,822.2572913410822,2309.8525436146556
2002,20013,Corn,4280.7593335467245,6885.620218329555
2003,20013,Corn,4117.563229921776,6571.781557512342
2004,20013,Corn,1186.3101378890442,2655.0750705135815
2005,20013,Corn,1939.522923850347,3433.3949493402615
2006,20013,Corn,2667.6286169462746,4230.545147815972
2007,20013,Corn,3050.511783143268,4613.428314012965
2008,20013,Corn,1412.2739736774383,2391.45059542713
2009,20013,Corn,790.8734252593658,1581.7468505187298
2010,20013,Corn,288.7315679518324,765.7663323939869
