Year,FIPS,Crop,WaterManagement,yield_kgHa,yield_kcalHa,yield_kgHa_detrended,yield_kcalHa_detrended,management_records
1990,20005,Corn,Irrigated,8027.992943704195,28748.24273140472,13727.3030241447,49157.47212946218,2
1991,20005,Corn,Irrigated,7594.895591776446,27197.321114151455,12716.74253631329,45538.65502253789,2
1992,20005,Corn,Irrigated,9459.097237030664,33873.02720580681,15509.906617586445,55540.97559757706,2
1993,20005,Corn,Irrigated,5623.988801844376,20139.50389940471,9032.27665831926,32344.582713441272,2
1994,20005,Corn,Irrigated,9703.891392468087,34749.63507642822,15277.666008581711,54709.32197673111,2
1995,20005,Corn,Irrigated,7073.92341481988,25331.71974846999,10921.585396438855,39110.19730464754,2
1996,20005,Corn,Irrigated,9233.133401242274,33063.850709848586,13984.650726014812,50079.03424985904,2
1997,20005,Corn,Irrigated,9810.59653714594,35131.746199519606,14580.944181567507,52214.36111419325,2
1998,20005,Corn,Irrigated,8756.098636800118,31355.58921838122,12773.233495260389,45740.94914652745,2
1999,20005,Corn,Irrigated,8090.760675867636,28973.013980282,11593.200130587682,41515.24966763449,2
2000,20005,Corn,Irrigated,9923.578455040131,35536.33444749872,13965.82040636578,50011.60287519586,2
2001,20005,Corn,Irrigated,9120.15148334808,32659.26246186947,12610.03739163544,45156.54389944651,2
2002,20005,Corn,Irrigated,8027.992943704195,28748.24273140472,10909.03185000617,39065.243054872095,2
2003,20005,Corn,Irrigated,8511.304481362695,30478.98134775981,11373.513068015636,40728.55029656399,2
2004,20005,Corn,Irrigated,12026.29748251543,43066.17128488776,15804.914958754622,56597.4004673003,2
2005,20005,Corn,Irrigated,9967.515867554544,35693.67432171282,12886.21541315458,46145.53739450656,2
2006,20005,Corn,Irrigated,11003.183448251331,39402.39992818802,13997.2042724475,50123.98849963449,2
2007,20005,Corn,Irrigated,10626.577055270682,38053.772434924314,13306.759218649642,47651.50476198437,2
2008,20005,Corn,Irrigated,10708.175107083154,38345.97505846478,13200.05407397179,47269.39363889298,2
2009,20005,Corn,Irrigated,11536.709171640588,41312.95554364494,14003.481045663844,50146.46562452223,2
2010,20005,Corn,Irrigated,9051.106977968291,32412.014088104457,10821.157024977349,38750.56330644389,2
2011,20005,Corn,Irrigated,8197.465820545485,29355.125103373382,9653.677206737337,34569.818077326396,2
2012,20005,Corn,Irrigated,10306.461621237126,36907.43906565015,11963.529750351989,42841.40003601047,2
2013,20005,Corn,Irrigated,12459.394834443176,44617.09290214102,14254.55197431761,51045.55062003136,2
2014,20005,Corn,Irrigated,13030.581197130496,46662.51126692431,14693.926099461702,52618.94936217235,2
2015,20005,Corn,Irrigated,10626.577055270682,38053.772434924314,11819.163966376074,42324.426163592725,2
2016,20005,Corn,Irrigated,10959.24603573692,39245.06005397391,12020.020709299086,43043.69416000003,2
2017,20005,Corn,Irrigated,13658.258518764917,48910.22375569716,14775.524151274176,52911.15198571282,2
2018,20005,Corn,Irrigated,13287.928899000606,47584.07338732117,14179.23069572148,50775.82512137862,2
2019,20005,Corn,Irrigated,10827.433798193695,38773.040431331625,11404.896934097358,40840.93592100264,2
2020,20005,Corn,Irrigated,12861.108320289206,46055.62889495565,13363.250177596738,47853.79888597392,2
2021,20005,Corn,Irrigated,13225.161166837166,47359.30213844389,13570.383693736096,48595.54400726896,2
1990,20005,Corn,Non-Irrigated,5862.506184065455,20993.63464513839,10689.344787434124,38278.5436838016,2
1991,20005,Corn,Non-Irrigated,4054.7954977583336,14520.222677472591,7212.012425579453,25826.21649600002,2
1992,20005,Corn,Non-Irrigated,7726.707829319673,27669.340736793747,13419.741136543837,48056.09300996348,2
1993,20005,Corn,Non-Irrigated,3948.0903530804826,14138.111554381208,6697.31702183923,23983.09225520628,2
1994,20005,Corn,Non-Irrigated,7356.378209555368,26343.19036841777,12195.770359356724,43673.05365685643,2
1995,20005,Corn,Non-Irrigated,5341.5340071088895,19128.033279456933,8661.947038554956,31018.432345065296,2
1996,20005,Corn,Non-Irrigated,8272.787099141617,29624.85060202613,13118.456022159316,46977.19101535251,2
1997,20005,Corn,Non-Irrigated,6515.290598565249,23331.255633462155,10111.88165153046,36210.648194130576,2
1998,20005,Corn,Non-Irrigated,7996.609077622474,28635.85710696608,12151.832946842313,43515.71378264232,2
1999,20005,Corn,Non-Irrigated,5385.471419623298,19285.37315367103,8015.439397271506,28703.288481629264,2
2000,20005,Corn,Non-Irrigated,7852.243293646557,28118.88323454832,11455.11111982811,41020.75292010446,2
2001,20005,Corn,Non-Irrigated,7663.940097156232,27444.569487916466,10965.522808953265,39267.53717886164,2
2002,20005,Corn,Non-Irrigated,4054.7954977583336,14520.222677472591,5686.756534007818,20364.275148281995,2
2003,20005,Corn,Non-Irrigated,3389.457536825852,12137.647439373375,4663.642499743718,16700.503791582254,2
2004,20005,Corn,Non-Irrigated,10231.140342640998,36637.713566997416,13827.731395606208,49517.10612766583,2
2005,20005,Corn,Non-Irrigated,7174.351786281387,25691.353746673645,9515.588195977762,34075.32132979637,2
2006,20005,Corn,Non-Irrigated,8071.930356218602,28905.582605618816,10519.871910592828,37671.66131183292,2
2007,20005,Corn,Non-Irrigated,7494.467220314939,26837.687115947796,9597.186247790236,34367.52395333684,2
2008,20005,Corn,Non-Irrigated,7971.501984757097,28545.94860741516,10030.283599717985,35918.445570590105,2
2009,20005,Corn,Non-Irrigated,9860.810722876691,35311.56319862143,12195.770359356724,43673.05365685643,2
2010,20005,Corn,Non-Irrigated,6860.513125464177,24567.49750228722,8341.831604521403,29872.098975791145,2
2011,20005,Corn,Non-Irrigated,8454.813522415596,30276.68722377025,10118.158424746802,36233.1253190183,2
2012,20005,Corn,Non-Irrigated,3653.0820119123073,13081.686684657972,4299.589653195757,15396.830548094003,2
2013,20005,Corn,Non-Irrigated,8360.661924170434,29939.530350454323,9685.061072819057,34682.20370176504,2
2014,20005,Corn,Non-Irrigated,11907.03879140489,42639.10591202091,13576.66046695244,48618.02113215669,2
2015,20005,Corn,Non-Irrigated,8580.34898674248,30726.229721524815,9634.8468870883,34502.38670266321,2
2016,20005,Corn,Non-Irrigated,9132.70502978077,32704.216711644935,10099.328105097771,36165.69394435512,2
2017,20005,Corn,Non-Irrigated,10024.00682650164,35895.96844570237,10921.585396438855,39110.19730464754,2
2018,20005,Corn,Non-Irrigated,9867.087496093034,35334.04032350916,10588.916415972615,37918.90968559794,2
2019,20005,Corn,Non-Irrigated,9408.883051299912,33693.210206704985,9954.962321121851,35648.72007193736,2
2020,20005,Corn,Non-Irrigated,10770.942839246596,38570.74630734206,11229.147284039722,40211.576424146246,2
2021,20005,Corn,Non-Irrigated,10494.764817727451,37581.752812282,10789.773158895629,38638.17768200525,2
1990,20013,Corn,Irrigated,6295.603535993202,22544.556262391656,13469.955322274587,48235.9100090653,2
1991,20013,Corn,Irrigated,7783.198788266771,27871.634860783302,16093.646526706452,57631.3482121358,2
1992,20013,Corn,Irrigated,9302.17790662206,33311.09908361359,18616.90935967681,66667.15241700265,2
1993,20013,Corn,Irrigated,4343.527065710166,15554.170422308103,8417.152883117531,30141.82447444388,2
1994,20013,Corn,Irrigated,8988.339245804851,32187.242839227172,16897.073498398506,60508.42019776505,2
1995,20013,Corn,Irrigated,6069.639700204813,21735.37976643344,11072.227953631116,39649.64830195303,2
1996,20013,Corn,Irrigated,8360.661924170434,29939.530350454323,14819.461563788587,53068.49185992693,2
1997,20013,Corn,Irrigated,8253.956779492584,29557.419227362945,14223.16810823589,50933.16499559272,2
1998,20013,Corn,Irrigated,8850.25023504528,31692.746091697147,14838.29188343762,53135.92323459012,2
1999,20013,Corn,Irrigated,7293.610477391926,26118.41911954049,11907.03879140489,42639.10591202091,2
2000,20013,Corn,Irrigated,9484.204329896042,33962.935705357726,15083.086038875044,54012.53110521153,2
2001,20013,Corn,Irrigated,10049.113919367015,35985.87694525329,15585.227896182576,55810.7010962298,2
2002,20013,Corn,Irrigated,8272.787099141617,29624.85060202613,12515.885793390276,44819.38702613058,2
2003,20013,Corn,Irrigated,9358.668865569158,33513.393207603156,13821.45462238986,49494.62900277809,2
2004,20013,Corn,Irrigated,12346.41291654898,44212.5046541619,17807.20561476841,63767.603306485675,2
2005,20013,Corn,Irrigated,11053.397633982084,39582.21692728984,15578.951122966231,55788.22397134207,2
2006,20013,Corn,Irrigated,10563.80932310724,37829.001186047026,14562.113861918477,52146.92973953006,2
2007,20013,Corn,Irrigated,10902.755076789825,39042.76592998436,14700.202872678045,52641.426487060075,2
2008,20013,Corn,Irrigated,10670.51446778509,38211.11230913841,14078.802324259974,50416.19112317497,2
2009,20013,Corn,Irrigated,11718.735594914566,41964.79216538906,15139.576997822138,54214.82522920107,2
2010,20013,Corn,Irrigated,9007.169565453885,32254.674213890365,11398.620160881012,40818.4587961149,2
2011,20013,Corn,Irrigated,11072.227953631116,39649.64830195303,13733.579797361046,49179.94925434991,2
2012,20013,Corn,Irrigated,11894.485244972202,42594.15166224546,14461.68549045697,51787.29574132641,2
2013,20013,Corn,Irrigated,13413.464363327492,48033.61588507575,15999.49492846129,57294.19133881988,2
2014,20013,Corn,Irrigated,14618.604820865574,52349.22386351962,17104.207014537864,61250.16531906009,2
2015,20013,Corn,Irrigated,12710.465763096943,45516.17789765015,14593.497728000197,52259.3153639687,2
2016,20013,Corn,Irrigated,12289.921957601886,44010.21053017235,13859.115261687928,49629.49175210447,2
2017,20013,Corn,Irrigated,14493.06935653869,51899.68136576505,16049.709114192045,57474.00833792171,2
2018,20013,Corn,Irrigated,14398.917758293528,51562.52449244913,15666.825947995048,56102.90371977027,2
2019,20013,Corn,Irrigated,12691.63544344791,45448.74652298697,13570.383693736096,48595.54400726896,2
2020,20013,Corn,Irrigated,13764.963663442766,49292.33487878855,14467.962263673311,51809.77286621413,2
2021,20013,Corn,Irrigated,14122.739736774382,50573.53099738906,14593.497728000197,52259.3153639687,2
1990,20013,Corn,Non-Irrigated,6396.031907454711,22904.19026059532,11794.056873510695,42234.5176640418,2
1991,20013,Corn,Non-Irrigated,5310.150141027168,19015.647655018285,9546.972062059482,34187.706954235,2
1992,20013,Corn,Non-Irrigated,8894.18764755969,31850.085965911247,15597.781442615264,55855.65534600526,2
1993,20013,Corn,Non-Irrigated,4826.8386033686675,17284.909038663198,8266.510325925272,29602.373477138397,2
1994,20013,Corn,Non-Irrigated,8097.0374490839795,28995.49110516973,13538.999827654374,48483.15838283031,2
1995,20013,Corn,Non-Irrigated,5806.015225118357,20791.340521148835,9490.481103112385,33985.41283024545,2
1996,20013,Corn,Non-Irrigated,9201.749535160552,32951.46508540994,14706.479645894393,52663.90361194781,2
1997,20013,Corn,Non-Irrigated,6879.34344511321,24634.92887695041,10758.389292813908,38525.79205756661,2
1998,20013,Corn,Non-Irrigated,8724.714770718396,31243.203593942577,13350.69663116405,47808.84463619846,2
1999,20013,Corn,Non-Irrigated,6571.781557512346,23533.54975745171,9848.257176444004,35266.60894884598,2
2000,20013,Corn,Non-Irrigated,8210.019366978177,29400.07935314885,12051.404575380806,43156.07978443867,2
2001,20013,Corn,Non-Irrigated,9226.856628025933,33041.37358496086,13275.37535256792,47539.11913754572,2
2002,20013,Corn,Non-Irrigated,3992.027765594892,14295.451428595308,5630.265575060721,20161.981024292443,2
2003,20013,Corn,Non-Irrigated,5241.105635647382,18768.39928125327,7249.673064877517,25961.07924532639,2
2004,20013,Corn,Non-Irrigated,11160.102778659935,39964.328050381235,15152.130544254827,54259.77947897654,2
2005,20013,Corn,Non-Irrigated,9113.874710131737,32636.785336981746,12145.55617362597,43493.2366577546,2
2006,20013,Corn,Non-Irrigated,7896.180706160965,28276.223108762417,10331.568714102505,36997.34756520107,2
2007,20013,Corn,Non-Irrigated,7852.243293646557,28118.88323454832,10086.77455866508,36120.73969457965,2
2008,20013,Corn,Non-Irrigated,9258.240494107651,33153.7592093995,11687.351728832844,41852.40654095041,2
2009,20013,Corn,Non-Irrigated,10927.8621696552,39132.67442953527,13557.830147303408,48550.5897574935,2
2010,20013,Corn,Non-Irrigated,8718.437997502053,31220.72646905485,10632.853828487025,38076.24955981204,2
2011,20013,Corn,Non-Irrigated,10281.35452837175,36817.53056609924,12333.859370116295,44167.55040438646,2
2012,20013,Corn,Non-Irrigated,6170.068071666319,22095.01376463709,7281.056930959237,26073.46486976503,2
2013,20013,Corn,Non-Irrigated,11266.807923337788,40346.439173472616,13080.795382861252,46842.32826602614,2
2014,20013,Corn,Non-Irrigated,12277.368411169198,43965.2562803969,14022.311365312878,50213.89699918542,2
