Crop,model,validation,fold,n,RMSE,MAE,R2,bias
Corn,total_water_curve,forward_year_block,2012_2015,120,2484.412514693369,2015.5551262437034,0.6768411308580585,-1441.0141667822438
Corn,total_water_curve,forward_year_block,2016_2019,120,2419.7496580796055,1849.7693790436433,0.32690629328607756,813.5005123997668
Corn,total_water_curve,forward_year_block,2020_2023,120,2362.9516385904567,2019.1718545033068,0.4775560151052662,-1678.908093458874
Corn,total_water_curve,held_out_county,1,108,2103.2212533906054,1753.8036576771885,0.39277580223328995,-295.23658829406054
Corn,total_water_curve,held_out_county,2,108,2750.7541706187676,2284.87807193342,0.23838735914919365,-124.92172703315632
Corn,total_water_curve,held_out_county,3,108,1894.0750572009786,1604.2099529587567,0.41204221090128046,148.86475623536643
Corn,total_water_curve,held_out_county,4,102,2518.5637529483693,1997.5514242115723,0.3629027976129589,669.3059648148205
Corn,total_water_curve,held_out_county,5,108,2371.4991609250537,1978.1738350465873,0.3501584511346439,-415.239485492455
Corn,total_water_plus_management,forward_year_block,2012_2015,120,1772.4661475336077,1459.9466263056313,0.8697995404955794,-1260.7141029740396
Corn,total_water_plus_management,forward_year_block,2016_2019,120,1943.2041344331028,1435.2564879213467,0.541829883551304,-489.8706952119089
Corn,total_water_plus_management,forward_year_block,2020_2023,120,1852.8324252589584,1494.1986284129268,0.7197521422996794,-1267.721485959723
Corn,total_water_plus_management,held_out_county,1,108,1453.0808892263503,1114.383950479928,0.7253653827081579,-383.4542284316497
Corn,total_water_plus_management,held_out_county,2,108,2683.5552476510643,2100.462572912272,0.30639980348258755,-148.0016065927645
Corn,total_water_plus_management,held_out_county,3,108,1099.348293187449,860.1328060125019,0.8009764296771851,55.10264024252322
Corn,total_water_plus_management,held_out_county,4,102,1698.6894883874295,1124.4327739925823,0.7715937378451478,693.0833185209898
Corn,total_water_plus_management,held_out_county,5,108,1658.5730322753323,1238.166600347318,0.6841823191050327,-257.75987960034104
Corn,separate_sources_linear_irrigation,forward_year_block,2012_2015,120,1679.3258096018847,1325.2550835741163,0.865220561543286,-1119.1817120924227
Corn,separate_sources_linear_irrigation,forward_year_block,2016_2019,120,1498.31309821588,1019.7218851486925,0.7170483002257915,212.51033076849956
Corn,separate_sources_linear_irrigation,forward_year_block,2020_2023,120,1876.741597093928,1514.270889392906,0.7345931606184486,-1325.887892110282
Corn,separate_sources_linear_irrigation,held_out_county,1,108,1461.5770422809146,1091.0445395302122,0.7246582753735533,-402.2063337995273
Corn,separate_sources_linear_irrigation,held_out_county,2,108,2580.1405185029676,1989.6163620931673,0.34917800234780094,-169.9586147641936
Corn,separate_sources_linear_irrigation,held_out_county,3,108,1104.3959450751497,860.2274492332418,0.7985468507292457,15.39961477926312
Corn,separate_sources_linear_irrigation,held_out_county,4,102,1649.1586924440678,1102.6625458921271,0.7849132702528203,719.9582273894652
Corn,separate_sources_linear_irrigation,held_out_county,5,108,1597.3502376961326,1187.108460759834,0.7051104490298749,-202.261228494596
Corn,separate_sources_curved,forward_year_block,2012_2015,120,1656.3080873935337,1312.1350651519915,0.8693482063557333,-1105.4400455508733
Corn,separate_sources_curved,forward_year_block,2016_2019,120,1539.8151363828943,1047.1353967541747,0.70165952575278,171.56977562885032
Corn,separate_sources_curved,forward_year_block,2020_2023,120,1909.0378768194093,1547.4087299411342,0.7329238642363506,-1374.7834695630252
Corn,separate_sources_curved,held_out_county,1,108,1460.4922349188205,1093.1904452284255,0.7255034669325057,-405.34731048716714
Corn,separate_sources_curved,held_out_county,2,108,2577.670499149131,1987.210573086751,0.3501132695739391,-170.551132678562
Corn,separate_sources_curved,held_out_county,3,108,1107.5190324825667,857.3768868084032,0.7974028357658485,13.08623005109639
Corn,separate_sources_curved,held_out_county,4,102,1652.6261162155563,1111.8663280815795,0.7831627890162922,725.3164357299801
Corn,separate_sources_curved,held_out_county,5,108,1595.974402407777,1185.8573929346455,0.7056541256066875,-200.79899351465835
Soybeans,total_water_curve,forward_year_block,2012_2015,126,551.4922127296256,470.20255017260644,0.545023699202189,-139.9504692521463
Soybeans,total_water_curve,forward_year_block,2016_2019,128,442.8122519536187,363.5861535990473,0.39978264329693447,-111.29448299195026
Soybeans,total_water_curve,forward_year_block,2020_2023,128,597.3620141301718,509.8487037163084,0.5398454689721925,-141.69488231906377
Soybeans,total_water_curve,held_out_county,1,142,554.9614003338064,451.7083375128894,0.3603155716516292,-81.63193688296022
Soybeans,total_water_curve,held_out_county,2,108,675.8873785568873,558.9306852200523,0.2507896201887986,-27.108567324727296
Soybeans,total_water_curve,held_out_county,3,108,489.9994222905236,410.50740066463555,0.446437313877644,-61.06217125225783
