Year,Crop,Domain,FIPS,County,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m,annual_domain_area_share
2006,Corn,Alluvial,20045,Douglas,334125.5601548668,0,5,0,334125.5601548668,140.426042,334125.5601548668,1,0.23793703460991003,0.019172859629251044
2006,Corn,Alluvial,20061,Geary,243637.3325523822,0,1,0,243637.3325523822,63.535702,243637.3325523822,1,0.3834652406176014,0.008674752051274968
2006,Corn,Alluvial,20087,Jefferson,1573219.740063208,0,20,0,1573219.740063208,675.016248,1573219.740063208,1,0.2330639810114923,0.09216233389507418
2006,Corn,Alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Alluvial,20103,Leavenworth,3897.8026066501,0,1,0,3897.8026066501,14.568696,3897.8026066501,1,0.026754643014378916,0.0019891151200375724
2006,Corn,Alluvial,20149,Pottawatomie,3900923.315699095,128072.41919255692,56,0,4028995.7348916517,2059.4470539999998,4028995.7348916517,1,0.19563482960468728,0.28118352349642234
2006,Corn,Alluvial,20161,Riley,606429.0106118529,0,7,0,606429.0106118529,293.39734999999996,606429.0106118529,1,0.20669205451646136,0.04005856838964555
2006,Corn,Alluvial,20177,Shawnee,5282509.317480924,0,85,0,5282509.317480924,2929.521954,5282509.317480924,1,0.18031984058928557,0.39997789872088846
2006,Corn,Alluvial,20197,Wabaunsee,1833916.126428872,474890.50745578745,22,0,2308806.6338846595,1148.296525,2308806.6338846595,1,0.20106362630372496,0.15678094869740586
2006,Corn,Alluvial,20209,Wyandotte,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20005,Atchison,14049.358129666025,0,2,0,14049.358129666025,29.137392,14049.358129666025,1,0.0482176240401544,0.016917293233082706
2006,Corn,Non-alluvial,20013,Brown,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20061,Geary,1096577.688398103,63339.29235806412,7,0,1159916.980756167,363.003342,1159916.980756167,1,0.3195334165149827,0.2107612781954887
2006,Corn,Non-alluvial,20085,Jackson,55062.6292281204,0,1,0,55062.6292281204,40.4686,55062.6292281204,1,0.13606259971464393,0.023496240601503758
2006,Corn,Non-alluvial,20087,Jefferson,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20103,Leavenworth,0,65596.56412077605,1,0,65596.56412077605,28.732706,65596.56412077605,1,0.22829929113107567,0.01668233082706767
2006,Corn,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2006,Corn,Non-alluvial,20149,Pottawatomie,389891.27403038926,394886.8754724566,11,0,784778.149502846,532.16209,784778.149502846,1,0.14746975860359499,0.30897556390977443
2006,Corn,Non-alluvial,20161,Riley,84641.52369250945,163584.36129554943,3,0,248225.88498805888,159.041598,248225.88498805888,1,0.15607607576230395,0.09234022556390976
2006,Corn,Non-alluvial,20177,Shawnee,0,141110.322215434,4,0,141110.322215434,160.66034200000001,141110.322215434,1,0.08783145887703511,0.09328007518796992
2006,Corn,Non-alluvial,20197,Wabaunsee,31034.4030326951,674147.1634932107,10,0,705181.5665259057,409.137546,705181.5665259057,1,0.1723580672124151,0.23754699248120298
2006,Soybeans,Alluvial,20045,Douglas,416534.48172141524,0,10,0,416534.48172141524,292.992664,416534.48172141524,1,0.14216549862880362,0.0556751768686558
2006,Soybeans,Alluvial,20061,Geary,158206.38048384234,0,2,0,158206.38048384234,97.12464,158206.38048384234,1,0.16289005599798603,0.01845585973546601
2006,Soybeans,Alluvial,20087,Jefferson,393036.6527161354,0,10,0,393036.6527161354,329.414404,393036.6527161354,1,0.11931374218722245,0.06259612426945554
2006,Soybeans,Alluvial,20091,Johnson,161832.817086232,0,2,0,161832.817086232,106.837104,161832.817086232,1,0.15147622972467692,0.02030144570901261
2006,Soybeans,Alluvial,20103,Leavenworth,36091.67856663985,0,2,0,36091.67856663985,60.7029,36091.67856663985,1,0.0594562674380299,0.011534912334666256
