Crop,Domain,FIPS,County,years_active,mean_irrigated_area_ha,mean_waterUse_m3,mean_applied_depth_m,total_pdiv_years,mean_annual_domain_area_share,sd_annual_domain_area_share,historical_area_share
Corn,Alluvial,20045,Douglas,18,466.32192605555554,653727.5569402992,0.14018803757951906,197,0.05312301266842512,0.015870907362998107,0.053546695718510354
Corn,Alluvial,20061,Geary,17,118.977684,213476.64582128322,0.1794257869578998,44,0.013998246795413399,0.006240785077566125,0.013661939288014695
Corn,Alluvial,20087,Jefferson,18,973.5845857777778,1233065.194793484,0.12665208681466666,492,0.1114537371175162,0.019900506281839092,0.1117945236069895
Corn,Alluvial,20091,Johnson,12,53.238691555555555,63774.43733964338,0.11978964072228104,24,0.006478520405897539,0.005961259363144769,0.006113278955785865
Corn,Alluvial,20103,Leavenworth,14,50.76561044444444,52052.24827681697,0.10253446737093916,28,0.005545275864253842,0.00552333320277774,0.005829300625914056
Corn,Alluvial,20149,Pottawatomie,18,2328.3721422777776,3212408.1446015188,0.1379679857129245,1033,0.2673626311524541,0.014133390787398966,0.26736172514253775
Corn,Alluvial,20161,Riley,18,442.28807416666666,634864.8785734479,0.14354103482659422,211,0.0502974266616284,0.014499835164833025,0.0507869426763925
Corn,Alluvial,20177,Shawnee,18,3210.767482722222,3915744.9705126034,0.12195666586210321,1700,0.3680343849938326,0.021704598864882126,0.36868519324079946
Corn,Alluvial,20197,Wabaunsee,18,1052.6669749444445,1511824.552134656,0.14361850310868202,473,0.1221593577549662,0.022273437452000628,0.12087537610993578
Corn,Alluvial,20209,Wyandotte,4,11.713411444444445,33489.717157102146,0.28590916758913987,7,0.0015474065856125336,0.0032821859379909045,0.0013450246351201164
Corn,Non-alluvial,20005,Atchison,16,100.59819483333332,106759.9088427987,0.1061250741324671,56,0.05423493909593015,0.0461736173117751,0.057013073061338904
Corn,Non-alluvial,20013,Brown,14,96.22533777777778,72621.24318560906,0.07546998001017168,34,0.05046026250740675,0.042905239201248634,0.05453479778802783
Corn,Non-alluvial,20061,Geary,18,295.5893991666667,479441.37016865023,0.16219843185185387,143,0.17097199105252084,0.04528517648981385,0.16752248923319998
Corn,Non-alluvial,20085,Jackson,13,44.313117,50777.65037801789,0.1145883066136329,23,0.023935371507201417,0.026158248526670213,0.02511403888789786
Corn,Non-alluvial,20087,Jefferson,9,57.667755,36250.66067014597,0.06286123097759914,9,0.03191080959661272,0.03607521818132627,0.03268265334726434
Corn,Non-alluvial,20091,Johnson,4,9.262812888888888,5960.45834610453,0.06434825379290925,5,0.005414266537239372,0.011034665505894985,0.005249611375856884
Corn,Non-alluvial,20103,Leavenworth,6,12.635196222222222,9530.01773042949,0.0754243746026557,6,0.006566788441236109,0.010199949490044515,0.007160877653474682
Corn,Non-alluvial,20131,Nemaha,12,135.7271878888889,148380.32711240146,0.10932247946805682,55,0.07112530702801717,0.0633895801789993,0.0769220967865243
