Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
1990,20005,Atchison,Corn,Non-alluvial,0,109015.12480244804,1,0,109015.12480244804,22.25773,109015.12480244804,1,0.4897854579170834
1990,20005,Atchison,Multi-Crop,Non-alluvial,74946.3564493861,0,3,0,74946.3564493861,56.25135399999999,74946.3564493861,1,0.13323475991242115
1990,20005,Atchison,Soybeans,Non-alluvial,0,170343.84176530974,1,0,170343.84176530974,35.612368,170343.84176530974,1,0.47832775895528695
1990,20045,Douglas,Alfalfa,Alluvial,5822.0342732242,0,4,0,5822.0342732242,12.14058,5822.0342732242,1,0.04795515760551967
1990,20045,Douglas,Corn,Alluvial,68347.22861850697,0,3,0,68347.22861850697,46.53889,68347.22861850697,1,0.1468604614732044
1990,20045,Douglas,Multi-Crop,Alluvial,713211.53328834,0,13,0,713211.53328834,539.851124,713211.53328834,1,0.13211263283177677
1990,20045,Douglas,Other Crop,Non-alluvial,715.4194657775499,1147.138108919175,2,0,1862.557574696725,3.642174,1862.557574696725,1,0.05113862145786349
1990,20045,Douglas,Soybeans,Alluvial,3638.771420765125,0,1,0,3638.771420765125,8.09372,3638.771420765125,1,0.04495796025517469
1990,20045,Douglas,Wheat,Alluvial,128282.11110493998,0,2,0,128282.11110493998,56.656040000000004,128282.11110493998,1,0.22642265697521388
1990,20061,Geary,Alfalfa,Non-alluvial,148412.5346937152,0,3,0,148412.5346937152,150.138506,148412.5346937152,1,0.098850413959570893
1990,20061,Geary,Corn,Non-alluvial,199824.05768269498,61057.350958601244,3,0,260881.40864129624,93.887152,260881.40864129624,1,0.2778669957325963
1990,20061,Geary,Multi-Crop,Non-alluvial,45429.13607687442,145230.15155284264,5,0,190659.28762971706,125.45266,190659.28762971706,1,0.15197707854876658
1990,20061,Geary,Other Crop,Non-alluvial,434580.3210047352,12.334818375474999,6,0,434592.65582311066,132.332322,434592.65582311066,1,0.32841005829483644
1990,20061,Geary,Sorghum,Non-alluvial,0,38521.63778660843,2,0,38521.63778660843,42.49203,38521.63778660843,1,0.09065614842738375
1990,20061,Geary,Soybeans,Alluvial,14308.389315551,0,1,0,14308.389315551,16.18744,14308.389315551,1,0.0883919218576316
1990,20061,Geary,Soybeans,Non-alluvial,61871.44897138259,19415.00412299765,3,0,81286.45309438024,66.368504,81286.45309438024,1,0.1224774527001245
1990,20087,Jefferson,Corn,Alluvial,626300.4030147431,0,16,1,619762.9492757414,389.712618,626300.4030147431,0.9895617922205809,0.1607082691417354
1990,20087,Jefferson,Multi-Crop,Alluvial,370969.6626424106,0,4,0,370969.6626424106,182.513386,370969.6626424106,1,0.20325613960304842
1990,20087,Jefferson,Other Crop,Non-alluvial,0,63598.323543949096,1,0,63598.323543949096,10.11715,63598.323543949096,1,0.6286189642730324
1990,20087,Jefferson,Soybeans,Alluvial,36350.709752524825,0,1,0,36350.709752524825,22.25773,36350.709752524825,1,0.16331723743852058
1990,20091,Johnson,Multi-Crop,Alluvial,103180.75571084836,0,2,0,103180.75571084836,53.418552,103180.75571084836,1,0.19315528378764057
1990,20091,Johnson,Other Crop,Non-alluvial,0,92868.84754895128,2,0,92868.84754895128,86.602804,92868.84754895128,1,0.10723538183469357
1990,20091,Johnson,Unknown,Non-alluvial,0,330733.4851016112,1,0,330733.4851016112,48.56232,330733.4851016112,1,0.6810495979220333
1990,20103,Leavenworth,Alfalfa,Non-alluvial,0,10225.564433268773,1,0,10225.564433268773,12.14058,10225.564433268773,1,0.08422632554020297
1990,20103,Leavenworth,Corn,Alluvial,9880.189518755475,0,1,0,9880.189518755475,17.806184,9880.189518755475,1,0.05548740549213394
1990,20103,Leavenworth,Corn,Non-alluvial,0,2540.97258534785,1,0,2540.97258534785,8.09372,2540.97258534785,1,0.031394372245986395
1990,20103,Leavenworth,Multi-Crop,Alluvial,149707.69062314005,0,2,0,149707.69062314005,123.42922999999999,149707.69062314005,1,0.12129030588875915
1990,20103,Leavenworth,Multi-Crop,Non-alluvial,106079.438029085,5513.663813837325,4,0,111593.10184292232,11.331208,111593.10184292232,1,0.9848297007955579
1990,20103,Leavenworth,Other Crop,Alluvial,0,1677.5352990646,1,0,1677.5352990646,3.237488,1677.5352990646,1,0.05181595419240473
1990,20103,Leavenworth,Other Crop,Non-alluvial,0,15443.192606094699,3,0,15443.192606094699,6.879662,15443.192606094699,1,0.22447603684737275
1990,20103,Leavenworth,Soybeans,Non-alluvial,0,3170.048322497075,2,0,3170.048322497075,10.521836,3170.048322497075,1,0.030128281057574695
1990,20149,Pottawatomie,Alfalfa,Non-alluvial,53002.71455941607,48599.184399371494,3,0,101601.89895878755,76.485654,101601.89895878755,1,0.13283785081943283
1990,20149,Pottawatomie,Corn,Alluvial,2610368.2735282723,0,47,0,2610368.2735282723,1840.714271,2610368.2735282723,1,0.14181279053756368
1990,20149,Pottawatomie,Corn,Non-alluvial,141332.34894619253,330215.4227298412,9,0,471547.77167603374,239.97879799999998,471547.77167603374,1,0.19649559694687435
1990,20149,Pottawatomie,Multi-Crop,Alluvial,2192069.912779164,0,37,0,2192069.912779164,1434.61187,2192069.912779164,1,0.15279881329708808
1990,20149,Pottawatomie,Multi-Crop,Non-alluvial,250655.84420802747,569806.9348550676,10,0,820462.7790630951,452.034262,820462.7790630951,1,0.18150455574606314
1990,20149,Pottawatomie,Other Crop,Alluvial,26680.212146152422,0,4,0,26680.212146152422,26.304589999999997,26680.212146152422,1,0.10142797187164836
1990,20149,Pottawatomie,Other Crop,Non-alluvial,62278.49797777327,0,5,0,62278.49797777327,24.685845999999998,62278.49797777327,1,0.25228423598597055
