Crop,Domain,FIPS,County,years_active,mean_groundwater_irrigated_area_ha,mean_groundwater_withdrawal_m3,mean_groundwater_depth_m,historical_groundwater_area_share
Corn,Alluvial,20045,Douglas,18,466.32192605555554,653727.5569402992,0.14018803757951906,0.05516759869405342
Corn,Alluvial,20061,Geary,17,118.977684,213476.64582128322,0.1794257869578998,0.014075497543038386
Corn,Alluvial,20087,Jefferson,18,881.2487301111111,1128017.7699018137,0.12800220089504005,0.10425496545625011
Corn,Alluvial,20091,Johnson,12,53.238691555555555,63774.43733964338,0.11978964072228104,0.006298332989779837
Corn,Alluvial,20103,Leavenworth,14,42.44706488888889,32361.081275746186,0.07623867836434824,0.00502164387022987
Corn,Alluvial,20149,Pottawatomie,18,2240.4203849444443,3059583.8565355083,0.13656293600503802,0.26504997041006984
Corn,Alluvial,20161,Riley,18,420.0303441666667,611803.5650851224,0.14565699206778276,0.04969113432498388
Corn,Alluvial,20177,Shawnee,18,3207.8447505,3912069.879904399,0.12195321732121335,0.3794998304397263
Corn,Alluvial,20197,Wabaunsee,18,1010.5796309444444,1454659.5216412048,0.14394308742218984,0.11955528662335675
Corn,Alluvial,20209,Wyandotte,4,11.713411444444445,33489.717157102146,0.28590916758913987,0.0013857396485115268
Corn,Non-alluvial,20005,Atchison,12,38.07420783333333,38538.08421110905,0.10121834807386225,0.05797374321756842
Corn,Non-alluvial,20061,Geary,18,216.61942277777777,377695.5649954821,0.17435904876496078,0.3298358523184362
Corn,Non-alluvial,20085,Jackson,7,14.366353,18909.9618372907,0.13162673809623568,0.02187494651079198
Corn,Non-alluvial,20131,Nemaha,11,78.26177588888889,82183.46849735228,0.10501099363504242,0.11916539718946305
Corn,Non-alluvial,20139,Osage,9,23.741578666666665,16955.57839246544,0.07141723231855336,0.03615014634647313
Corn,Non-alluvial,20149,Pottawatomie,18,221.65551522222222,257093.24886465035,0.11598775180797996,0.3375040651798093
Corn,Non-alluvial,20161,Riley,15,40.69342555555556,56431.794067798124,0.13867545751525934,0.061961898567345054
Corn,Non-alluvial,20177,Shawnee,4,3.7770693333333334,6426.440373622475,0.17014356387127857,0.005751159646029817
Corn,Non-alluvial,20197,Wabaunsee,7,19.559823333333334,31362.646255020238,0.1603421754918044,0.02978279102408298
Soybeans,Alluvial,20045,Douglas,18,331.1792846111111,355200.96788474085,0.10725337736683542,0.05839180243390018
Soybeans,Alluvial,20061,Geary,14,58.43216188888889,86647.98748158671,0.14828817671738956,0.0103024537202204
Soybeans,Alluvial,20087,Jefferson,18,470.9533325,452730.32097655913,0.0961306120445722,0.08303603282197645
Soybeans,Alluvial,20091,Johnson,6,23.741578666666665,33859.07644067887,0.14261510119467008,0.0041859911999048635
Soybeans,Alluvial,20103,Leavenworth,9,25.157979666666666,16549.21465376229,0.06578117509049962,0.004435723629444642
Soybeans,Alluvial,20149,Pottawatomie,18,1911.5568035555555,2247846.590937687,0.11759245588499498,0.337035715701431
Soybeans,Alluvial,20161,Riley,18,401.5384422222222,511594.1300673884,0.12740850595427136,0.07079716177111825
Soybeans,Alluvial,20177,Shawnee,18,1538.1440383333334,1582801.8381378893,0.10290335616766719,0.27119752645974554
Soybeans,Alluvial,20197,Wabaunsee,18,845.4565016666667,1104585.0413268488,0.1306495413009843,0.1490664763943394
Soybeans,Alluvial,20209,Wyandotte,13,65.5141668888889,90181.22767847277,0.13765149121321937,0.011551115867919294
Soybeans,Non-alluvial,20005,Atchison,9,32.99315027777778,35984.09153969821,0.10906534003797433,0.07713737548950038
Soybeans,Non-alluvial,20061,Geary,18,163.3357661111111,168734.8332349978,0.1033055020663471,0.38187600199742433
Soybeans,Non-alluvial,20085,Jackson,3,6.834696888888889,8421.93987969932,0.12322331211777361,0.015979394990669925
Soybeans,Non-alluvial,20131,Nemaha,7,20.076922111111113,21585.93215708125,0.10751614235299052,0.04693947278509291
Soybeans,Non-alluvial,20139,Osage,7,18.705486222222223,6555.955966564962,0.03504830555420927,0.04373308102709664
Soybeans,Non-alluvial,20149,Pottawatomie,18,147.14832611111112,128491.11774963555,0.08732081508872375,0.34403006649320617
Soybeans,Non-alluvial,20161,Riley,9,15.895166777777778,19361.55324337059,0.12180780179317774,0.037162606113169856
Soybeans,Non-alluvial,20177,Shawnee,6,5.283400555555556,9449.156143301376,0.17884610572191956,0.012352492838182344
Soybeans,Non-alluvial,20197,Wabaunsee,8,17.44646311111111,23549.224081844353,0.13497993221816165,0.04078950826565744
