Year,Crop,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
1990,Alfalfa,408812.88541836786,279284.95765750494,129527.92776086298,318.08319600000004,15,408812.88541836786,1,0.12852388637919993
1990,Corn,9605875.492903287,8587266.19145656,1018609.3014467255,5444.240758,175,9599338.039164284,0.9993194317640457,0.17644104880534542
1990,Multi-Crop,10117844.46439575,9125039.60299052,992804.8614052318,6436.53083,186,10117844.46439575,1,0.15719406512025905
1990,Other Crop,1359901.3910777431,1100204.1250004927,259697.26607725065,583.5572119999999,44,1359901.3910777431,1,0.23303651520594065
1990,Sorghum,411551.2150977234,248558.92508419673,162992.29001352665,353.290878,11,411551.2150977234,1,0.11649075612354853
1990,Soybeans,2791357.063551617,2425123.971165389,366233.0923862282,1725.98579,68,2791357.063551617,1,0.16172537918470448
1990,Unknown,1651854.2072068611,1145929.2967183783,505924.9104884826,580.72441,20,1651854.2072068611,1,0.2844471798949972
1990,Wheat,128282.11110493998,128282.11110493998,0,56.656040000000004,2,128282.11110493998,1,0.22642265697521388
1991,Alfalfa,569436.8903038034,402682.48068575683,166754.4096180465,237.955368,9,569436.8903038034,1,0.2393040741589
1991,Corn,14290553.168180063,13171217.73987921,1119335.4283008543,5335.78491,174,14290553.168180063,1,0.26782476072822176
1991,Multi-Crop,19366207.58150427,17586774.34783987,1779433.233664399,8565.179189999999,244,19366207.58150427,1,0.22610393958966635
1991,Other Crop,1394919.9404457165,739805.401705864,655114.5387398526,566.5604,42,1393908.4853389277,0.9992749009620827,0.24620851376935565
1991,Sorghum,1296327.7371705452,1174348.7182554728,121979.01891507227,507.476244,15,1296327.7371705452,1,0.2554459942701367
1991,Soybeans,5373157.897722289,4972226.96124585,400930.93647643935,2208.371502,78,5373157.897722289,1,0.24330860513532787
1991,Unknown,54162.18748671072,54162.18748671072,0,40.4686,2,51781.56754024405,0.9560464586654521,0.13383756168167596
1991,Wheat,34068.76835306195,34068.76835306195,0,67.987248,2,34068.76835306195,1,0.05011052712864911
1992,Alfalfa,74971.02608613706,33735.72825692413,41235.29782921293,135.165124,5,74971.02608613706,1,0.055466250366579074
1992,Corn,5076542.5202472415,4945312.387550563,131230.1326966785,5440.1938979999995,167,5076542.5202472415,1,0.0933154702833947
