Year,Crop,Domain,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
1990,Alfalfa,Alluvial,38188.5976904706,30170.965746411846,8017.6319440587495,42.896716,6,38188.5976904706,1,0.08902452507196727
1990,Alfalfa,Non-alluvial,370624.2877278973,249113.9919110931,121510.29581680422,275.18648,9,370624.2877278973,1,0.13468113975944504
1990,Corn,Alluvial,8185151.112416076,8182252.430097839,2898.682318236625,4835.9977,152,8178613.658677074,0.9992013032320094,0.16925465271449727
1990,Corn,Non-alluvial,1420724.3804872104,405013.7613587216,1015710.6191284888,608.243058,23,1420724.3804872104,1,0.2335783963007779
1990,Multi-Crop,Alluvial,8720839.939644579,8555787.734962348,165052.20468223098,5576.57308,159,8720839.939644579,1,0.15638349600261273
1990,Multi-Crop,Non-alluvial,1397004.524751172,569251.8680281712,827752.6567230008,859.95775,27,1397004.524751172,1,0.1624503674455137
1990,Other Crop,Alluvial,601038.6949817702,599361.1596827056,1677.5352990646,267.09276,21,601038.6949817702,1,0.22502994651811986
1990,Other Crop,Non-alluvial,758862.6960959729,500842.9653177869,258019.73077818606,316.464452,23,758862.6960959729,1,0.23979397726983026
1990,Sorghum,Alluvial,248558.92508419673,248558.92508419673,0,259.403726,7,248558.92508419673,1,0.09581933494825619
1990,Sorghum,Non-alluvial,162992.29001352665,0,162992.29001352665,93.887152,4,162992.29001352665,1,0.1736044672156278
1990,Soybeans,Alluvial,2404364.4718394643,2345095.669545307,59268.802294157365,1498.552258,57,2404364.4718394643,1,0.16044582089171722
1990,Soybeans,Non-alluvial,386992.59171215264,80028.3016200818,306964.2900920708,227.433532,11,386992.59171215264,1,0.17015634779490327
1990,Unknown,Alluvial,1137294.923855546,1137294.923855546,0,445.1546,13,1137294.923855546,1,0.25548313414160967
1990,Unknown,Non-alluvial,514559.28335131507,8634.372862832499,505924.9104884826,135.56981,7,514559.28335131507,1,0.3795530017717921
1990,Wheat,Alluvial,128282.11110493998,128282.11110493998,0,56.656040000000004,2,128282.11110493998,1,0.22642265697521388
1991,Alfalfa,Alluvial,60576.29304195773,55013.28995461851,5563.003087339224,44.110774,3,60576.29304195773,1,0.13732765841278988
1991,Alfalfa,Non-alluvial,508860.5972618456,347669.19073113834,161191.4065307073,193.844594,6,508860.5972618456,1,0.26250956333703357
1991,Corn,Alluvial,12460140.130169826,12386081.880643474,74058.2495263519,4612.813371,147,12460140.130169826,1,0.2701201875736981
1991,Corn,Non-alluvial,1830413.0380102373,785135.8592357347,1045277.1787745025,722.971539,27,1830413.0380102373,1,0.25317912798365877
1991,Multi-Crop,Alluvial,17096452.982596364,16655569.569401762,440883.41319460294,7468.48013,209,17096452.982596364,1,0.22891475487659046
1991,Multi-Crop,Non-alluvial,2269754.5989079056,931204.7784381096,1338549.820469796,1096.69906,35,2269754.5989079056,1,0.20696239120583415
1991,Other Crop,Alluvial,283429.45663166454,283429.45663166454,0,156.613482,16,282418.0015248756,0.996431369135695,0.1809738555149834
1991,Other Crop,Non-alluvial,1111490.483814052,456375.94507419947,655114.5387398526,409.946918,26,1111490.483814052,1,0.2711303427372156
1991,Sorghum,Alluvial,1174348.7182554728,1174348.7182554728,0,459.723296,13,1174348.7182554728,1,0.25544685868072103
1991,Sorghum,Non-alluvial,121979.01891507227,0,121979.01891507227,47.752948,2,121979.01891507227,1,0.2554376724868845
1991,Soybeans,Alluvial,4586393.842460992,4518367.319120247,68026.52334074462,1773.738738,62,4586393.842460992,1,0.2585721191178603
1991,Soybeans,Non-alluvial,786764.0552612974,453859.6421256026,332904.41313569475,434.632764,16,786764.0552612974,1,0.18101811930158523
1991,Unknown,Alluvial,54162.18748671072,54162.18748671072,0,40.4686,2,51781.56754024405,0.9560464586654521,0.13383756168167596
1991,Wheat,Alluvial,34068.76835306195,34068.76835306195,0,67.987248,2,34068.76835306195,1,0.05011052712864911
1992,Alfalfa,Alluvial,2195.5976708345497,2195.5976708345497,0,2.832802,1,2195.5976708345497,1,0.07750621719536169
1992,Alfalfa,Non-alluvial,72775.42841530251,31540.130586089577,41235.29782921293,132.332322,4,72775.42841530251,1,0.05499444679532073
1992,Corn,Alluvial,4648585.9967101365,4627320.769830817,21265.2268793189,4900.342774,150,4648585.9967101365,1,0.09486246597634716
1992,Corn,Non-alluvial,427956.5235371051,317991.6177197455,109964.90581735963,539.851124,17,427956.5235371051,1,0.07927306335238919
1992,Golf Course/Turf/Sod,Alluvial,91215.98188663763,91215.98188663763,0,31.565508,2,91215.98188663763,1,0.288973590688411
1992,Golf Course/Turf/Sod,Non-alluvial,633121.5575763808,124371.97367991442,508749.58389646636,373.929864,11,633121.5575763808,1,0.16931559057726953
1992,Multi-Crop,Alluvial,4404603.289243241,4404603.289243241,0,4763.558906,126,4404603.289243241,1,0.092464549639459
