Year,FIPS,County,Crop,Domain,Source,pdiv_id,waterUse_m3,irrArea_ha
1991,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,41000.9362800789,15.782753999999999
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,2174,42246.752936001874,14.16401
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,15258.170330462573,14.16401
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,13494.291302769649,16.18744
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,2174,2133.923578957175,16.18744
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,2174,13395.61275576585,15.782753999999999
1990,20005,Atchison,Multi-Crop,Non-alluvial,Groundwater,3772,20438.794048162075,15.378067999999999
1991,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,29430.876643883348,10.521836
1994,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,31342.773492081975,16.996812
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21807.9588878398,19.424928
1997,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21252.892060943424,16.18744
1998,20005,Atchison,Alfalfa,Non-alluvial,Groundwater,3772,17712.7991871821,NA
2000,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,2948.021591738525,12.545266
2002,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,31885.505500602874,15.782753999999999
2003,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,41333.97637621672,16.18744
2005,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,15356.848877466373,28.32802
2006,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,21252.892060943424,28.32802
2007,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,22733.070266000424,15.782753999999999
2011,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,7080.18574752265,15.782753999999999
2012,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,34340.1343573224,14.16401
2013,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,24533.953748819775,14.16401
2016,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,14098.697403167924,44.51546
2017,20005,Atchison,Corn,Non-alluvial,Groundwater,3772,283.700822635925,2.02343
2018,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,5131.2844441976,6.474976
2020,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,5266.967446327824,55.441981999999996
2021,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,6019.391367231799,15.378067999999999
2022,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,10706.622349912299,10.926522
2023,20005,Atchison,Soybeans,Non-alluvial,Groundwater,3772,7277.54284153025,6.879662
1991,20005,Atchison,Soybeans,Non-alluvial,Surface water,7999,13629.974304899875,10.926522
1997,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,43023.8464936568,28.32802
1998,20005,Atchison,Alfalfa,Non-alluvial,Surface water,17553,11397.3721789389,28.32802
1999,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,40803.57918607129,28.32802
2000,20005,Atchison,Corn,Non-alluvial,Surface water,17553,64276.73855460022,28.32802
2001,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,6537.4537390017495,28.32802
2002,20005,Atchison,Corn,Non-alluvial,Surface water,17553,31194.755671576273,28.32802
2005,20005,Atchison,Corn,Non-alluvial,Surface water,17553,33711.05862017317,32.37488
2006,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,81668.83246401996,32.37488
2007,20005,Atchison,Corn,Non-alluvial,Surface water,17553,68803.61689839954,30.35145
2012,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,50757.77761507962,28.32802
2013,20005,Atchison,Corn,Non-alluvial,Surface water,17553,30417.66211392135,28.32802
2016,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,11977.108642586225,28.32802
2017,20005,Atchison,Corn,Non-alluvial,Surface water,17553,45934.8636302689,23.471788
2018,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,31786.826953599073,28.32802
2021,20005,Atchison,Corn,Non-alluvial,Surface water,17553,23608.84237065915,33.993624
2022,20005,Atchison,Soybeans,Non-alluvial,Surface water,17553,45466.14053200085,10.926522
2023,20005,Atchison,Corn,Non-alluvial,Surface water,17553,31416.782402334822,28.32802
1990,20005,Atchison,Multi-Crop,Non-alluvial,Groundwater,20421,34068.76835306195,25.495217999999998
1991,20005,Atchison,Corn,Non-alluvial,Groundwater,20421,67705.81806298227,22.662416
1994,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,41790.3646561093,22.662416
1995,20005,Atchison,Soybeans,Non-alluvial,Groundwater,20421,21807.9588878398,19.424928
