Year,raw_waterUse_m3,raw_GWuse_m3,raw_SWuse_m3,sector_waterUse_m3,sector_GWuse_m3,sector_SWuse_m3,water_difference_m3,relative_difference
1990,26475478.830756288,23039689.18117798,3435789.649578308,26475478.830756288,23039689.18117798,3435789.649578308,0,0
1991,42378834.17116646,38135286.60545179,4243547.565714664,42378834.17116646,38135286.60545179,4243547.565714664,0,0
1992,13969675.202960456,12573090.06203405,1396585.1409264058,13969675.202960456,12573090.06203405,1396585.1409264058,0,0
1993,1947544.4733037478,1537843.4809623456,409700.99234140216,1947544.473303748,1537843.4809623456,409700.9923414021,-2.3283064365386963e-10,-1.19550873854451e-16
1994,30660287.991366938,26750187.57079649,3910100.420570448,30660287.99136694,26750187.570796493,3910100.420570449,-3.725290298461914e-9,-1.2150213003579253e-16
1995,28010337.28567177,24989133.21651155,3021204.0691602184,28010337.28567177,24989133.21651155,3021204.069160218,0,0
1996,31774800.505682986,28633233.278814882,3141567.2268681033,31774800.505682983,28633233.27881488,3141567.2268681033,3.725290298461914e-9,1.17240399284195e-16
1997,37659791.69189561,33002065.594769247,4657726.097126364,37659791.69189561,33002065.594769247,4657726.097126364,0,0
1998,26215473.194219653,23506019.32468119,2709453.869538463,26215473.194219653,23506019.32468119,2709453.8695384627,0,0
1999,32863113.865769517,28598547.769543044,4264566.096226473,32863113.86576952,28598547.769543048,4264566.096226473,-3.725290298461914e-9,-1.1335780028873666e-16
2000,35757935.38585462,30566148.657525316,5191786.728329305,35757935.38585462,30566148.657525316,5191786.728329305,0,0
2001,37754597.10592951,30842251.232041948,6912345.873887561,37754597.10592951,30842251.232041948,6912345.873887561,0,0
2002,51340018.04685717,44471596.46120467,6868421.585652495,51340018.04685716,44471596.46120467,6868421.585652495,7.450580596923828e-9,1.4512228239039203e-16
2003,50251235.96367236,44270230.551225044,5981005.412447321,50251235.96367236,44270230.55122504,5981005.412447321,0,0
2004,15564554.884090997,12500524.32553113,3064030.5585598676,15564554.884090995,12500524.32553113,3064030.558559867,1.862645149230957e-9,1.1967224010593603e-16
2005,35363504.89866206,30000893.2706508,5362611.628011258,35363504.89866206,30000893.2706508,5362611.628011258,0,0
2006,43737588.42413528,37554662.034881435,6182926.389253847,43737588.42413528,37554662.034881435,6182926.389253847,0,0
2007,30713068.679195598,25783581.86362077,4929486.815574829,30713068.6791956,25783581.86362077,4929486.815574829,-3.725290298461914e-9,-1.2129332752039032e-16
2008,20329408.87880836,17055353.367769282,3274055.51103908,20329408.878808364,17055353.367769282,3274055.51103908,-3.725290298461914e-9,-1.8324636592582898e-16
2009,9098581.417575125,7495906.131231284,1602675.286343842,9098581.417575128,7495906.131231284,1602675.286343842,-3.725290298461914e-9,-4.094363865630764e-16
2010,23344704.56996673,19397747.712090358,3946956.8578763674,23344704.56996673,19397747.712090358,3946956.8578763674,0,0
2011,47358178.32261496,40677023.949538924,6681154.373076033,47358178.32261496,40677023.94953893,6681154.373076034,0,0
2012,59415722.31582765,51519637.672040835,7896084.643786819,59415722.31582765,51519637.672040835,7896084.643786819,0,0
2013,39616550.274525836,32853862.75198791,6762687.5225379225,39616550.27452584,32853862.75198791,6762687.522537923,-7.450580596923828e-9,-1.8806737450117371e-16
2014,39641330.92464217,33427912.864364143,6213418.060278022,39641330.92464217,33427912.864364143,6213418.060278022,0,0
2015,16147473.730879195,11995413.513055429,4152060.217823766,16147473.730879197,11995413.513055429,4152060.2178237657,-1.862645149230957e-9,-1.1535210895986637e-16
2016,27008910.386222083,20949874.912731506,6059035.473490576,27008910.386222083,20949874.912731502,6059035.473490576,0,0
2017,34455427.904677965,27437656.338135216,7017771.5665427465,34455427.904677965,27437656.338135216,7017771.5665427465,0,0
2018,46420892.47871774,39094627.10460436,7326265.374113376,46420892.47871774,39094627.10460436,7326265.374113376,0,0
2019,17467521.323785778,13924320.075793834,3543201.2479919447,17467521.323785778,13924320.075793834,3543201.2479919447,0,0
2020,24696625.33355554,18901777.000030886,5794848.333524654,24696625.33355554,18901777.000030886,5794848.333524653,0,0
2021,35943710.08540765,28428635.646420877,7515074.438986772,35943710.08540765,28428635.646420877,7515074.438986772,0,0
2022,38611533.94292889,30899867.16867379,7711666.774255092,38611533.94292888,30899867.16867379,7711666.774255092,7.450580596923828e-9,1.9296256418966462e-16
2023,43900136.66068729,36131569.36926614,7768567.291421158,43900136.6606873,36131569.36926614,7768567.291421158,-7.450580596923828e-9,-1.6971656955218193e-16
