Crop,model,validation,fold,n,RMSE,MAE,R2,bias,WaterManagement
Corn,shared_curve,in_sample,all,534,2061.4412704320675,1710.560378370625,0.48705864088816186,-2.3853400528203633e-11,NA
Corn,shared_curve,in_sample_Non-Irrigated,all,267,2203.14854917107,1783.2347096965445,0.5286097508247793,1347.2523522646104,Non-Irrigated
Corn,shared_curve,in_sample_Irrigated,all,267,1909.2450584371204,1637.8860470447053,0.4968434732611674,-1347.2523522646582,Irrigated
Corn,shared_curve,forward_year_block,2012_2015,120,2484.412514831559,2015.5551263467096,0.6768411308230674,-1441.0141668310252,NA
Corn,shared_curve,forward_year_block,2016_2019,120,2419.749658079667,1849.7693790436529,0.32690629328608184,813.5005123999741,NA
Corn,shared_curve,forward_year_block,2020_2023,120,2362.9516385903426,2019.1718545030885,0.47755601510548085,-1678.9080934590127,NA
Corn,shared_curve,held_out_county,1,108,2103.2212533906118,1753.8036576771863,0.3927758022332989,-295.2365882941707,NA
Corn,shared_curve,held_out_county,2,108,2750.7541706185225,2284.8780719331967,0.23838735914932935,-124.92172703307119,NA
Corn,shared_curve,held_out_county,3,108,1894.0750572020302,1604.20995295896,0.4120422109005538,148.86475623017748,NA
Corn,shared_curve,held_out_county,4,102,2518.563752953729,1997.551424197212,0.3629027976144743,669.3059648358266,NA
Corn,shared_curve,held_out_county,5,108,2371.4991601372326,1978.1738342715441,0.3501584512704418,-415.2394829607437,NA
Corn,management_intercept,in_sample,all,534,1429.8485452114448,1037.990445830248,0.7530997246083488,-1.9993422647805316e-11,NA
Corn,management_intercept,in_sample_Non-Irrigated,all,267,1600.9590050639647,1163.1919719618904,0.5785996323744191,-2.346485012120698e-11,Non-Irrigated
Corn,management_intercept,in_sample_Irrigated,all,267,1235.2586727447701,912.7889196986057,0.5764418474576318,-1.6524564488287232e-11,Irrigated
Corn,management_intercept,forward_year_block,2012_2015,120,1772.4661476353513,1459.946626357871,0.8697995404720029,-1260.7141030005416,NA
Corn,management_intercept,forward_year_block,2016_2019,120,1943.20413445539,1435.2564879781592,0.5418298835440795,-489.87069526780215,NA
Corn,management_intercept,forward_year_block,2020_2023,120,1852.8324252592265,1494.1986284135414,0.7197521422976764,-1267.721485958034,NA
Corn,management_intercept,held_out_county,1,108,1453.0808892002378,1114.383950590435,0.725365382723188,-383.4542285572823,NA
Corn,management_intercept,held_out_county,2,108,2683.5552484151467,2100.462573800252,0.30639980310715004,-148.00160723945677,NA
Corn,management_intercept,held_out_county,3,108,1099.3482927854113,860.1328055902875,0.8009764298623077,55.10264146802182,NA
Corn,management_intercept,held_out_county,4,102,1698.6894882926974,1124.432773956581,0.7715937378386641,693.0833184095995,NA
Corn,management_intercept,held_out_county,5,108,1658.5730330040424,1238.1666010517094,0.6841823190015678,-257.7598815785151,NA
Corn,management_curve,in_sample,all,534,1401.0586379938045,1000.6427255430108,0.762939334773559,-2.3404105952460773e-11,NA
Corn,management_curve,in_sample_Non-Irrigated,all,267,1591.2258638696915,1147.4730778907342,0.5821168061014836,-4.6104124263631215e-11,Non-Irrigated
Corn,management_curve,in_sample_Irrigated,all,267,1180.6484931368286,853.8123731952873,0.6147233342830981,-7.054806177444498e-13,Irrigated
Corn,management_curve,forward_year_block,2012_2015,120,1856.070654231196,1510.2880041121825,0.8607925528245262,-1291.367525998216,NA
Corn,management_curve,forward_year_block,2016_2019,120,1586.459792011421,1088.3172784248407,0.6847304751878237,25.785796334332026,NA
Corn,management_curve,forward_year_block,2020_2023,120,1866.6605858099326,1459.53061041299,0.724379842140128,-1208.3177843212293,NA
Corn,management_curve,held_out_county,1,108,1430.7874898840687,1075.8460656684608,0.7324351273059306,-361.6287585782352,NA
Corn,management_curve,held_out_county,2,108,2678.9252581903806,2059.4132207594253,0.3090054686582367,-137.8110795650919,NA
Corn,management_curve,held_out_county,3,108,1056.3635397048306,796.8408994254029,0.8162149721923752,45.75466920602317,NA
Corn,management_curve,held_out_county,4,102,1650.3908578465357,1077.9852779573848,0.7844689509730391,664.5592047812465,NA
Corn,management_curve,held_out_county,5,108,1616.0724526851566,1179.6828045021794,0.6997308840835079,-239.21034380349923,NA
Soybeans,shared_curve,in_sample,all,574,515.582615754958,426.24209892154005,0.5024288862735233,-4.6952958362205725e-12,NA
Soybeans,shared_curve,in_sample_Non-Irrigated,all,287,534.3744577380786,433.00732798013667,0.5485070280076665,227.54262874512457,Non-Irrigated
Soybeans,shared_curve,in_sample_Irrigated,all,287,496.07943542802093,419.4768698629434,0.2826965143242677,-227.54262874513398,Irrigated
Soybeans,shared_curve,forward_year_block,2012_2015,126,551.4922127290702,470.20255017181677,0.5450236992029461,-139.95046925165838,NA
Soybeans,shared_curve,forward_year_block,2016_2019,128,442.8122543623972,363.5861573403943,0.39978263492150773,-111.29448510560036,NA
Soybeans,shared_curve,forward_year_block,2020_2023,128,597.3620141410981,509.8487037255312,0.5398454689757992,-141.69488232008408,NA
Soybeans,shared_curve,held_out_county,1,142,554.9614004015309,451.7083375817017,0.3603155717188362,-81.6319369756525,NA
Soybeans,shared_curve,held_out_county,2,108,675.8873785568118,558.9306852200303,0.2507896201889991,-27.108567324572817,NA
Soybeans,shared_curve,held_out_county,3,108,489.99942229065925,410.5074006647208,0.4464373138776679,-61.06217125291773,NA
Soybeans,shared_curve,held_out_county,4,108,616.8617124257152,504.02336819602766,0.5003254867611334,119.0809520776555,NA
Soybeans,shared_curve,held_out_county,5,108,547.0760008827042,450.5897635257661,0.3989670606994464,71.58970458097781,NA
Soybeans,management_intercept,in_sample,all,574,449.8312754116098,350.51697102143487,0.6211568282976093,-2.2210350090255716e-12,NA
Soybeans,management_intercept,in_sample_Non-Irrigated,all,287,466.65665555031967,366.7095579961393,0.5894379913967699,1.3642420526593924e-12,Non-Irrigated
Soybeans,management_intercept,in_sample_Irrigated,all,287,432.35161443836586,334.3243840467304,0.29415329887562613,-5.806445964767817e-12,Irrigated
Soybeans,management_intercept,forward_year_block,2012_2015,126,470.5301262997584,384.26451532175486,0.6680008963870037,-99.71045827676541,NA
Soybeans,management_intercept,forward_year_block,2016_2019,128,576.3428989508163,480.10557269889927,0.3648721310249108,-361.3469798922617,NA
Soybeans,management_intercept,forward_year_block,2020_2023,128,503.1486293432235,404.8057902505939,0.6545609247169895,-79.4015514215539,NA
Soybeans,management_intercept,held_out_county,1,142,504.5998175902881,408.36107478193003,0.47983824488032784,-104.42926013054831,NA
Soybeans,management_intercept,held_out_county,2,108,702.8677960693329,538.5190022116905,0.22516402560986765,-27.01888350703461,NA
Soybeans,management_intercept,held_out_county,3,108,364.7534175811024,298.4977116506136,0.7057526452581218,-73.27629559223558,NA
Soybeans,management_intercept,held_out_county,4,108,502.2165580510578,378.20567181003344,0.734932154274402,126.83295704780977,NA
Soybeans,management_intercept,held_out_county,5,108,528.8683645928027,404.3615058155981,0.45263219481782535,103.94217329129059,NA
Soybeans,management_curve,in_sample,all,574,447.26569843190975,348.57754122286633,0.6254634395335429,-3.391559197635443e-12,NA
Soybeans,management_curve,in_sample_Non-Irrigated,all,287,465.0659190870556,365.4394068747912,0.5859296871776295,-5.2977498501130164e-12,Non-Irrigated
Soybeans,management_curve,in_sample_Irrigated,all,287,428.72707039710053,331.71567557094147,0.2937675775844692,-1.4855733755033534e-12,Irrigated
Soybeans,management_curve,forward_year_block,2012_2015,126,497.61894789131435,389.6711621720895,0.6171033922366179,-75.60146577435142,NA
Soybeans,management_curve,forward_year_block,2016_2019,128,550.2221843380044,449.24546976707205,0.38802079371060777,-276.66362913847144,NA
Soybeans,management_curve,forward_year_block,2020_2023,128,499.3143391736598,398.499007392154,0.6539212296123709,-71.73248323804457,NA
Soybeans,management_curve,held_out_county,1,142,506.52588925324085,410.4239117368885,0.47631288084918827,-102.08652377463011,NA
Soybeans,management_curve,held_out_county,2,108,705.9161920218113,540.4853357001508,0.22131067112523278,-24.756112082525274,NA
Soybeans,management_curve,held_out_county,3,108,359.33722272377554,297.7854625434802,0.7154267619041045,-74.1349048457934,NA
Soybeans,management_curve,held_out_county,4,108,499.84568661294827,375.05652510512374,0.7418456966848425,124.58723717665,NA
Soybeans,management_curve,held_out_county,5,108,528.0316733839791,399.3994682472052,0.45604664494547975,107.31236766815633,NA
