Year,Yield_total_kg,NetReturn_total_usd,Irrigation_total_m3,Area_m2,Area_ha,NitrateFluxPredicted_kg
2006,1266348230.664839,37683079.20025848,23716817.63443978,2574723723.787824,257472.37237878243,1038381.1138640717
2007,1377157873.1077964,38547237.79530709,15416554.188983351,2536303050.6065392,253630.30506065392,8480529.020677008
2008,1660633805.871368,47976477.75523125,14103667.686006028,3152542365.578113,315254.2365578113,7229568.261691511
2009,2014616924.1497717,55955526.25857033,9644389.555924535,3227600941.859282,322760.0941859282,8553026.168190977
2010,1460894956.3211703,42364794.562236585,16747808.10241114,2682168762.3198195,268216.87623198197,9240904.448661877
2011,1362022315.1286798,38249544.09118617,26271888.027411073,2997470683.302993,299747.0683302993,7388063.164347403
2012,1003963269.9297312,28368881.90065259,36427093.57809308,2935861408.6240168,293586.1408624017,-803834.4657268927
2013,1818908443.1185005,50698846.57097606,26145124.9703291,5090227697.22583,509022.769722583,3627895.615883026
2014,1761297439.8749077,50106054.61607555,22612871.926394485,3842580009.468277,384258.0009468277,2896954.8361037867
2015,1775211597.3687959,50187951.02824952,14497226.979476804,3469767882.469456,346976.7882469456,10951191.973547265
2016,1898436436.0164354,53506807.970449924,20956668.643279165,3671035979.5144057,367103.59795144055,14289868.397609128
2017,1903154386.421761,54857417.19569078,25018385.003469873,3723476331.187862,372347.6331187862,10449737.74996024
2018,1749978329.7546644,50376202.73918628,24371508.11614092,3850285661.3188815,385028.56613188813,5523997.3921252135
2019,2134218471.8912644,61679344.42581865,6857430.405616393,4111328742.1227055,411132.87421227054,19147032.946281463
2020,2116080386.6541991,59435357.96704033,23272047.314844444,4189020021.983454,418902.00219834544,8680489.82789198
2021,1949119765.7093549,55298034.95252534,24016316.809124358,4107610331.397402,410761.0331397402,8465950.619044611
2022,1787121468.1769557,51390338.76365088,25813434.20671507,4022569394.826462,402256.9394826462,4801031.255506844
2023,1703976202.6724625,46823956.136424184,30639341.062434163,4050763422.399348,405076.3422399348,3048768.2150181825
