Year,Crop,Crop_area_m2,Crop_area_ha,Yield_kgHa,Irrigation_m,Irrigation_m3,fert_kgcrop,NetReturn_ha,Crop_prc,NitrateFluxPredicted_kg
2006,Corn,3325872256,332587.2256,10642.839022220587,0.1583718269340178,526724465.3318833,83146806.4,273.3573408557525,6.581828630027533,1366271.1756612863
2006,Sorghum,208136320,20813.632,6039.1344909388845,0,0,2331126.784,120.78268981877783,1.6011298850105555,1366271.1756612863
2006,Soybeans,5946025344,594602.5344,3313.6902235362327,0.1594370953203813,948017009.548731,33297741.926400002,119.44775353390102,11.074590387130538,1366271.1756612863
2006,Wheat,674324672,67432.4672,3333.0486957782537,0,0,6001489.5808,99.99146087334759,2.488247811265155,1366271.1756612863
2007,Corn,4030406016,403040.6016,10105.954330343648,0.093198913571615,375629461.94370115,100760150.4,276.150944974541,7.718320995948307,8652746.331238022
2007,Sorghum,168597632,16859.7632,6320.54395606828,0,0,1888293.4784,126.4108791213657,1.1174863652588911,8652746.331238022
2007,Soybeans,4714624768,471462.4768,3593.1040789509766,0.09395439379760913,442959712.0606336,26401898.7008,152.4084297462421,8.862567093621859,8652746.331238022
2007,Wheat,779556288,77955.6288,3163.5275250355917,0,0,6938050.9632,94.90582575106774,2.828243876048348,8652746.331238022
2008,Corn,4145004000,414500.39999999997,11979.486136508423,0.09284233924629944,384831867.5452681,103625100,332.4603057138259,8.157152108509413,8337865.963056859
2008,Sorghum,207751500,20775.15,7268.277434379247,0,0,2326816.8,145.36554868758515,1.5894365610480627,8337865.963056859
2008,Soybeans,6142541400,614254.14,3738.237195581732,0.09255328899116264,568512409.3343807,34398231.84,160.07140597164943,11.338940186900928,8337865.963056859
2008,Wheat,739071000,73907.1,3211.413264129743,0,0,6577731.899999999,96.34239792389225,2.600249233031913,8337865.963056859
2009,Corn,4993597800,499359.77999999997,12899.691693679573,0.09063898253440524,452614623.7780444,124839945,360.7054458754097,9.340787865173304,9140907.511036927
2009,Sorghum,155340900,15534.09,7780.977492247802,0,0,1739818.08,155.61954984495614,1.4441761639329405,9140907.511036927
2009,Soybeans,6311665800,631166.58,3894.9421334156914,0.09154188735935981,577781799.7135236,35345328.48,168.1999593365702,11.56173203882664,9140907.511036927
2009,Wheat,565717500,56571.75,3177.4332977717695,0,0,5034885.75,95.32299893315304,2.2202767145380258,9140907.511036927
