Year,WaterManagement,area_m2,total_area_allcrops,frac_of_basin_cultivated
2006,Irrigated,150487304.31582993,2436363700.285605,0.0617671755239946
2006,Non-Irrigated,2285876395.969775,2436363700.285605,0.9382328244760054
2007,Irrigated,160443217.25005543,2397589265.1764073,0.06691855839546834
2007,Non-Irrigated,2237146047.926352,2397589265.1764073,0.9330814416045317
2008,Irrigated,146407694.54120806,2672002757.244748,0.0547932423139328
2008,Non-Irrigated,2525595062.70354,2672002757.244748,0.9452067576860671
2009,Irrigated,107274350.30841371,2793247716.584338,0.038404882485536154
2009,Non-Irrigated,2685973366.2759247,2793247716.584338,0.9615951175144639
2010,Irrigated,162854688.5244387,2592677827.0034323,0.06281331480072981
2010,Non-Irrigated,2429823138.4789934,2592677827.0034323,0.9371866851992702
2011,Irrigated,176946974.5799228,2876176543.489051,0.061521597128829514
2011,Non-Irrigated,2699229568.909128,2876176543.489051,0.9384784028711706
2012,Irrigated,168900891.85544097,2794699781.2633743,0.06043614880847326
2012,Non-Irrigated,2625798889.407933,2794699781.2633743,0.9395638511915267
2013,Irrigated,186667074.0021729,3162961557.4770126,0.05901654844995046
2013,Non-Irrigated,2976294483.4748397,3162961557.4770126,0.9409834515500495
2014,Irrigated,190174611.45380813,2896156196.347137,0.06566448718949328
2014,Non-Irrigated,2705981584.8933287,2896156196.347137,0.9343355128105066
2015,Irrigated,149834190.04453388,2930448216.3323298,0.051130127196740684
2015,Non-Irrigated,2780614026.287796,2930448216.3323298,0.9488698728032594
2016,Irrigated,191165556.8092015,3125399872.1654253,0.06116515154163392
2016,Non-Irrigated,2934234315.3562236,3125399872.1654253,0.9388348484583661
2017,Irrigated,196922016.61490127,3167702520.947753,0.062165564888960495
2017,Non-Irrigated,2970780504.332852,3167702520.947753,0.9378344351110396
2018,Irrigated,195399332.84030992,3201516105.7893577,0.06103337493350912
2018,Non-Irrigated,3006116772.9490476,3201516105.7893577,0.9389666250664909
2019,Irrigated,164003639.29010397,3298812132.534461,0.049715968264037146
2019,Non-Irrigated,3134808493.244357,3298812132.534461,0.9502840317359629
2020,Irrigated,190469861.04019833,3419905034.432706,0.05569448833300527
2020,Non-Irrigated,3229435173.3925076,3419905034.432706,0.9443055116669947
2021,Irrigated,195088720.01541916,3385911794.344586,0.05761777974880254
2021,Non-Irrigated,3190823074.329167,3385911794.344586,0.9423822202511976
2022,Irrigated,189809707.19181937,3352011506.258022,0.05662561325862248
2022,Non-Irrigated,3162201799.0662026,3352011506.258022,0.9433743867413775
2023,Irrigated,201227208.06003624,3315637970.9541006,0.0606903437054473
2023,Non-Irrigated,3114410762.8940644,3315637970.9541006,0.9393096562945528
