Year,Crop,irrigated_area_ha,crop_area_ha,percent_of_same_crop_irrigated
2006,Corn,7324.203095356699,18688.0512,39.1919040512726
2006,Soybeans,5262.5320911687995,25137.8624,20.934684132763806
2007,Corn,9301.2948003248,24654.6048,37.72639989883269
2007,Sorghum,52.60913348599999,735.7056,7.150840429378272
2007,Soybeans,4216.6220489029,18722.2336,22.522003191450942
2007,Wheat,28.327994954,1789.088,1.5833762762927257
2008,Corn,7300.1242996458,21865.5,33.386496076676956
2008,Sorghum,24.281138532,436.32,5.564984078657866
2008,Soybeans,5045.6205869496,21954.69,22.981971446418054
2009,Corn,6006.3443015324,24357.15,24.65947083929113
2009,Sorghum,2.0234282109999997,492.03,0.4112408208849054
2009,Soybeans,3101.7131046419,21129.12,14.679802588285266
2010,Corn,7944.9908704915,21121.92,37.614908448150075
2010,Sorghum,50.585705274999995,224.73,22.50954713433898
2010,Soybeans,5861.0621559825995,22257.45,26.3330352577793
2011,Corn,9007.0883384454,24629.76,36.569939530248774
2011,Sorghum,48.96696270619999,245.16,19.973471490536788
2011,Soybeans,5865.3113552257,22299.48,26.30245797312628
2011,Wheat,28.327994954,772.74,3.665915437792789
2012,Corn,8944.969092367699,22983.75,38.91866685100429
2012,Sorghum,52.609133486,102.33,51.41125133001075
2012,Soybeans,5448.6874865807995,23016.24,23.673230234742075
2013,Corn,10224.7874358252,25220.7,40.541251574401976
2013,Sorghum,132.3322049994,240.57,55.00777528345181
2013,Soybeans,5181.3926199077,22360.59,23.171985264734513
2014,Corn,9142.4556857613,23251.32,39.32015767604291
2014,Sorghum,2.0234282109999997,117.18,1.7267692532855434
2014,Soybeans,6909.8049977439,22901.85,30.171383524666783
2015,Corn,6808.026558730599,24674.4,27.591457375784618
2015,Soybeans,5814.3209643085,22286.07,26.089485334599146
2016,Corn,10021.0282149775,25034.76,40.02845729288996
2016,Sorghum,21.448339036599997,757.44,2.83168819135509
2016,Soybeans,5721.850295065799,22356.27,25.593939843568716
2017,Corn,8539.6764217044,22590.81,37.80155037249395
2017,Soybeans,8097.557357600899,25882.11,31.286310728147356
2018,Corn,9632.5299984655,22995.54,41.88868797369185
2018,Sorghum,44.1107349998,130.86,33.70834097493505
2018,Soybeans,6917.8987105879,25448.4,27.184022219816963
2018,Wheat,16.187425687999998,469.35,3.4489028844146157
2019,Corn,8659.0586861534,24267.78,35.681297119692864
2019,Sorghum,25.8998811008,439.65,5.891022654566132
2019,Soybeans,4999.6887665599,22988.43,21.748717796560705
2020,Corn,9794.4042553455,24982.02,39.205813842697665
2020,Sorghum,0.4046856422,414.9,0.09753811573873222
2020,Soybeans,6123.500794949299,23701.23,25.83621522996612
2020,Wheat,2.0234282109999997,327.96,0.6169740855592145
2021,Corn,9288.1425169533,24982.02,37.17930942715321
2021,Sorghum,2.4281138531999997,414.9,0.5852286944323933
2021,Soybeans,7284.948588063299,23701.23,30.736584506640792
2021,Wheat,47.3482201374,327.96,14.43719360208562
2022,Corn,9225.0115567701,23558.04,39.15865478100088
2022,Sorghum,4.4515420642,557.82,0.7980248223799791
2022,Soybeans,6668.6123549927,24583.68,27.126176207112607
2022,Wheat,21.0436533944,363.24,5.793319401607752
2023,Corn,9592.2637770666,22816.44,42.04101856848221
2023,Sorghum,4.8562277063999995,351.63,1.3810618281716576
2023,Soybeans,6992.5632115738,25227.18,27.718370470158774
