Year,irrigated_all_reported_ha,irrigated_modeled_crops_ha,irrigated_corn_soy_ha
2006,19900.618798006097,12586.735186525499,12586.735186525499
2007,19417.0194555771,13598.8539776677,13517.9168492277
2008,18222.1850969816,12370.0260251274,12345.7448865954
2009,13478.6623419343,9110.0808343853,9108.0574061743
2010,18883.239093515298,13856.638731749099,13806.0530264741
2011,20436.4225882789,14949.6946513313,14872.3996936711
2012,20700.2776269933,14446.265712434499,14393.6565789485
2013,21699.446477585097,15538.5122607323,15406.180055732899
2014,21984.547512515,16054.2841117162,16052.2606835052
2015,17485.4548853565,12622.3475230391,12622.3475230391
2016,21187.923825844297,15764.326849079898,15742.878510043298
2017,22596.6345463425,16637.2337793053,16637.2337793053
2018,22582.875234507697,16610.7268697412,16550.428709053398
2019,19494.921441700597,13684.647333814099,13658.747452713298
2020,22304.0468270319,15920.333164148,15917.9050502948
2021,22831.554561639598,16622.867439007197,16573.0911050166
2022,22140.351484762,15919.119107221399,15893.6239117628
2023,22676.155275034802,16589.6832163468,16584.8269886404
