Year,basin_area_ha,basin_cultivated_ha,alluvial_area_ha,alluvial_cultivated_ha,alluvial_expansion_eligible_ha,alluvial_developed_water_ha
2006,2179049.9136,574967.7248,87558.0608,46446.355200000005,58359.7056,21430.7968
2007,2203636.1536,552486.0544,87558.06079999999,46711.347200000004,54535.6672,24263.8592
2008,2247005.16,689072.13,86777.1,46917.45,57753.72,21708.629999999997
2009,2251752.48,706469.22,86777.1,48144.87,58237.74,21267.81
2010,2178076.23,632702.61,86777.09999999999,44571.78,57019.32,21629.7
2011,2197392.75,687323.34,86777.1,48451.32,57817.439999999995,21023.82
2012,2204057.52,674384.67,86777.1,47147.310000000005,57641.22,21043.44
2013,2219532.21,995945.31,86777.1,50979.33,58404.42,20600.37
2014,2219944.41,758620.35,86777.09999999999,47712.689999999995,56780.1,21924.72
2015,2165300.28,752016.87,86777.1,49378.14,57351.87,21355.02
2016,2196025.2,788868.63,86777.09999999999,49771.89,57369.24,21403.62
2017,2194087.5,797847.75,86777.1,49994.28,57123.450000000004,21491.91
2018,2195761.95,818229.87,86777.1,50167.71,57147.48,21536.82
2019,2127430.8,854520.48,86777.1,49618.979999999996,56773.89,20863.620000000003
2020,2151543.69,876787.92,86777.1,50535.18,56728.35,20926.8
2021,2151543.69,876787.92,86777.1,50535.18,56728.35,20926.8
2022,2186962.56,868212,86777.1,50219.82,57285,21294.9
2023,2190029.76,854510.58,86777.1,49758.39,57189.69,21311.64
