Year,Crop_group,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2006,Corn,7324.203095356699,Total basin area,2179049.9136,0.3361191062969462
2006,Corn,7324.203095356699,Basin cultivated area,574967.7248,1.2738459533366662
2006,Corn,7324.203095356699,Total alluvial area,87558.0608,8.36496723252772
2006,Corn,7324.203095356699,Alluvial cultivated area,46446.355200000005,15.769166523009964
2006,Other/Unclassified,7313.8836114806,Total basin area,2179049.9136,0.33564552908278084
2006,Other/Unclassified,7313.8836114806,Basin cultivated area,574967.7248,1.27205115974548
2006,Other/Unclassified,7313.8836114806,Total alluvial area,87558.0608,8.35318135721046
2006,Other/Unclassified,7313.8836114806,Alluvial cultivated area,46446.355200000005,15.746948452654038
2006,Soybeans,5262.5320911687995,Total basin area,2179049.9136,0.24150580756888632
2006,Soybeans,5262.5320911687995,Basin cultivated area,574967.7248,0.9152743474426063
2006,Soybeans,5262.5320911687995,Total alluvial area,87558.0608,6.010334220614442
2006,Soybeans,5262.5320911687995,Alluvial cultivated area,46446.355200000005,11.33034458464633
2007,Corn,9301.2948003248,Total basin area,2203636.1536,0.4220885006415244
2007,Corn,9301.2948003248,Basin cultivated area,552486.0544,1.6835347654930417
2007,Corn,9301.2948003248,Total alluvial area,87558.06079999999,10.623002285958348
2007,Corn,9301.2948003248,Alluvial cultivated area,46711.347200000004,19.912281186197085
2007,Other/Unclassified,5818.1654779094,Total basin area,2203636.1536,0.26402568629147216
2007,Other/Unclassified,5818.1654779094,Basin cultivated area,552486.0544,1.0530882058603142
2007,Other/Unclassified,5818.1654779094,Total alluvial area,87558.06079999999,6.644922722990914
2007,Other/Unclassified,5818.1654779094,Alluvial cultivated area,46711.347200000004,12.455571989817066
2007,Sorghum,52.60913348599999,Total basin area,2203636.1536,0.00238737839729369
2007,Sorghum,52.60913348599999,Basin cultivated area,552486.0544,0.009522255460933493
2007,Sorghum,52.60913348599999,Total alluvial area,87558.06079999999,0.06008485455858793
2007,Sorghum,52.60913348599999,Alluvial cultivated area,46711.347200000004,0.11262602480880703
2007,Soybeans,4216.6220489029,Total basin area,2203636.1536,0.1913483785430893
2007,Soybeans,4216.6220489029,Basin cultivated area,552486.0544,0.7632087751938197
2007,Soybeans,4216.6220489029,Total alluvial area,87558.06079999999,4.815801092870824
2007,Soybeans,4216.6220489029,Alluvial cultivated area,46711.347200000004,9.026975888425886
2007,Wheat,28.327994954,Total basin area,2203636.1536,0.0012855114446966025
2007,Wheat,28.327994954,Basin cultivated area,552486.0544,0.005127368325118036
2007,Wheat,28.327994954,Total alluvial area,87558.06079999999,0.032353383223855045
2007,Wheat,28.327994954,Alluvial cultivated area,46711.347200000004,0.06064478258935764
2008,Corn,7300.1242996458,Total basin area,2247005.16,0.32488240034329957
2008,Corn,7300.1242996458,Basin cultivated area,689072.13,1.0594136639433958
2008,Corn,7300.1242996458,Total alluvial area,86777.1,8.412500878279868
2008,Corn,7300.1242996458,Alluvial cultivated area,46917.45,15.559507815633204
2008,Other/Unclassified,5852.159071854199,Total basin area,2247005.16,0.26044261829172655
2008,Other/Unclassified,5852.159071854199,Basin cultivated area,689072.13,0.8492810573915098
2008,Other/Unclassified,5852.159071854199,Total alluvial area,86777.1,6.743897954476698
2008,Other/Unclassified,5852.159071854199,Alluvial cultivated area,46917.45,12.473310190247338
2008,Sorghum,24.281138532,Total basin area,2247005.16,0.0010806000344031252
2008,Sorghum,24.281138532,Basin cultivated area,689072.13,0.00352374410092598
2008,Sorghum,24.281138532,Total alluvial area,86777.1,0.027981043998935202
2008,Sorghum,24.281138532,Alluvial cultivated area,46917.45,0.051752894780087155
2008,Soybeans,5045.6205869496,Total basin area,2247005.16,0.2245486871489694
2008,Soybeans,5045.6205869496,Basin cultivated area,689072.13,0.7322340241724186
2008,Soybeans,5045.6205869496,Total alluvial area,86777.1,5.814460942978735
2008,Soybeans,5045.6205869496,Alluvial cultivated area,46917.45,10.75425153530211
