Year,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2006,19900.618798006097,Total basin area,2179049.9136,0.9132704429486134
2006,19900.618798006097,Basin cultivated area,574967.7248,3.4611714605247523
2006,19900.618798006097,Total alluvial area,87558.0608,22.72848281035262
2006,19900.618798006097,Alluvial cultivated area,46446.355200000005,42.846459560310336
2007,19417.0194555771,Total basin area,2203636.1536,0.8811354553180764
2007,19417.0194555771,Basin cultivated area,552486.0544,3.5144813703332276
2007,19417.0194555771,Total alluvial area,87558.06079999999,22.176164339602533
2007,19417.0194555771,Alluvial cultivated area,46711.347200000004,41.56809987183821
2008,18222.1850969816,Total basin area,2247005.16,0.8109543058183987
2008,18222.1850969816,Basin cultivated area,689072.13,2.6444524896082506
2008,18222.1850969816,Total alluvial area,86777.1,20.998840819734237
2008,18222.1850969816,Alluvial cultivated area,46917.45,38.83882243596274
2009,13478.6623419343,Total basin area,2251752.48,0.5985854334191429
2009,13478.6623419343,Basin cultivated area,706469.22,1.907890954107569
2009,13478.6623419343,Total alluvial area,86777.1,15.532510699175589
2009,13478.6623419343,Alluvial cultivated area,48144.87,27.996050964379588
2010,18883.239093515298,Total basin area,2178076.23,0.8669686962019368
2010,18883.239093515298,Basin cultivated area,632702.61,2.984536304270232
2010,18883.239093515298,Total alluvial area,86777.09999999999,21.76062474260525
2010,18883.239093515298,Alluvial cultivated area,44571.78,42.365907517077616
2011,20436.4225882789,Total basin area,2197392.75,0.9300304912846782
2011,20436.4225882789,Basin cultivated area,687323.34,2.9733345863504215
2011,20436.4225882789,Total alluvial area,86777.1,23.55047885707047
2011,20436.4225882789,Alluvial cultivated area,48451.32,42.17928962158079
2012,20700.2776269933,Total basin area,2204057.52,0.939189537439717
2012,20700.2776269933,Basin cultivated area,674384.67,3.0695059582231154
2012,20700.2776269933,Total alluvial area,86777.1,23.85453953519223
2012,20700.2776269933,Alluvial cultivated area,47147.310000000005,43.90553273769658
2013,21699.446477585097,Total basin area,2219532.21,0.9776585525463088
2013,21699.446477585097,Basin cultivated area,995945.31,2.178778920861136
2013,21699.446477585097,Total alluvial area,86777.1,25.005959495748414
2013,21699.446477585097,Alluvial cultivated area,50979.33,42.56518568915107
2014,21984.547512515,Total basin area,2219944.41,0.9903197311375468
2014,21984.547512515,Basin cultivated area,758620.35,2.897964378692847
2014,21984.547512515,Total alluvial area,86777.09999999999,25.33450358736925
2014,21984.547512515,Alluvial cultivated area,47712.689999999995,46.076939934669376
2015,17485.4548853565,Total basin area,2165300.28,0.8075302555891463
2015,17485.4548853565,Basin cultivated area,752016.87,2.3251413077151444
2015,17485.4548853565,Total alluvial area,86777.1,20.14984930973321
2015,17485.4548853565,Alluvial cultivated area,49378.14,35.411327533512804
2016,21187.923825844297,Total basin area,2196025.2,0.9648306324464899
2016,21187.923825844297,Basin cultivated area,788868.63,2.6858621347187173
2016,21187.923825844297,Total alluvial area,86777.09999999999,24.416492168837514
2016,21187.923825844297,Alluvial cultivated area,49771.89,42.57006078299277
2017,22596.6345463425,Total basin area,2194087.5,1.0298875749641934
2017,22596.6345463425,Basin cultivated area,797847.75,2.832198818175836
2017,22596.6345463425,Total alluvial area,86777.1,26.039859071509067
2017,22596.6345463425,Alluvial cultivated area,49994.28,45.19843979419745
2018,22582.875234507697,Total basin area,2195761.95,1.0284755701549386
2018,22582.875234507697,Basin cultivated area,818229.87,2.7599671024607915
2018,22582.875234507697,Total alluvial area,86777.1,26.02400314657634
2018,22582.875234507697,Alluvial cultivated area,50167.71,45.01476195446772
2019,19494.921441700597,Total basin area,2127430.8,0.916359838435196
2019,19494.921441700597,Basin cultivated area,854520.48,2.2813872689979995
2019,19494.921441700597,Total alluvial area,86777.1,22.46551387601175
2019,19494.921441700597,Alluvial cultivated area,49618.979999999996,39.28924262792302
2020,22304.0468270319,Total basin area,2151543.69,1.0366532146522156
2020,22304.0468270319,Basin cultivated area,876787.92,2.543836008487879
2020,22304.0468270319,Total alluvial area,86777.1,25.702687491321903
2020,22304.0468270319,Alluvial cultivated area,50535.18,44.135682957955034
2021,22831.554561639598,Total basin area,2151543.69,1.0611708545709149
2021,22831.554561639598,Basin cultivated area,876787.92,2.60399967208029
2021,22831.554561639598,Total alluvial area,86777.1,26.310575672198766
2021,22831.554561639598,Alluvial cultivated area,50535.18,45.17952555356406
2022,22140.351484762,Total basin area,2186962.56,1.0123790818239704
2022,22140.351484762,Basin cultivated area,868212,2.550108900218149
2022,22140.351484762,Total alluvial area,86777.1,25.514048619695743
2022,22140.351484762,Alluvial cultivated area,50219.82,44.08687941287324
2023,22676.155275034802,Total basin area,2190029.76,1.035426809681107
2023,22676.155275034802,Basin cultivated area,854510.58,2.6537009377970255
2023,22676.155275034802,Total alluvial area,86777.1,26.131496990605587
2023,22676.155275034802,Alluvial cultivated area,49758.39,45.57252611074193
