Domain,Year,Crop,crop_area_ha,irrigated_ha,records,reported,irrigated_pct
Alluvial corridor,2006,Corn,18688.0512,7324.203095356699,1,TRUE,39.1919040512726
Alluvial corridor,2006,Sorghum,602.112,0,NA,FALSE,0
Alluvial corridor,2006,Soybeans,25137.8624,5262.5320911687995,1,TRUE,20.934684132763806
Alluvial corridor,2006,Wheat,1203.9104,0,NA,FALSE,0
Alluvial corridor,2007,Corn,24654.6048,9301.2948003248,1,TRUE,37.72639989883269
Alluvial corridor,2007,Sorghum,735.7056,52.60913348599999,1,TRUE,7.150840429378272
Alluvial corridor,2007,Soybeans,18722.2336,4216.6220489029,1,TRUE,22.522003191450942
Alluvial corridor,2007,Wheat,1789.088,28.327994954,1,TRUE,1.5833762762927257
Alluvial corridor,2008,Corn,21865.5,7300.1242996458,1,TRUE,33.386496076676956
Alluvial corridor,2008,Sorghum,436.32,24.281138532,1,TRUE,5.564984078657866
Alluvial corridor,2008,Soybeans,21954.69,5045.6205869496,1,TRUE,22.981971446418054
Alluvial corridor,2008,Wheat,1467.81,0,NA,FALSE,0
Alluvial corridor,2009,Corn,24357.15,6006.3443015324,1,TRUE,24.65947083929113
Alluvial corridor,2009,Sorghum,492.03,2.0234282109999997,1,TRUE,0.4112408208849054
Alluvial corridor,2009,Soybeans,21129.12,3101.7131046419,1,TRUE,14.679802588285266
Alluvial corridor,2009,Wheat,1117.08,0,NA,FALSE,0
Alluvial corridor,2010,Corn,21121.92,7944.9908704915,1,TRUE,37.614908448150075
Alluvial corridor,2010,Sorghum,224.73,50.585705274999995,1,TRUE,22.50954713433898
Alluvial corridor,2010,Soybeans,22257.45,5861.0621559825995,1,TRUE,26.3330352577793
Alluvial corridor,2010,Wheat,570.6,0,NA,FALSE,0
Alluvial corridor,2011,Corn,24629.76,9007.0883384454,1,TRUE,36.569939530248774
Alluvial corridor,2011,Sorghum,245.16,48.96696270619999,1,TRUE,19.973471490536788
Alluvial corridor,2011,Soybeans,22299.48,5865.3113552257,1,TRUE,26.30245797312628
Alluvial corridor,2011,Wheat,772.74,28.327994954,1,TRUE,3.665915437792789
Alluvial corridor,2012,Corn,22983.75,8944.969092367699,1,TRUE,38.91866685100429
Alluvial corridor,2012,Sorghum,102.33,52.609133486,1,TRUE,51.41125133001075
Alluvial corridor,2012,Soybeans,23016.24,5448.6874865807995,1,TRUE,23.673230234742075
Alluvial corridor,2012,Wheat,573.57,0,NA,FALSE,0
Alluvial corridor,2013,Corn,25220.7,10224.7874358252,1,TRUE,40.541251574401976
Alluvial corridor,2013,Sorghum,240.57,132.3322049994,1,TRUE,55.00777528345181
Alluvial corridor,2013,Soybeans,22360.59,5181.3926199077,1,TRUE,23.171985264734513
Alluvial corridor,2013,Wheat,1243.8,0,NA,FALSE,0
Alluvial corridor,2014,Corn,23251.32,9142.4556857613,1,TRUE,39.32015767604291
Alluvial corridor,2014,Sorghum,117.18,2.0234282109999997,1,TRUE,1.7267692532855434
Alluvial corridor,2014,Soybeans,22901.85,6909.8049977439,1,TRUE,30.171383524666783
Alluvial corridor,2014,Wheat,568.98,0,NA,FALSE,0
Alluvial corridor,2015,Corn,24674.4,6808.026558730599,1,TRUE,27.591457375784618
Alluvial corridor,2015,Sorghum,554.85,0,NA,FALSE,0
Alluvial corridor,2015,Soybeans,22286.07,5814.3209643085,1,TRUE,26.089485334599146
Alluvial corridor,2015,Wheat,894.6,0,NA,FALSE,0
Alluvial corridor,2016,Corn,25034.76,10021.0282149775,1,TRUE,40.02845729288996
Alluvial corridor,2016,Sorghum,757.44,21.448339036599997,1,TRUE,2.83168819135509
Alluvial corridor,2016,Soybeans,22356.27,5721.850295065799,1,TRUE,25.593939843568716
Alluvial corridor,2016,Wheat,687.24,0,NA,FALSE,0
Alluvial corridor,2017,Corn,22590.81,8539.6764217044,1,TRUE,37.80155037249395
Alluvial corridor,2017,Sorghum,295.65,0,NA,FALSE,0
Alluvial corridor,2017,Soybeans,25882.11,8097.557357600899,1,TRUE,31.286310728147356
Alluvial corridor,2017,Wheat,313.38,0,NA,FALSE,0
Alluvial corridor,2018,Corn,22995.54,9632.5299984655,1,TRUE,41.88868797369185
Alluvial corridor,2018,Sorghum,130.86,44.1107349998,1,TRUE,33.70834097493505
Alluvial corridor,2018,Soybeans,25448.4,6917.8987105879,1,TRUE,27.184022219816963
Alluvial corridor,2018,Wheat,469.35,16.187425687999998,1,TRUE,3.4489028844146157
Alluvial corridor,2019,Corn,24267.78,8659.0586861534,1,TRUE,35.681297119692864
Alluvial corridor,2019,Sorghum,439.65,25.8998811008,1,TRUE,5.891022654566132
Alluvial corridor,2019,Soybeans,22988.43,4999.6887665599,1,TRUE,21.748717796560705
Alluvial corridor,2019,Wheat,783.72,0,NA,FALSE,0
Alluvial corridor,2020,Corn,24982.02,9794.4042553455,1,TRUE,39.205813842697665
Alluvial corridor,2020,Sorghum,414.9,0.4046856422,1,TRUE,0.09753811573873222
Alluvial corridor,2020,Soybeans,23701.23,6123.500794949299,1,TRUE,25.83621522996612
Alluvial corridor,2020,Wheat,327.96,2.0234282109999997,1,TRUE,0.6169740855592145
Alluvial corridor,2021,Corn,24982.02,9288.1425169533,1,TRUE,37.17930942715321
Alluvial corridor,2021,Sorghum,414.9,2.4281138531999997,1,TRUE,0.5852286944323933
Alluvial corridor,2021,Soybeans,23701.23,7284.948588063299,1,TRUE,30.736584506640792
Alluvial corridor,2021,Wheat,327.96,47.3482201374,1,TRUE,14.43719360208562
Alluvial corridor,2022,Corn,23558.04,9225.0115567701,1,TRUE,39.15865478100088
Alluvial corridor,2022,Sorghum,557.82,4.4515420642,1,TRUE,0.7980248223799791
Alluvial corridor,2022,Soybeans,24583.68,6668.6123549927,1,TRUE,27.126176207112607
Alluvial corridor,2022,Wheat,363.24,21.0436533944,1,TRUE,5.793319401607752
Alluvial corridor,2023,Corn,22816.44,9592.2637770666,1,TRUE,42.04101856848221
Alluvial corridor,2023,Sorghum,351.63,4.8562277063999995,1,TRUE,1.3810618281716576
Alluvial corridor,2023,Soybeans,25227.18,6992.5632115738,1,TRUE,27.718370470158774
Alluvial corridor,2023,Wheat,297.99,0,NA,FALSE,0
Whole basin,2006,Corn,82359.5136,9046.5451885599,1,TRUE,10.984213957960892
Whole basin,2006,Sorghum,6652.7104,0,NA,FALSE,0
Whole basin,2006,Soybeans,139746.432,6090.114229467799,1,TRUE,4.357974756355711
Whole basin,2006,Wheat,20486.2336,0,NA,FALSE,0
Whole basin,2007,Corn,101678.8416,11030.1118638032,1,TRUE,10.847991273538662
Whole basin,2007,Sorghum,5716.928,95.101125917,1,TRUE,1.6635005009158768
Whole basin,2007,Soybeans,110301.5872,5112.596060733699,1,TRUE,4.635106520691752
Whole basin,2007,Wheat,28430.976,28.327994954,1,TRUE,0.09963778575170969
Whole basin,2008,Corn,101180.79,8738.3770720246,1,TRUE,8.636399332348166
Whole basin,2008,Sorghum,5606.1,76.89027201799999,1,TRUE,1.3715465656695383
Whole basin,2008,Soybeans,140474.52,6000.2740168994,1,TRUE,4.271432297401266
Whole basin,2008,Wheat,24566.22,0,NA,FALSE,0
Whole basin,2009,Corn,122750.28,7132.584443774999,1,TRUE,5.810646170236842
Whole basin,2009,Sorghum,5809.23,2.0234282109999997,1,TRUE,0.03483126354095121
Whole basin,2009,Soybeans,141525.81,3633.8747241349,1,TRUE,2.5676410007014976
Whole basin,2009,Wheat,16236.09,0,NA,FALSE,0
Whole basin,2010,Corn,111602.79,9435.8527763563,1,TRUE,8.454853840442789
Whole basin,2010,Sorghum,2268.63,50.585705274999995,1,TRUE,2.2297908991329565
Whole basin,2010,Soybeans,140983.02,6890.177744097199,1,TRUE,4.887239430746482
Whole basin,2010,Wheat,8955.9,0,NA,FALSE,0
Whole basin,2011,Corn,129478.86,10528.7063531174,1,TRUE,8.131602605334493
Whole basin,2011,Sorghum,2910.33,48.96696270619999,1,TRUE,1.6825226935158555
Whole basin,2011,Soybeans,145607.4,7220.1988853113,1,TRUE,4.95867578523571
Whole basin,2011,Wheat,15287.31,28.327994954,1,TRUE,0.18530398712396098
Whole basin,2012,Corn,122057.82,10586.3740571309,1,TRUE,8.673245235029512
Whole basin,2012,Sorghum,1973.25,52.609133486,1,TRUE,2.666115975471937
Whole basin,2012,Soybeans,147920.13,6347.494297906999,1,TRUE,4.291163277038088
Whole basin,2012,Wheat,12987.63,0,NA,FALSE,0
