Region,Year,Crop,irrigated_area_ha,withdrawal_m3,implied_depth_m
Alluvial corridor,2006,Alfalfa,86.60272743079999,92104.0888096718,0.10635241122546363
Alluvial corridor,2006,Corn,7324.203095356699,14381621.132246194,0.19635748688295743
Alluvial corridor,2006,Golf Course/Turf/Sod,95.5058115592,294987.1814494846,0.30886830511526997
Alluvial corridor,2006,Multi-Crop,6507.7498122182,11428529.93015535,0.1756141563509166
Alluvial corridor,2006,Other Crop,624.0252602723999,1051481.5924173663,0.16849984437462884
Alluvial corridor,2006,Soybeans,5262.5320911687995,7784232.510758012,0.14791800555137607
Alluvial corridor,2006,Unknown,0,140958899.98505667,Inf
Alluvial corridor,2007,Alfalfa,64.74970275199999,103982.51890525426,0.16059150001587064
Alluvial corridor,2007,Corn,9301.2948003248,11555455.211238988,0.1242349098626083
Alluvial corridor,2007,Golf Course/Turf/Sod,94.2917546326,268417.98266871145,0.28466750217405523
Alluvial corridor,2007,Multi-Crop,5067.473611628399,6333078.1333385045,0.12497505894862296
Alluvial corridor,2007,Other Crop,591.6504088964,734883.8091740495,0.12420912723525729
Alluvial corridor,2007,Sorghum,52.60913348599999,127134.97299602084,0.24165950771618996
Alluvial corridor,2007,Soybeans,4216.6220489029,5026093.113091549,0.1191971453642439
Alluvial corridor,2007,Unknown,0,150387129.42371637,Inf
Alluvial corridor,2007,Wheat,28.327994954,20019.410223395924,0.07067005714984118
Alluvial corridor,2008,Alfalfa,237.5504719714,136386.08677762706,0.057413519596815336
Alluvial corridor,2008,Corn,7300.1242996458,6793820.604117622,0.09306445103198113
Alluvial corridor,2008,Golf Course/Turf/Sod,86.1980417886,197369.42882597545,0.22897205636065654
Alluvial corridor,2008,Multi-Crop,4989.773968326,4048657.435382159,0.0811390948985296
Alluvial corridor,2008,Other Crop,538.6365897682,377174.0762852745,0.07002384974395999
Alluvial corridor,2008,Sorghum,24.281138532,17293.415362415948,0.07122160000703853
Alluvial corridor,2008,Soybeans,5045.6205869496,3983097.8757165098,0.0789416843196398
Alluvial corridor,2008,Unknown,0,163696164.08930475,Inf
Alluvial corridor,2009,Corn,6006.3443015324,2954781.0722082853,0.049194333922123495
Alluvial corridor,2009,Golf Course/Turf/Sod,128.2853485774,145328.83009984644,0.11328560253485485
Alluvial corridor,2009,Multi-Crop,3961.0630658536,1456199.3181350764,0.03676284103346556
Alluvial corridor,2009,Other Crop,279.233093118,348409.2798336668,0.12477363479493955
Alluvial corridor,2009,Sorghum,2.0234282109999997,727.754284153025,0.035966400003554416
Alluvial corridor,2009,Soybeans,3101.7131046419,1071587.3463693906,0.034548241897862694
Alluvial corridor,2009,Unknown,0,151541310.71392792,Inf
Alluvial corridor,2010,Alfalfa,93.4823833482,64474.09564860782,0.06896924676006269
Alluvial corridor,2010,Corn,7944.9908704915,6735933.301481518,0.08478214023504364
Alluvial corridor,2010,Golf Course/Turf/Sod,105.6229526142,225591.49326906225,0.21358188507857867
Alluvial corridor,2010,Multi-Crop,4465.7060616769995,3913233.464437819,0.08762854989538404
Alluvial corridor,2010,Other Crop,361.7889641267999,371031.336734288,0.1025546308826183
Alluvial corridor,2010,Sorghum,50.585705274999995,42703.14121589445,0.08441740800834263
Alluvial corridor,2010,Soybeans,5861.0621559825995,6044690.079719899,0.1031330144409041
Alluvial corridor,2010,Unknown,0,168227840.67745212,Inf
Alluvial corridor,2011,Alfalfa,79.3183858712,130502.3784125255,0.16452979593462716
Alluvial corridor,2011,Corn,9007.0883384454,17653789.416073825,0.19599884838168272
Alluvial corridor,2011,Golf Course/Turf/Sod,110.4791803206,272587.151279622,0.24673169233207576
Alluvial corridor,2011,Multi-Crop,4851.7761643358,8678642.52598208,0.1788755752950151
Alluvial corridor,2011,Other Crop,445.15420642,956330.8034689522,0.21483135274850362
Alluvial corridor,2011,Sorghum,48.96696270619999,82211.56447254086,0.16789190084303834
Alluvial corridor,2011,Soybeans,5865.3113552257,10359397.21264268,0.17662143721343923
Alluvial corridor,2011,Unknown,0,164581865.72275573,Inf
Alluvial corridor,2011,Wheat,28.327994954,15467.862242845647,0.054602742862539015
Alluvial corridor,2012,Alfalfa,99.5526679812,239998.56113161705,0.24107697563358074
Alluvial corridor,2012,Corn,8944.969092367699,21597502.216717444,0.24144859522371664
Alluvial corridor,2012,Golf Course/Turf/Sod,107.6463808252,380936.1958897944,0.35387738349361886
Alluvial corridor,2012,Multi-Crop,5481.8717092412,46086063.833915465,0.8406994230861834
Alluvial corridor,2012,Other Crop,564.9411565112,1918125.93147824,0.3395266762513191
Alluvial corridor,2012,Sorghum,52.609133486,121436.28690655137,0.23082738463819635
Alluvial corridor,2012,Soybeans,5448.6874865807995,11461895.61386101,0.21036067203504935
Alluvial corridor,2012,Unknown,0,154309774.35457465,Inf
Alluvial corridor,2013,Alfalfa,26.7092523852,35635.29028674727,0.133419272740458
Alluvial corridor,2013,Corn,10224.7874358252,15514290.499210935,0.15173215674736268
Alluvial corridor,2013,Golf Course/Turf/Sod,102.38546747659998,256675.23557525928,0.2506949881670677
Alluvial corridor,2013,Multi-Crop,5345.087962177599,6783533.365592476,0.12691153847408063
Alluvial corridor,2013,Other Crop,680.2765645382,948350.1759800198,0.13940656277403873
Alluvial corridor,2013,Sorghum,132.3322049994,180248.70092081616,0.13620924771988302
Alluvial corridor,2013,Soybeans,5181.3926199077,7104608.68790609,0.1371177443803255
Alluvial corridor,2013,Unknown,6.4749702752,170930029.33896744,2639.8581317608864
Alluvial corridor,2014,Alfalfa,67.1778166052,28382.417081967975,0.04224968675116332
Alluvial corridor,2014,Corn,9142.4556857613,14578213.467514517,0.1594562114227035
Alluvial corridor,2014,Golf Course/Turf/Sod,102.38546747659998,252876.11151561295,0.2469843794710488
Alluvial corridor,2014,Multi-Crop,5026.6003617662,6276769.687454461,0.12487107061857189
Alluvial corridor,2014,Other Crop,719.5310718316,842973.822598337,0.11715600001157805
Alluvial corridor,2014,Sorghum,2.0234282109999997,629.075737149225,0.031089600003072464
Alluvial corridor,2014,Soybeans,6909.8049977439,9068373.447373588,0.13123920936024208
Alluvial corridor,2014,Unknown,14.5686831192,174747297.91644406,1199.4721587852057
Alluvial corridor,2015,Corn,6808.026558730599,3793240.351281198,0.055717179105547916
Alluvial corridor,2015,Golf Course/Turf/Sod,110.4791803206,334902.6537125217,0.30313643959039727
Alluvial corridor,2015,Multi-Crop,3867.9853681476,2268767.813437867,0.05865502574339862
Alluvial corridor,2015,Other Crop,540.6600179792,405087.7702689745,0.0749246766541111
Alluvial corridor,2015,Soybeans,5814.3209643085,3761798.899242112,0.06469885172033162
Alluvial corridor,2015,Unknown,343.98279586999996,141849819.24668047,41.23747494054592
Alluvial corridor,2016,Alfalfa,18.210853899,76956.93184458851,0.4225882667084293
Alluvial corridor,2016,Corn,10021.0282149775,11507435.763303263,0.11483288457470031
Alluvial corridor,2016,Golf Course/Turf/Sod,117.358836238,308382.79420525045,0.26276913106045113
Alluvial corridor,2016,Multi-Crop,4453.5654924109995,3588482.3662483133,0.08057549332918058
Alluvial corridor,2016,Other Crop,425.7292955944,432989.1294342989,0.1017052699720283
Alluvial corridor,2016,Sorghum,21.448339036599997,24928.667936834972,0.11622656604922205
Alluvial corridor,2016,Soybeans,5721.850295065799,3405014.2777314982,0.05950897178606351
Alluvial corridor,2016,Unknown,408.732498622,152077480.59907308,37.2070929304097
Alluvial corridor,2017,Alfalfa,16.187425687999998,10903.9794439199,0.067360800006657
Alluvial corridor,2017,Corn,8539.6764217044,10047486.660382042,0.11765652659678531
Alluvial corridor,2017,Golf Course/Turf/Sod,117.358836238,486028.8484488414,0.41413911728230696
Alluvial corridor,2017,Multi-Crop,5491.584164653999,5487945.71752446,0.09993374503566825
Alluvial corridor,2017,Other Crop,334.2703404572,471621.78058628656,0.14108992737471812
Alluvial corridor,2017,Soybeans,8097.557357600899,8891677.174144909,0.1098069057306349
Alluvial corridor,2017,Unknown,0,155809022.18884015,Inf
Alluvial corridor,2018,Alfalfa,29.5420518806,36042.33929313795,0.12200350686137218
Alluvial corridor,2018,Corn,9632.5299984655,18148958.364938896,0.18841320367369838
Alluvial corridor,2018,Golf Course/Turf/Sod,446.3682633466,1382215.0775189777,0.3096580090967854
Alluvial corridor,2018,Multi-Crop,5306.0357977053,8531882.856950678,0.16079580278445274
Alluvial corridor,2018,Other Crop,190.202251834,391408.45669057267,0.20578539576501775
Alluvial corridor,2018,Sorghum,44.1107349998,54963.95068111659,0.12460447707653431
