Region,Year,irrigated_area_ha,withdrawal_m3,implied_depth_m,region_area_ha,cultivated_area_ha,irrigated_fraction_region,irrigated_fraction_cultivated
Alluvial corridor,2006,19900.618798006097,175991856.42089275,0.884353688733166,87558.0608,46446.355200000005,0.22728482810352618,0.4284645956031033
Alluvial corridor,2007,19417.0194555771,174556194.57535285,0.8989855264589309,87558.06079999999,46711.347200000004,0.2217616433960253,0.41568099871838204
Alluvial corridor,2008,18222.1850969816,179249963.01177233,0.9836908255391614,86777.1,46917.45,0.20998840819734238,0.38838822435962744
Alluvial corridor,2009,13478.6623419343,157518344.31485835,1.1686496799077257,86777.1,48144.87,0.15532510699175586,0.2799605096437959
Alluvial corridor,2010,18883.239093515298,185625497.5899592,0.9830172496926385,86777.09999999999,44571.78,0.2176062474260525,0.42365907517077617
Alluvial corridor,2011,20436.4225882789,202730794.6373308,0.9920072545064955,86777.1,48451.32,0.2355047885707047,0.42179289621580796
Alluvial corridor,2012,20700.2776269933,236115732.99447477,1.140640416757398,86777.1,47147.310000000005,0.2385453953519223,0.43905532737696584
Alluvial corridor,2013,21699.446477585097,201753371.2944398,0.9297627545607913,86777.1,50979.33,0.25005959495748414,0.4256518568915107
Alluvial corridor,2014,21984.547512515,205795515.9457197,0.9360916608748386,86777.09999999999,47712.689999999995,0.2533450358736925,0.46076939934669375
Alluvial corridor,2015,17485.4548853565,152413616.73462313,0.8716594319903257,86777.1,49378.14,0.20149849309733212,0.35411327533512804
Alluvial corridor,2016,21187.923825844297,171421670.52977714,0.8090536474398823,86777.09999999999,49771.89,0.24416492168837514,0.42570060782992764
Alluvial corridor,2017,22596.6345463425,181204686.3493706,0.801910063101412,86777.1,49994.28,0.2603985907150907,0.45198439794197454
Alluvial corridor,2018,22582.875234507697,181254210.64514813,0.8026179517131775,86777.1,50167.71,0.2602400314657634,0.4501476195446772
Alluvial corridor,2019,19494.921441700597,138521934.58825082,0.7105539512046742,86777.1,49618.979999999996,0.22465513876011753,0.3928924262792302
Alluvial corridor,2020,22304.0468270319,157573505.6226335,0.7064794422492814,86777.1,50535.18,0.257026874913219,0.4413568295795503
Alluvial corridor,2021,22831.554561639598,161588809.70912835,0.7077433526170029,86777.1,50535.18,0.26310575672198766,0.45179525553564065
Alluvial corridor,2022,22140.351484762,164530836.57913637,0.7431265790535169,86777.1,50219.82,0.25514048619695745,0.4408687941287324
Alluvial corridor,2023,22676.155275034802,154634291.09121504,0.6819246438193994,86777.1,49758.39,0.26131496990605585,0.4557252611074193
Whole basin,2006,24940.978471607097,210535601.6251391,0.8441352927063932,1465324.5376,258424.9024,0.017020788113230528,0.09651151355763112
Whole basin,2007,24349.732748352897,205422992.095962,0.8436355101673858,1465324.5376,254572.63999999998,0.01661729679913394,0.09564944900737525
Whole basin,2008,22833.173304208398,203710586.2653499,0.8921694043630977,1463927.58,315951.02999999997,0.015597201402687144,0.07226807680990437
Whole basin,2009,17060.5349610465,181554625.14668283,1.0641789695412118,1463927.58,323478.72,0.01165394736332961,0.05274082623130975
Whole basin,2010,23557.1559181042,212926015.41739592,0.9038697886859829,1463927.58,268735.76999999996,0.016091749509975214,0.0876591751001521
Whole basin,2011,25570.4669880492,234719912.61228767,0.9179336174110081,1463927.58,300348.81,0.01746703002073996,0.08513590244638958
Whole basin,2012,25882.6819610065,269813642.6982597,1.0424485495929166,1463927.58,294237.54000000004,0.017680302164268604,0.08796526086034602
Whole basin,2013,27483.8207043708,229752989.62294325,0.8359572422418156,1463927.58,509785.11,0.018774030272980306,0.053912560734405916
Whole basin,2014,27846.2166969609,235584386.02331445,0.8460193662467111,1463927.5799999998,384930.45,0.019021580764917962,0.07234090391383924
Whole basin,2015,23121.714167096998,177950687.25301003,0.7696258416092698,1463927.58,347662.71,0.015794301906038956,0.06650616675885945
Whole basin,2016,27519.4330408844,198005930.12378672,0.7195131158029967,1463927.58,367818.39,0.01879835684281896,0.07481799113112425
Whole basin,2017,28915.800849295498,209122216.4615853,0.7232108754362249,1463927.58,373047.75,0.019752207174958406,0.07751233146238115
Whole basin,2018,29032.147971428,209936339.1440034,0.7231167991793522,1463927.5799999998,385723.8,0.019831683184374463,0.07526667519978804
Whole basin,2019,25309.444748830196,164154094.22149426,0.6485882872996709,1463927.58,411873.75,0.017288727321354377,0.061449521240016375
Whole basin,2020,28790.550643034596,188615605.5819949,0.6551302471445691,1463927.58,419397.48000000004,0.01966664952308269,0.06864740971508601
Whole basin,2021,29954.6288928229,192131386.52873814,0.6414080014684228,1463927.58,419397.48000000004,0.020461824274683654,0.07142300638721744
Whole basin,2022,29333.4364320459,193720086.46586254,0.6604070645273227,1463927.58,411459.66,0.020037491493975334,0.07129115994517154
Whole basin,2023,30325.118598257,187431685.04468003,0.6180740379872844,1463927.5799999998,402990.84,0.020714903532493733,0.07525014364658263
