Year,water_condition,totalWater_m,GDD,FIPS,Crop,yield_kgHa_pred_fixed
2006,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3575.7871672857086
2006,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3178.4373829112633
2006,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,1683.676265295867
2007,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3573.303355758498
2007,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3217.596746067947
2007,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,1778.3222519524602
2008,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3570.819544231288
2008,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3256.756109224631
2008,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,1872.9682386090533
2009,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3568.335732704078
2009,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3295.915472381315
2009,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,1967.6142252656464
2010,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3565.851921176868
2010,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3335.0748355379983
2010,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2062.2602119222397
2011,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3563.368109649658
2011,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3374.2341986946826
2011,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2156.9061985788326
2012,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3560.884298122448
2012,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3413.3935618513665
2012,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2251.5521852354254
2013,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3558.4004865952375
2013,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3452.55292500805
2013,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2346.1981718920188
2014,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3555.9166750680274
2014,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3491.7122881647338
2014,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2440.8441585486116
2015,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3553.4328635408174
2015,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3530.871651321418
2015,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2535.490145205205
2016,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3550.949052013607
2016,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3570.0310144781015
2016,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2630.1361318617983
2017,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3548.4652404863978
2017,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3609.1903776347854
2017,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2724.782118518391
2018,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3545.981428959187
2018,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3648.3497407914692
2018,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2819.428105174984
2019,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3543.497617431977
2019,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3687.509103948153
2019,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,2914.0740918315773
2020,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3541.0138059047667
2020,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3726.668467104837
2020,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3008.72007848817
2021,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3538.529994377557
2021,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3765.827830261521
2021,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3103.3660651447635
2022,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3536.046182850347
2022,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3804.987193418205
2022,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3198.012051801357
2023,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3533.562371323136
2023,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3844.1465565748886
2023,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3292.65803845795
2024,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3531.078559795926
2024,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3883.3059197315724
2024,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3387.304025114543
2025,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3528.594748268716
2025,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3922.465282888256
2025,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3481.950011771136
2026,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3526.110936741506
2026,median,0.5967868857319554,2658.5670654296923,20005,Wheat,3961.62464604494
2026,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3576.595998427729
2027,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3523.627125214296
2027,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4000.784009201624
2027,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3671.241985084322
2028,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3521.1433136870864
2028,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4039.943372358308
2028,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3765.8879717409154
2029,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3518.659502159876
2029,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4079.102735514991
2029,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3860.5339583975083
2030,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3516.1756906326664
2030,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4118.262098671675
2030,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,3955.1799450541016
2031,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3513.6918791054554
2031,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4157.421461828359
2031,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4049.8259317106945
2032,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3511.2080675782454
2032,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4196.580824985043
2032,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4144.471918367287
2033,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3508.724256051035
2033,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4235.740188141727
2033,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4239.117905023881
2034,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3506.2404445238253
2034,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4274.899551298411
2034,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4333.7638916804735
2035,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3503.7566329966144
2035,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4314.058914455095
2035,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4428.409878337066
2036,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3501.2728214694043
2036,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4353.218277611779
2036,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4523.05586499366
2037,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3498.7890099421948
2037,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4392.377640768462
2037,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4617.701851650253
2038,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3496.3051984149843
2038,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4431.537003925146
2038,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4712.347838306846
2039,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3493.8213868877747
2039,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4470.69636708183
2039,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4806.993824963439
2040,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3491.337575360564
2040,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4509.855730238514
2040,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4901.639811620033
2041,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3488.8537638333546
2041,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4549.015093395197
2041,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,4996.285798276625
2042,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3486.369952306144
2042,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4588.174456551881
2042,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5090.931784933218
