Crop,Response,term,estimate_lm,estimate_lmer,std.error_lm,std.error_lmer,estimate_diff,abs_estimate_diff
Corn,yield_kgHa_detrended,(Intercept),341.5950812338695,5991.1846887828015,4200.393616349623,2881.8081005217027,5649.589607548932,5649.589607548932
Corn,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",48274.70491256841,33786.62042023282,6269.522802592163,4131.640717963885,-14488.08449233559,14488.08449233559
Corn,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-25846.79993835003,-18525.350730842663,3766.4634392821667,2462.127366511201,7321.449207507365,7321.449207507365
Corn,yield_kgHa_detrended,GDD,-5.043566396051623,-4.55416680128908,1.1400660304482253,0.7717275438198926,0.4893995947625429,0.4893995947625429
Corn,yield_kcalHa_detrended,(Intercept),1223.2519858983417,21454.432370234386,15041.609540147996,10319.75480800698,20231.180384336043,20231.180384336043
Corn,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",172871.71829190754,120989.88772555713,22451.161156082533,14795.405411163247,-51881.830566350414,51881.830566350414
Corn,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-92557.39057923148,-66339.28096750022,13487.705576069438,8816.87809955783,26218.109611731255,26218.109611731255
Corn,yield_kcalHa_detrended,GDD,-18.061011264260834,-16.308471315430058,4.0825764550350945,2.7635563344433045,1.7525399488307762,1.7525399488307762
Sorghum,yield_kgHa_detrended,(Intercept),4071.8421131844893,1940.4345742677908,4940.474812606488,3078.9078505612256,-2131.4075389166983,2131.4075389166983
Sorghum,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",29527.817677224597,31017.699958987843,9903.764237230731,6048.573470014772,1489.8822817632463,1489.8822817632463
Sorghum,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-17359.743899258123,-18656.711063687046,6369.475773381925,3870.730805970487,-1296.9671644289228,1296.9671644289228
Sorghum,yield_kgHa_detrended,GDD,-4.304764164234282,-3.457161045454558,1.126070267715929,0.655030419512908,0.8476031187797237,0.8476031187797237
Sorghum,yield_kcalHa_detrended,(Intercept),13966.418448222787,6655.690589765185,16945.828607240248,10560.653927434565,-7310.7278584576015,7310.7278584576015
Sorghum,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",101280.41463288036,106390.71085931023,33969.9113337014,20746.607002174478,5110.296226429869,5110.296226429869
Sorghum,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-59543.92157445537,-63992.518948433884,21847.301902699997,13276.606664494482,-4448.597373978511,4448.597373978511
Sorghum,yield_kcalHa_detrended,GDD,-14.765341083323582,-11.858062385918037,3.8624210182656364,2.2467543389329125,2.9072786974055447,2.9072786974055447
Soybeans,yield_kgHa_detrended,(Intercept),305.6411040534661,1922.902393452933,1065.147996830949,844.4671490591398,1617.261289399467,1617.261289399467
Soybeans,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",10003.058591180461,6929.737496778044,1626.7188095529143,1239.886328385242,-3073.3210944024167,3073.3210944024167
Soybeans,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-4902.74570795526,-3250.801434835303,983.4069359533095,743.7951465038335,1651.9442731199565,1651.9442731199565
Soybeans,yield_kgHa_detrended,GDD,-0.7527881805477371,-0.8679512142992732,0.28574914612723296,0.22566128539402863,-0.11516303375153614,0.11516303375153614
Soybeans,yield_kcalHa_detrended,(Intercept),1099.0854101762739,6914.757006863411,3830.2721966040936,3036.7038680156293,5815.671596687138,5815.671596687138
Soybeans,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",35970.998693884976,24919.33603840093,5849.680839152281,4458.631236871242,-11051.662655484048,11051.662655484048
Soybeans,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-17630.27356580714,-11689.881959660368,3536.331341688102,2674.687346826533,5940.391606146772,5940.391606146772
Soybeans,yield_kcalHa_detrended,GDD,-2.7070262972496666,-3.1211525666207596,1.0275539294735299,0.811477982276703,-0.414126269371093,0.414126269371093
Wheat,yield_kgHa_detrended,(Intercept),3718.8316745271163,3718.831674528173,1139.81911053513,1123.5351435496925,1.0568328434601426e-9,1.0568328434601426e-9
Wheat,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",-1691.6580503547968,-1691.658050357069,2839.106210671814,2798.545466097834,-2.272145138704218e-9,2.272145138704218e-9
Wheat,yield_kgHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-433.82511648826244,-433.82511648660983,2175.7170955406627,2144.6338253742215,1.6526087165402714e-9,1.6526087165402714e-9
Wheat,yield_kgHa_detrended,GDD,0.23381710939502884,0.2338171093949113,0.2505992951024142,0.24701912118681013,-1.1754486273218845e-13,1.1754486273218845e-13
Wheat,yield_kcalHa_detrended,(Intercept),12212.643219147038,12212.643219142992,3743.1659589973656,3689.6894114171887,-4.045432433485985e-9,4.045432433485985e-9
Wheat,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)1",-5555.405037365141,-5555.405037355902,9323.624795846235,9190.423310665283,9.238647180609405e-9,9.238647180609405e-9
Wheat,yield_kcalHa_detrended,"poly(totalWater_m, 2, raw = TRUE)2",-1424.6816825474616,-1424.6816825541812,7145.054941755534,7042.9774825289405,-6.719574230373837e-9,6.719574230373837e-9
Wheat,yield_kcalHa_detrended,GDD,0.7678553872532748,0.767855387253661,0.8229680851163279,0.8112107939774841,3.8613556796462944e-13,3.8613556796462944e-13
