Domain,Year,Crop,irrigated_area_m2,withdrawal_m3,crop_area_m2,irrigated_fraction_of_crop
alluvial,2006,Corn,73242030.953567,14381621.132246194,186880512.00000003,0.391919040512726
alluvial,2006,Sorghum,0,0,6021120,0
alluvial,2006,Soybeans,52625320.91168799,7784232.510758012,251378624.00000003,0.20934684132763806
alluvial,2006,Wheat,0,0,12039104,0
alluvial,2007,Corn,93012948.003248,11555455.211238988,246546048,0.37726399898832697
alluvial,2007,Sorghum,526091.33486,127134.97299602084,7357056,0.07150840429378272
alluvial,2007,Soybeans,42166220.489029,5026093.113091549,187222336,0.22522003191450937
alluvial,2007,Wheat,283279.94954,20019.410223395924,17890880,0.015833762762927257
alluvial,2008,Corn,73001242.99645801,6793820.604117622,218655000,0.33386496076676964
alluvial,2008,Sorghum,242811.38532,17293.415362415948,4363200,0.055649840786578655
alluvial,2008,Soybeans,50456205.869495995,3983097.8757165098,219546900,0.22981971446418054
alluvial,2008,Wheat,0,0,14678100,0
alluvial,2009,Corn,60063443.015324004,2954781.0722082853,243571500,0.24659470839291134
alluvial,2009,Sorghum,20234.282109999996,727.754284153025,4920300,0.004112408208849053
alluvial,2009,Soybeans,31017131.046419,1071587.3463693906,211291200,0.14679802588285265
alluvial,2009,Wheat,0,0,11170800,0
alluvial,2010,Corn,79449908.704915,6735933.301481518,211219199.99999997,0.3761490844815008
alluvial,2010,Sorghum,505857.05275,42703.14121589445,2247300,0.22509547134338984
alluvial,2010,Soybeans,58610621.559825994,6044690.079719899,222574500,0.263330352577793
alluvial,2010,Wheat,0,0,5706000,0
alluvial,2011,Corn,90070883.384454,17653789.416073825,246297599.99999997,0.36569939530248774
alluvial,2011,Sorghum,489669.6270619999,82211.56447254086,2451600,0.1997347149053679
alluvial,2011,Soybeans,58653113.552257,10359397.21264268,222994800,0.2630245797312628
alluvial,2011,Wheat,283279.94954,15467.862242845647,7727400,0.03665915437792789
alluvial,2012,Corn,89449690.92367698,21597502.216717444,229837500,0.3891866685100429
alluvial,2012,Sorghum,526091.33486,121436.28690655137,1023300,0.5141125133001074
alluvial,2012,Soybeans,54486874.865807995,11461895.61386101,230162400.00000003,0.23673230234742074
alluvial,2012,Wheat,0,0,5735700.000000001,0
alluvial,2013,Corn,102247874.35825199,15514290.499210935,252207000,0.40541251574401976
alluvial,2013,Sorghum,1323322.049994,180248.70092081616,2405700,0.550077752834518
alluvial,2013,Soybeans,51813926.199076995,7104608.68790609,223605900,0.23171985264734515
alluvial,2013,Wheat,0,0,12438000,0
alluvial,2014,Corn,91424556.85761301,14578213.467514517,232513200,0.39320157676042916
alluvial,2014,Sorghum,20234.282109999996,629.075737149225,1171800,0.017267692532855435
alluvial,2014,Soybeans,69098049.977439,9068373.447373588,229018500,0.30171383524666784
alluvial,2014,Wheat,0,0,5689800,0
alluvial,2015,Corn,68080265.587306,3793240.351281198,246744000,0.27591457375784617
alluvial,2015,Sorghum,0,0,5548500,0
alluvial,2015,Soybeans,58143209.643085,3761798.899242112,222860700,0.2608948533459915
alluvial,2015,Wheat,0,0,8946000,0
alluvial,2016,Corn,100210282.149775,11507435.763303263,250347599.99999997,0.4002845729288997
alluvial,2016,Sorghum,214483.39036599998,24928.667936834972,7574400.000000001,0.0283168819135509
alluvial,2016,Soybeans,57218502.95065799,3405014.2777314982,223562700,0.25593939843568714
alluvial,2016,Wheat,0,0,6872400,0
alluvial,2017,Corn,85396764.217044,10047486.660382042,225908100,0.37801550372493947
alluvial,2017,Sorghum,0,0,2956500,0
alluvial,2017,Soybeans,80975573.57600899,8891677.174144909,258821100,0.31286310728147354
alluvial,2017,Wheat,0,0,3133800,0
alluvial,2018,Corn,96325299.984655,18148958.364938896,229955400,0.4188868797369185
alluvial,2018,Sorghum,441107.349998,54963.95068111659,1308600.0000000002,0.3370834097493504
alluvial,2018,Soybeans,69178987.105879,9335582.617841505,254484000,0.2718402221981696
alluvial,2018,Wheat,161874.25687999997,456.388279892575,4693500,0.034489028844146154
alluvial,2019,Corn,86590586.861534,6437652.723525781,242677800,0.3568129711969286
alluvial,2019,Sorghum,258998.811008,1640.530843938175,4396500,0.05891022654566132
alluvial,2019,Soybeans,49996887.665598996,2378128.3131548287,229884300,0.21748717796560704
alluvial,2019,Wheat,0,0,7837200,0
alluvial,2020,Corn,97944042.553455,8527442.322335508,249820200,0.3920581384269767
alluvial,2020,Sorghum,4046.856422,24.66963675095,4149000,9.753811573873222e-4
alluvial,2020,Soybeans,61235007.94949299,4340610.251511277,237012300,0.2583621522996612
alluvial,2020,Wheat,20234.282109999996,2466.963675095,3279600,0.006169740855592144
alluvial,2021,Corn,92881425.169533,12129838.363711355,249820200,0.37179309427153207
alluvial,2021,Sorghum,24281.138531999997,2935.6867733630497,4149000,0.005852286944323933
alluvial,2021,Soybeans,72849485.880633,7424475.198018908,237012300,0.3073658450664079
alluvial,2021,Wheat,473482.201374,16948.040447902647,3279600,0.1443719360208562
alluvial,2022,Corn,92250115.567701,11923193.151467023,235580400,0.3915865478100088
alluvial,2022,Sorghum,44515.420642,3392.075053255625,5578200.000000001,0.00798024822379979
alluvial,2022,Soybeans,66686123.549926996,8339903.743754785,245836800,0.271261762071126
alluvial,2022,Wheat,210436.533944,12741.867381865675,3632400,0.05793319401607752
alluvial,2023,Corn,95922637.770666,13159055.60896099,228164400,0.420410185684822
alluvial,2023,Sorghum,48562.277063999994,14740.107958692624,3516300,0.013810618281716576
alluvial,2023,Soybeans,69925632.115738,10664881.324529693,252271800,0.27718370470158776
alluvial,2023,Wheat,0,0,2979900,0
basin,2006,Corn,90465451.885599,17555542.587713167,823595136,0.10984213957960894
basin,2006,Sorghum,0,0,66527104,0
basin,2006,Soybeans,60901142.294677995,8790667.346468143,1397464320,0.04357974756355711
basin,2006,Wheat,0,0,204862336,0
basin,2007,Corn,110301118.638032,13623560.199344628,1016788416,0.10847991273538664
basin,2007,Sorghum,951011.2591700001,174044.28727795224,57169280,0.016635005009158765
basin,2007,Soybeans,51125960.60733699,5796464.19473184,1103015872,0.04635106520691752
basin,2007,Wheat,283279.94954,20019.410223395924,284309760,9.96377857517097e-4
basin,2008,Corn,87383770.72024599,7789573.487114592,1011807899.9999999,0.08636399332348166
basin,2008,Sorghum,768902.72018,28653.783086228425,56061000,0.013715465656695385
basin,2008,Soybeans,60002740.168993995,4835569.508463962,1404745200,0.04271432297401265
basin,2008,Wheat,0,0,245662200,0
basin,2009,Corn,71325844.43775,3514966.848730482,1227502800,0.05810646170236842
basin,2009,Sorghum,20234.282109999996,727.754284153025,58092299.99999999,3.483126354095121e-4
basin,2009,Soybeans,36338747.241349004,1273755.019543426,1415258100,0.02567641000701498
basin,2009,Wheat,0,0,162360900,0
basin,2010,Corn,94358527.76356299,7946497.046487385,1116027900,0.08454853840442787
basin,2010,Sorghum,505857.05275,42703.14121589445,22686300,0.02229790899132957
basin,2010,Soybeans,68901777.44097199,7193172.683842001,1409830200,0.04887239430746482
basin,2010,Wheat,0,0,89559000,0
basin,2011,Corn,105287063.531174,20168698.530194297,1294788600,0.08131602605334493
basin,2011,Sorghum,489669.6270619999,82211.56447254086,29103300,0.016825226935158553
basin,2011,Soybeans,72201988.853113,12389560.299425358,1456074000,0.04958675785235709
basin,2011,Wheat,283279.94954,15467.862242845647,152873100,0.0018530398712396099
basin,2012,Corn,105863740.57130902,24828410.533079114,1220578200,0.08673245235029514
basin,2012,Sorghum,526091.33486,121436.28690655137,19732500,0.026661159754719367
basin,2012,Soybeans,63474942.97906999,13130623.85260552,1479201300,0.042911632770380875
basin,2012,Wheat,0,0,129876299.99999999,0
basin,2013,Corn,120531571.672848,17887225.85382969,1379867400,0.08735011180990869
basin,2013,Sorghum,1606601.999534,212504.25097268328,45249300,0.03550556582165912
basin,2013,Soybeans,66750873.25267899,8758288.448232522,1535989500,0.0434578968493463
basin,2013,Wheat,0,0,253822500,0
basin,2014,Corn,114265014.50338101,17621299.504472826,1228633200,0.09300173111338764
basin,2014,Sorghum,20234.282109999996,629.075737149225,16076700,0.0012586091741464353
basin,2014,Soybeans,76321688.690709,10008298.942403158,1548516600,0.049286968373932184
basin,2014,Wheat,0,0,149329800,0
basin,2015,Corn,79383135.573952,5063615.630589744,1286789400,0.06169085288855504
basin,2015,Sorghum,517997.622016,57258.22689895495,53755200.00000001,0.009636232811262909
basin,2015,Soybeans,71275258.732475,4695655.663630949,1486242900,0.04795666894857832
basin,2015,Wheat,853886.7050419999,15517.20151634755,168062400.00000003,0.005080771814766419
basin,2016,Corn,123669908.828109,13947645.217341855,1444999500,0.08558474160586838
basin,2016,Sorghum,214483.39036599998,24928.667936834972,50210100,0.004271718048081959
basin,2016,Soybeans,67914344.47400399,4139577.3816277855,1574467200,0.043134810603869034
basin,2016,Wheat,0,0,123641100,0
basin,2017,Corn,100426788.96835199,12250744.253427764,1362954600,0.0736831505380678
basin,2017,Sorghum,0,0,16957800,0
basin,2017,Soybeans,97049687.28419301,10479600.017711682,1789200000,0.05424194460328248
basin,2017,Wheat,0,0,67353300,0
basin,2018,Corn,114831574.40246099,20561118.44199166,1385863200,0.0828592420972438
basin,2018,Sorghum,441107.349998,54963.95068111659,18862200,0.023385784797001413
basin,2018,Soybeans,81036276.42233899,10261249.062829023,1781814600,0.04547963431343474
basin,2018,Wheat,161874.25687999997,456.388279892575,82364400,0.0019653425130274726
basin,2019,Corn,106353410.19837098,7938923.468004843,1474408800,0.07213291876606473
basin,2019,Sorghum,258998.811008,1640.530843938175,53707500,0.004822395587357445
basin,2019,Soybeans,58070366.227488995,2635938.352020632,1748749500,0.033206795042679926
basin,2019,Wheat,0,0,95683500,0
basin,2020,Corn,121001007.01779999,10459740.960127167,1496641500.0000002,0.08084835748427394
basin,2020,Sorghum,4046.856422,24.66963675095,54302400,7.452444867998468e-5
basin,2020,Soybeans,69935749.25679299,4938441.8937154235,1854624600,0.03770884375026245
basin,2020,Wheat,20234.282109999996,2466.963675095,74008800,2.7340373185350924e-4
basin,2021,Corn,109514005.06395301,14034260.311974443,1496641500.0000002,0.0731731714401565
basin,2021,Sorghum,327795.370182,42148.07438899807,54302400,0.006036480343078758
basin,2021,Soybeans,86056401.81383,8588166.63319797,1854624600,0.04640098153223569
