Domain,Year,irrigated_area_all_reported_m2,irrigated_area_modeled_crops_m2,withdrawal_all_reported_m3,withdrawal_modeled_crops_m3,total_domain_area_m2,cdl_cultivated_area_m2,expansion_eligible_area_m2,model_cultivated_area_m2,frac_all_reported_of_domain,frac_all_reported_of_cdl_cultivated,frac_modeled_crops_of_cdl_cultivated,frac_modeled_crops_of_model_cultivated
alluvial,2006,199006187.980061,125867351.865255,175991856.42089275,22165853.643004205,875580608,464463552.00000006,583597056.0000001,NA,0.22728482810352624,0.42846459560310335,0.270995111076563,NA
alluvial,2007,194170194.555771,135988539.776677,174556194.57535285,16728702.707549954,875580608,467113472,545356672,NA,0.22176164339602528,0.41568099871838204,0.2911252788202114,NA
alluvial,2008,182221850.969816,123700260.251274,179249963.01177233,10794211.895196548,867771000,469174500,577537200,NA,0.20998840819734238,0.3883882243596274,0.263655122457154,NA
alluvial,2009,134786623.419343,91100808.343853,157518344.31485835,4027096.172861829,867771000,481448700,582377400,NA,0.1553251069917559,0.2799605096437959,0.18922225430010092,NA
alluvial,2010,188832390.93515298,138566387.317491,185625497.5899592,12823326.522417312,867771000,445717800,570193200,NA,0.21760624742605247,0.42365907517077617,0.31088367419360635,NA
alluvial,2011,204364225.882789,149496946.513313,202730794.6373308,28110866.05543189,867771000,484513200,578174400,NA,0.2355047885707047,0.4217928962158079,0.3085508227914389,NA
alluvial,2012,207002776.269933,144462657.12434497,236115732.99447477,33180834.117485005,867771000,471473100.00000006,576412200,NA,0.23854539535192232,0.43905532737696584,0.30640699782096786,NA
alluvial,2013,216994464.77585098,155385122.607323,201753371.2944398,22799147.88803784,867771000,509793300,584044200,NA,0.25005959495748414,0.4256518568915107,0.30480024474100187,NA
alluvial,2014,219845475.12515002,160542841.11716202,205795515.9457197,23647215.990625255,867771000,477126900,567801000,NA,0.2533450358736925,0.46076939934669375,0.33647828516304995,NA
alluvial,2015,174854548.853565,126223475.230391,152413616.73462313,7555039.25052331,867771000,493781400,573518700,NA,0.20149849309733214,0.3541132753351281,0.2556262249456764,NA
alluvial,2016,211879238.258443,157643268.49079898,171421670.52977714,14937378.708971597,867771000,497718900,573692400,NA,0.24416492168837517,0.4257006078299277,0.316731529565783,NA
alluvial,2017,225966345.46342498,166372337.79305297,181204686.3493706,18939163.83452695,867771000,499942800,571234500,NA,0.2603985907150907,0.45198439794197454,0.3327827459322406,NA
alluvial,2018,225828752.34507698,166107268.69741198,181254210.64514813,27539961.32174141,867771000,501677100,571474800,NA,0.2602400314657634,0.4501476195446772,0.33110394853066244,NA
alluvial,2019,194949214.417006,136846473.338141,138521934.58825082,8817421.567524549,867771000,496189800,567738900,NA,0.22465513876011758,0.3928924262792302,0.2757946119370874,NA
alluvial,2020,223040468.27031898,159203331.64148,157573505.6226335,12870544.20715863,867771000,505351800,567283500,NA,0.257026874913219,0.4413568295795503,0.31503465831422783,NA
alluvial,2021,228315545.61639598,166228674.390072,161588809.70912835,19574197.288951527,867771000,505351800,567283500,NA,0.2631057567219877,0.45179525553564065,0.328936543592151,NA
alluvial,2022,221403514.84761998,159191191.072214,164530836.57913637,20279230.83765693,867771000,502198200,572850000,NA,0.25514048619695745,0.4408687941287324,0.31698877270411163,NA
alluvial,2023,226761552.750348,165896832.163468,154634291.09121504,23838677.041449375,867771000,497583900,571896900,NA,0.26131496990605585,0.4557252611074193,0.3334047427247305,NA
basin,2006,249409784.71607098,151366594.180277,210535601.6251391,26346209.93418131,14653245376,2584249024,10851651328,2574723723.787824,0.017020788113230528,0.09651151355763112,0.05857275857494026,0.05878945099305369
basin,2007,243497327.483529,162661370.454079,205422992.095962,19614088.091577817,14653245375.999998,2545726400,10417240063.999998,2536303050.6065392,0.016617296799133943,0.09564944900737526,0.06389585717227075,0.06413325506002907
basin,2008,228331733.04208398,148155413.60941997,203710586.2653499,12653796.778664783,14639275800.000002,3159510300,10980803700,3152542365.578113,0.015597201402687144,0.07226807680990437,0.04689189131917689,0.046995534533364226
basin,2009,170605349.610465,107684825.961209,181554625.14668283,4789449.622558061,14639275800,3234787200,11009400300,3227600941.859282,0.01165394736332961,0.05274082623130974,0.03328961668984253,0.03336373606929747
basin,2010,235571559.18104196,163766162.25728497,212926015.41739592,15182372.871545281,14639275800,2687357700,10720697400,2682168762.3198195,0.01609174950997521,0.08765917510015207,0.0609394730955559,0.061057366918121476
basin,2011,255704669.880492,178262001.960889,234719912.61228767,32655938.256335042,14639275800.000002,3003488100,10751712300,2997470683.302993,0.01746703002073996,0.08513590244638958,0.05935165914620704,0.05947080748908522
basin,2012,258826819.610065,169864774.885239,269813642.6982597,38080470.67259119,14639275800,2942375400,10781137800,2935861408.6240168,0.017680302164268604,0.08796526086034603,0.057730490434782386,0.057858580921519534
basin,2013,274838207.04370797,188889046.925061,229752989.62294325,26858018.553034894,14639275800,5097851100,10808148600,5090227697.22583,0.018774030272980306,0.05391256073440591,0.037052680280336356,0.0371081723962968
basin,2014,278462166.969609,190606937.4762,235584386.02331445,27630227.522613134,14639275799.999998,3849304500,10754684100,3842580009.468277,0.019021580764917966,0.07234090391383925,0.04951724070574308,0.04960389556145522
basin,2015,231217141.67097,152030278.633485,177950687.25301003,9832046.722635996,14639275800,3476627100,10655075700,3469767882.469456,0.01579430190603896,0.06650616675885947,0.043729245116188906,0.0438156913612573
basin,2016,275194330.408844,191798736.69247898,198005930.12378672,18112151.266906478,14639275800,3678183900,10692261900,3671035979.5144057,0.01879835684281896,0.07481799113112425,0.0521449557463614,0.052246487847784476
basin,2017,289158008.49295497,197476476.252545,209122216.4615853,22730344.271139447,14639275800,3730477500,10660307400,3723476331.187862,0.019752207174958406,0.07751233146238115,0.052935978370743424,0.05303551270045166
basin,2018,290321479.71427995,196470832.431678,209936339.1440034,30877787.843781695,14639275799.999998,3857238000,10678278600,3850285661.3188815,0.019831683184374463,0.07526667519978802,0.05093562607017716,0.05102759891440851
basin,2019,253094447.48830196,164682775.23686796,164154094.22149426,10576502.350869413,14639275800,4118737500,10422150300,4111328742.1227055,0.017288727321354377,0.06144952124001638,0.03998379970485324,0.04005585190734254
basin,2020,287905506.43034595,190961037.41312498,188615605.5819949,15400674.487154437,14639275800,4193974800,10460568600,4189020021.983454,0.01966664952308269,0.06864740971508602,0.0455322329102037,0.04558608849109942
basin,2021,299546288.92822903,196371684.449339,192131386.52873814,22681523.060009316,14639275800,4193974800,10460568600,4107610331.397402,0.020461824274683658,0.07142300638721745,0.046822332945190566,0.047806794853038966
basin,2022,293334364.320459,191084466.533996,193720086.46586254,24136834.27122136,14639275800,4114596600,10601659800,4022569394.826462,0.020037491493975337,0.07129115994517154,0.04644063200120176,0.04750308764834611
