"V1","V2","V3"
6872033.3890138,-112841661.149505,586607775.223838
7201520.34854502,-75197114.5422564,1020991.32207196
7630062.04430454,-126034879.40407,585944320.69158
7106392.20370609,-89150190.6473465,427626496.534606
6932855.7944953,-108742028.672519,586587204.111412
7500737.16067277,-101833089.73369,268873442.713865
7478846.43712693,-105239455.874586,460657318.585425
7426316.94679898,-104473834.500548,555456470.945198
7388269.00017938,-98930747.3018956,316987761.424757
7598434.20389601,-119446333.423728,585941944.226715
7045185.38085121,-90709856.4530389,492862747.311309
7649727.13445669,-123397635.073449,585895160.882626
7285327.66122448,-86040498.4605538,44400509.4622068
6987836.97219376,-96616577.3558787,586490931.746169
7176828.41221107,-96520689.6757542,368275307.886268
7197340.34775454,-76630443.9749425,30790202.5192053
7521965.07698341,-111777440.951597,586000520.192285
7413127.92385495,-98054810.3863096,214334121.76903
7065756.58406829,-94546936.3527258,541212669.520931
7132379.73983497,-82891109.4865993,243025273.295739
6896657.7137648,-113875099.855126,586589198.770484
7311848.78993809,-87374440.5540771,66696280.623999
7304346.87954576,-97839112.0250998,340074461.188296
7221784.02140168,-80867437.608928,62803917.2569113
7009766.93784351,-93048374.6796251,579402729.187063
7133766.08530227,-82542523.3771467,230136893.90182
7487226.09459026,-105767058.030516,469475765.045875
7572726.43527386,-119369437.534917,585979221.882174
7541223.68331347,-114257426.733332,585988989.4538
7077278.50646386,-94578584.0007268,514229071.984962
7277019.12200519,-85165440.8510174,8664729.45849046
7623593.19129646,-124731589.388068,585944320.69158
7490793.48062058,-103326632.285888,318466179.852826
7571689.13423368,-107164334.321038,584121324.040897
7142519.06196196,-89442729.2767269,352937334.080149
7384380.992815,-92813107.2664154,116137277.344988
7172805.76766685,-78667873.9638127,104705922.198328
7124799.41619614,-89100415.0087892,364896726.658393
7067488.78367732,-116525049.535812,586478846.310261
7163896.04050839,-99406720.0949749,576069547.271848
