solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,130439585.99850616,8661637800,0.015059459770819112,0.831524218313117,108463674.78449443,487256679.1111111,572359251.5555556,0.2226006937090359,0.18950278953246988
1,Soybeans,67571708.32492757,8661637800,0.00780126228840088,0.8447582898771889,57081760.768646024,487256679.1111111,572359251.5555556,0.11714926283366439,0.09973065100897636
1,Sorghum,1839832.7964592616,8661637800,2.1241165226965061e-4,0.6350684931506849,1168419.8416965941,487256679.1111111,572359251.5555556,0.0023979555166449644,0.0020414098986275974
1,Wheat,314125.61226656765,8661637800,3.626630661773546e-5,0.6265486725663716,196814.98538471668,487256679.1111111,572359251.5555556,4.0392465372411277e-4,3.4386617294961813e-4
2,Corn,97790810.43694647,8661637800,0.01129010617795014,0.831524218313117,81315427.20678811,487256679.1111111,572359251.5555556,0.16688417151126506,0.1420706086007859
2,Soybeans,99987775.21542232,8661637800,0.011543749291320207,0.8447582898771889,84465501.99960493,487256679.1111111,572359251.5555556,0.17334909016269004,0.1475742757193929
2,Sorghum,2038604.0648882699,8661637800,2.3536011456035138e-4,0.6350684931506849,1294653.2116194547,487256679.1111111,572359251.5555556,0.0026570250693766883,0.0022619590896816146
2,Wheat,348063.014902518,8661637800,4.018443427668125e-5,0.6265486725663716,218078.4199566219,487256679.1111111,572359251.5555556,4.4756373653914055e-4,3.810166767880999e-4
3,Corn,97790810.43694647,8661637800,0.01129010617795014,0.831524218313117,81315427.20678811,487256679.1111111,572359251.5555556,0.16688417151126506,0.1420706086007859
3,Soybeans,99987775.21542232,8661637800,0.011543749291320207,0.8447582898771889,84465501.99960493,487256679.1111111,572359251.5555556,0.17334909016269004,0.1475742757193929
3,Sorghum,2038604.0648882699,8661637800,2.3536011456035138e-4,0.6350684931506849,1294653.2116194547,487256679.1111111,572359251.5555556,0.0026570250693766883,0.0022619590896816146
3,Wheat,348063.014902518,8661637800,4.018443427668125e-5,0.6265486725663716,218078.4199566219,487256679.1111111,572359251.5555556,4.4756373653914055e-4,3.810166767880999e-4
4,Corn,119721038.08960797,8661637800,0.013821986194066898,0.831524218313117,99550942.61309616,487256679.1111111,572359251.5555556,0.20430903645016052,0.17393087006549998
4,Soybeans,78213858.29862839,8661637800,0.00902991560079185,0.8447582898771889,66071805.1810461,487256679.1111111,572359251.5555556,0.13559958849939024,0.11543764690004822
4,Sorghum,1905089.1292596029,8661637800,2.199456007338015e-4,0.6350684931506849,1209862.0826366465,487256679.1111111,572359251.5555556,0.002483007692873014,0.002113815893337075
4,Wheat,325267.2146636048,8661637800,3.7552622514832565e-5,0.6265486725663716,203795.7415768426,487256679.1111111,572359251.5555556,4.182513043199768e-4,3.5606263203218503e-4
5,Corn,128210549.18147412,8661637800,0.014802113889070045,0.831524218313117,106610176.6876207,487256679.1111111,572359251.5555556,0.2187967477061714,0.18626444212769516
5,Soybeans,69784857.37322943,8661637800,0.008056773901724386,0.8447582898771889,58951336.77393283,487256679.1111111,572359251.5555556,0.12098620563083122,0.10299708900260655
5,Sorghum,1853403.549661354,8661637800,2.1397841752992188e-4,0.6350684931506849,1177038.1994835667,487256679.1111111,572359251.5555556,0.0024156430274712803,0.0020564675005857198
5,Wheat,316442.6277946796,8661637800,3.653380978302736e-5,0.6265486725663716,198266.7083881709,487256679.1111111,572359251.5555556,4.0690403413220187e-4,3.4640255722139977e-4
6,Corn,101520948.40541486,8661637800,0.011720756599336775,0.831524218313117,84417127.26521887,487256679.1111111,572359251.5555556,0.17324981038580878,0.1474897575880714
6,Soybeans,96284224.3221076,8661637800,0.011116168390475483,0.8447582898771889,81336896.68049526,487256679.1111111,572359251.5555556,0.1669282334495156,0.14210811908681162
6,Sorghum,2015894.3539525664,8661637800,2.3273824194687133e-4,0.6350684931506849,1280230.9897156297,487256679.1111111,572359251.5555556,0.002627426251090328,0.0022367612408399503
6,Wheat,344185.6506845285,8661637800,3.9736786348250275e-5,0.6265486725663716,215649.06255278422,487256679.1111111,572359251.5555556,4.4257795079625557e-4,3.7677221424602483e-4
7,Corn,112839209.20197812,8661637800,0.013027467992482682,0.831524218313117,93828535.22674513,487256679.1111111,572359251.5555556,0.19256490315928337,0.16393294066923586
7,Soybeans,85046635.9974344,8661637800,0.009818770763819562,0.8447582898771889,71843850.78500046,487256679.1111111,572359251.5555556,0.14744559462183918,0.12552230192792996
7,Sorghum,1946986.8676457284,8661637800,2.2478276194436674e-4,0.6350684931506849,1236470.0162199447,487256679.1111111,572359251.5555556,0.002537615325203141,0.0021603040622816382
7,Wheat,332420.6651013047,8661637800,3.837849986076591e-5,0.6265486725663716,208277.72645285283,487256679.1111111,572359251.5555556,4.2744971055667854e-4,3.638933517485679e-4
8,Corn,110424170.98685484,8661637800,0.012748647950489784,0.831524218313117,91820372.46271844,487256679.1111111,572359251.5555556,0.18844353787047888,0.1604243702065956
8,Soybeans,87444460.69309342,8661637800,0.01009560347733467,0.8447582898771889,73869433.07433066,487256679.1111111,572359251.5555556,0.1516027101138739,0.12906130699131468
8,Sorghum,1961690.0288230737,8661637800,2.264802655247341e-4,0.6350684931506849,1245807.5306333932,487256679.1111111,572359251.5555556,0.002556778765775126,0.0021766181419231763
8,Wheat,334931.02338819695,8661637800,3.866832475818799e-5,0.6265486725663716,209850.58810517116,487256679.1111111,572359251.5555556,4.306777045888746e-4,3.666413839469531e-4
