solution_id,Crop,basin_irrigated_area_m2,basin_model_cultivated_area_m2,basin_irrigated_fraction_of_model_cultivated,alluvial_capture,estimated_alluvial_irrigated_area_m2,alluvial_cdl_cultivated_area_m2,alluvial_expansion_eligible_area_m2,estimated_alluvial_irrigated_fraction_of_cdl_cultivated,estimated_alluvial_irrigated_fraction_of_expansion_eligible
1,Corn,212952586.2033194,14118469614,0.015083262706614725,0.831524218313117,177075232.78047183,487256679.1111111,572359251.5555556,0.36341263315980665,0.3093777768057693
1,Soybeans,85079379.42433031,14118469614,0.0060261049356202774,0.8447582898771889,71871511.06630976,487256679.1111111,572359251.5555556,0.1475023619941403,0.12557062871086241
1,Sorghum,2221037.160859694,14118469614,1.5731429974940724e-4,0.6350684931506849,1410510.722978841,487256679.1111111,572359251.5555556,0.00289480018119402,0.0024643800535159707
1,Wheat,368196.100167615,14118469614,2.607903761768262e-5,0.6265486725663716,230692.77780413395,487256679.1111111,572359251.5555556,4.7345226385604483e-4,4.0305590794096203e-4
2,Corn,212952586.2033194,14118469614,0.015083262706614725,0.831524218313117,177075232.78047183,487256679.1111111,572359251.5555556,0.36341263315980665,0.3093777768057693
2,Soybeans,85079379.42433031,14118469614,0.0060261049356202774,0.8447582898771889,71871511.06630976,487256679.1111111,572359251.5555556,0.1475023619941403,0.12557062871086241
2,Sorghum,2221037.160859694,14118469614,1.5731429974940724e-4,0.6350684931506849,1410510.722978841,487256679.1111111,572359251.5555556,0.00289480018119402,0.0024643800535159707
2,Wheat,368196.100167615,14118469614,2.607903761768262e-5,0.6265486725663716,230692.77780413395,487256679.1111111,572359251.5555556,4.7345226385604483e-4,4.0305590794096203e-4
3,Corn,186927081.3724236,14118469614,0.013239896850226956,0.831524218313117,155434395.21975693,487256679.1111111,572359251.5555556,0.31899900377622653,0.27156789166475076
3,Soybeans,138517621.19091636,14118469614,0.009811093197633904,0.8447582898771889,117013908.79509477,487256679.1111111,572359251.5555556,0.2401483936732484,0.20444136873314245
3,Sorghum,2661933.610817598,14118469614,1.8854264545627533e-4,0.6350684931506849,1690510.167089094,487256679.1111111,572359251.5555556,0.003469444831773358,0.0029535823217579386
3,Wheat,444432.654750619,14118469614,3.147881228641918e-5,0.6265486725663716,278458.68987914885,487256679.1111111,572359251.5555556,5.714825508131224e-4,4.8651033266668614e-4
4,Corn,181989066.49015054,14118469614,0.01289014117434432,0.831524218313117,151328316.2547563,487256679.1111111,572359251.5555556,0.31057207164572964,0.2643939376247992
4,Soybeans,117220972.8145842,14118469614,0.008302668491657682,0.8447582898771889,99023388.5325886,487256679.1111111,572359251.5555556,0.20322633383545247,0.17300915161843414
4,Sorghum,2395138.9851008225,14118469614,1.6964579381364262e-4,0.6350684931506849,1521077.3061544402,487256679.1111111,572359251.5555556,0.003121716687248494,0.0026575569487528377
4,Wheat,399889.0029861088,14118469614,2.8323820776550407e-5,0.6265486725663716,250549.92399483628,487256679.1111111,572359251.5555556,5.142052120289199e-4,4.377494088090526e-4
5,Corn,236454589.09404624,14118469614,0.016747890922935143,0.831524218313117,196617717.36297607,487256679.1111111,572359251.5555556,0.4035197993009769,0.3435215152521939
5,Soybeans,94572522.44462636,14118469614,0.006698496723104281,0.8447582898771889,79890922.32969463,487256679.1111111,572359251.5555556,0.1639606510380472,0.1395817785989611
5,Sorghum,2468860.1182448734,14118469614,1.748674031778012e-4,0.6350684931506849,1567895.2750935936,487256679.1111111,572359251.5555556,0.0032178015044429186,0.0027393551704325116
5,Wheat,412197.37866508425,14118469614,2.9195613259410614e-5,0.6265486725663716,258261.72043794655,487256679.1111111,572359251.5555556,5.300321812090627e-4,4.5122310810219966e-4
6,Corn,222843832.727796,14118469614,0.015783851849411643,0.831524218313117,185300043.81487954,487256679.1111111,572359251.5555556,0.3802924654679281,0.32374779181304725
6,Soybeans,89128755.9824598,14118469614,0.006312919064122851,0.8447582898771889,75292255.48262401,487256679.1111111,572359251.5555556,0.15452277764560887,0.13154719746032764
6,Sorghum,2326748.037863902,14118469614,1.6480171728787643e-4,0.6350684931506849,1477644.3703475408,487256679.1111111,572359251.5555556,0.003032578995208781,0.0025816729026946015
6,Wheat,388470.54757539014,14118469614,2.7515060640154604e-5,0.6265486725663716,243395.7059144922,487256679.1111111,572359251.5555556,4.995225644900595e-4,4.252498850206271e-4
7,Corn,249877275.3990017,14118469614,0.01769860914324745,0.831524218313117,207779006.10036632,487256679.1111111,572359251.5555556,0.42642618358646583,0.3630220102770514
7,Soybeans,99941068.2897556,14118469614,0.0070787465654672055,0.8447582898771889,84426045.93695329,487256679.1111111,572359251.5555556,0.17326811423287083,0.1475053398848722
7,Sorghum,2609008.529087667,14118469614,1.847940039124744e-4,0.6350684931506849,1656899.1151849895,487256679.1111111,572359251.5555556,0.003400464654907604,0.0028948586236386955
7,Wheat,435596.3582778072,14118469614,3.085294441869719e-5,0.6265486725663716,272922.3200537057,487256679.1111111,572359251.5555556,5.601202235987619e-4,4.768374396184889e-4
8,Corn,186927081.3724236,14118469614,0.013239896850226956,0.831524218313117,155434395.21975693,487256679.1111111,572359251.5555556,0.31899900377622653,0.27156789166475076
8,Soybeans,138517621.19091636,14118469614,0.009811093197633904,0.8447582898771889,117013908.79509477,487256679.1111111,572359251.5555556,0.2401483936732484,0.20444136873314245
8,Sorghum,2661933.610817598,14118469614,1.8854264545627533e-4,0.6350684931506849,1690510.167089094,487256679.1111111,572359251.5555556,0.003469444831773358,0.0029535823217579386
8,Wheat,444432.654750619,14118469614,3.147881228641918e-5,0.6265486725663716,278458.68987914885,487256679.1111111,572359251.5555556,5.714825508131224e-4,4.8651033266668614e-4
